Entity,Year,Mean male height (cm),Mean female height (cm),Male-to-female height ratio,Change in male height (cm),Change in female height (cm),Change in male height (%),Change in female height (%)
Italy,1896,164.7109285,153.5036757,1.073009671,,,,
Italy,1897,164.7700289,153.5592917,1.073005919,,,,
Italy,1898,164.8292298,153.6154102,1.072999314,,,,
Italy,1899,164.8886638,153.6716324,1.072993507,,,,
Italy,1900,164.9481084,153.7282805,1.072984801,,,,
Italy,1901,165.0083262,153.7851417,1.072979641,,,,
Italy,1902,165.0696414,153.8423186,1.072979418,,,,
Italy,1903,165.1311505,153.8991264,1.072983027,,,,
Italy,1904,165.1929809,153.9558199,1.072989517,,,,
Italy,1905,165.2557494,154.0132677,1.072996839,,,,
Italy,1906,165.3202608,154.0724202,1.073003595,,,,
Italy,1907,165.3870815,154.1339852,1.073008534,,,,
Italy,1908,165.4583541,154.1988454,1.07301941,,,,
Italy,1909,165.5348621,154.2680935,1.073033693,,,,
Italy,1910,165.6180948,154.3438859,1.073046035,,,,
Italy,1911,165.7097919,154.4285387,1.073051609,,,,
Italy,1912,165.8118692,154.523198,1.073054864,,,,
Italy,1913,165.923701,154.6276701,1.073053102,,,,
Italy,1914,166.0455425,154.7431879,1.073039432,,,,
Italy,1915,166.1766643,154.86934,1.073012026,,,,
Italy,1916,166.3159061,155.0051699,1.072970058,,,,
Italy,1917,166.4627601,155.1492987,1.072919836,,,,
Italy,1918,166.6160151,155.2999326,1.072865985,,,,
Italy,1919,166.7738249,155.4557517,1.072805754,,,,
Italy,1920,166.9354384,155.6151347,1.072745519,,,,
Italy,1921,167.0995392,155.7765019,1.072687711,,,,
Italy,1922,167.2631997,155.9381517,1.072625255,,,,
Italy,1923,167.4239562,156.0973808,1.072560957,,,,
Italy,1924,167.5821412,156.2539632,1.0724985,,,,
Italy,1925,167.7385288,156.4086219,1.072437867,,,,
Italy,1926,167.8924596,156.5602225,1.072382607,,,,
Italy,1927,168.0433133,156.7070623,1.072340396,,,,
Italy,1928,168.1904706,156.8481138,1.07231427,,,,
Italy,1929,168.3335011,156.9835637,1.072300164,,,,
Italy,1930,168.4729627,157.1128369,1.072305523,,,,
Italy,1931,168.6088777,157.2344858,1.072340313,,,,
Italy,1932,168.7405284,157.3493401,1.072394255,,,,
Italy,1933,168.8702596,157.4592765,1.072469424,,,,
Italy,1934,169.001728,157.5670077,1.072570524,,,,
Italy,1935,169.1365914,157.6737148,1.072699984,,,,
Italy,1936,169.2737624,157.7797676,1.072848344,,,,
Italy,1937,169.4122959,157.8841825,1.073016266,,,,
Italy,1938,169.5523599,157.9852846,1.073216156,,,,
Italy,1939,169.6932306,158.0810259,1.073457296,,,,
Italy,1940,169.8341861,158.1700319,1.073744401,,,,
Italy,1941,169.9761602,158.2508647,1.07409309,,,,
Italy,1942,170.1219256,158.3256058,1.074506709,,,,
Italy,1943,170.2748937,158.3970321,1.074987905,,,,
Italy,1944,170.4359277,158.4677178,1.075524593,,,,
