Entity,Year,p_avg_all_ages,p_avg_15_64,p_avg_65_74,p_avg_75_84,p_avg_85p,deaths_2020_all_ages,average_deaths_2015_2019_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2021_all_ages,time,time_unit,p_avg_0_14,projected_deaths_2020_2022_all_ages,excess_proj_all_ages,cum_excess_proj_all_ages,cum_proj_deaths_all_ages,cum_p_proj_all_ages,p_proj_all_ages,p_proj_0_14,p_proj_15_64,p_proj_65_74,p_proj_75_84,p_proj_85p,cum_excess_per_million_proj_all_ages,excess_per_million_proj_all_ages,deaths_2022_all_ages,deaths_2020_2022_all_ages
Italy,991,6.58,-2.53,3.27,2.3,13.27,,,,,,,,,,,,,,37,weekly,-29.65,10743.1,793.9,215889.6,1753900.4,12.31,7.39,-7.28,4.49,9.69,11.88,4.91,3656.82324609021,13.447391514325,,11537.0
Italy,998,3.7,1.02,-0.09,-2.98,10.28,,,,,,,,,,,,,,38,weekly,-26.23,10866.3,486.7,216376.3,1764766.7,12.26,4.48,0.0,8.28,6.0,6.11,2.29,3665.0671627674,8.24391667719106,,11353.0
Italy,1005,8.61,-5.93,3.71,4.32,17.04,,,,,,,,,,,,,,39,weekly,-16.24,10943.7,1031.3,217407.6,1775710.4,12.24,9.42,10.74,0.86,10.03,13.91,8.59,3682.53572917214,17.4685664047404,,11975.0
Italy,1012,8.32,-1.7,2.94,2.79,16.46,,,,,,,,,,,,,,40,weekly,-30.11,11195.7,1020.3,218427.9,1786906.1,12.22,9.11,-5.8,5.34,9.17,12.06,8.33,3699.81797323571,17.282244063567,,12216.0
Italy,1019,2.64,-8.8,4.62,-0.72,7.18,,,,,,,,,,,,,,41,weekly,-23.47,11728.7,393.3,218821.2,1798634.8,12.17,3.35,1.35,-2.41,10.72,7.87,0.11,3706.47984385239,6.66187061668223,,12122.0
Italy,1026,3.73,-3.19,-5.98,3.32,9.04,,,,,,,,,,,,,,42,weekly,-52.13,11610.3,517.7,219338.9,1810245.1,12.12,4.46,-35.71,3.64,-0.49,12.33,1.74,3715.2488507638,8.76900691140705,,12128.0
Italy,1033,1.12,-6.64,-6.21,-1.02,6.68,,,,,,,,,,,,,,43,weekly,-23.28,11766.3,213.7,219552.6,1822011.4,12.05,1.82,2.84,-0.06,-0.74,7.55,-0.3,3718.86858570096,3.61973493715991,,11980.0
Italy,1040,,,,,,,,,,,,,,,,,,,44,weekly,,11520.9,,,1833532.3,,,,,,,,,,,
Italy,1047,,,,,,,,,,,,,,,,,,,45,weekly,,11822.9,,,1845355.2,,,,,,,,,,,
Italy,1054,,,,,,,,,,,,,,,,,,,46,weekly,,12022.3,,,1857377.5,,,,,,,,,,,
Italy,1061,,,,,,,,,,,,,,,,,,,47,weekly,,12069.1,,,1869446.6,,,,,,,,,,,
Italy,1068,,,,,,,,,,,,,,,,,,,48,weekly,,12101.1,,,1881547.7,,,,,,,,,,,
Italy,1075,,,,,,,,,,,,,,,,,,,49,weekly,,12464.7,,,1894012.4,,,,,,,,,,,
Italy,1082,,,,,,,,,,,,,,,,,,,50,weekly,,12867.9,,,1906880.3,,,,,,,,,,,
Italy,1089,,,,,,,,,,,,,,,,,,,51,weekly,,13334.1,,,1920214.4,,,,,,,,,,,
Italy,1096,,,,,,,,,,,,,,,,,,,52,weekly,,13884.3,,,1934098.7,,,,,,,,,,,
