Entity,Year,Time spent on personal care (Eurostat),Time spent in employment (Eurostat),Time spent in study (Eurostat),Time spent on household and family care (Eurostat),"Time spent on leisure, social, and associative life (Eurostat)",Time spent on travel (Eurostat),Participation time in personal care (Eurostat),Participation time in employment (Eurostat),Participation time in study (Eurostat),Participation time in household and family care (Eurostat),"Participation time in leisure, social, and associative life (Eurostat)",Participation time in travel (Eurostat),Participation rate in personal care (Eurostat) ,Participation rate in employment (Eurostat),Participation rate in study (Eurostat),Participation rate in household and family care (Eurostat),"Participation rate in leisure, social, and associative life activities (Eurostat)",Participation rate in travel (Eurostat)
Italy,2000,675.4071,182.37996,12.025053,210.43842,275.57413,84.175369,473.44388,319.60974,207.92195,177.71707,196.68292,64.62439,100.0,40.0,4.199999809265137,83.0,98.09999847412108,91.8000030517578
Italy,2010,684.0,162.0,26.0,195.0,294.0,79.0,467.47034,309.59659,233.05173,164.70811,204.34741,60.825817,100.0,35.70000076293945,7.5,80.9000015258789,98.1999969482422,89.19999694824219
