Entity,Year,"Cumulative CO2 emissions share (OWID based on GCP, 2017)"
Italy,1913,0.6759
Italy,1914,0.6829
Italy,1915,0.6857
Italy,1916,0.6862
Italy,1917,0.6775
Italy,1918,0.6727
Italy,1919,0.671
Italy,1920,0.6655
Italy,1921,0.6668
Italy,1922,0.6706
Italy,1923,0.6727
Italy,1924,0.6791
Italy,1925,0.6839
Italy,1926,0.6927
Italy,1927,0.7028
Italy,1928,0.7104
Italy,1929,0.7204
Italy,1930,0.7282
Italy,1931,0.7341
Italy,1932,0.7372
Italy,1933,0.741
Italy,1934,0.7491
Italy,1935,0.7596
Italy,1936,0.7596
Italy,1937,0.7661
Italy,1938,0.7733
Italy,1939,0.7798
Italy,1940,0.7858
Italy,1941,0.7876
Italy,1942,0.7888
Italy,1943,0.7714
Italy,1944,0.7532
Italy,1945,0.7394
Italy,1946,0.7333
Italy,1947,0.7326
Italy,1948,0.7304
Italy,1949,0.7311
Italy,1950,0.7307
Italy,1951,0.7321
Italy,1952,0.7339
Italy,1953,0.7373
Italy,1954,0.7436
Italy,1955,0.7509
Italy,1956,0.7602
Italy,1957,0.7697
Italy,1958,0.7782
Italy,1959,0.7863
Italy,1960,0.7978
Italy,1961,0.8133
Italy,1962,0.8336
Italy,1963,0.8568
Italy,1964,0.8803
Italy,1965,0.905
Italy,1966,0.9333
Italy,1967,0.9641
Italy,1968,0.9952
Italy,1969,1.0273
Italy,1970,1.0612
Italy,1971,1.0947
Italy,1972,1.1282
Italy,1973,1.1625
Italy,1974,1.1955
Italy,1975,1.2231
Italy,1976,1.2513
Italy,1977,1.2742
Italy,1978,1.2982
Italy,1979,1.3207
Italy,1980,1.3424
Italy,1981,1.3623
Italy,1982,1.38
Italy,1983,1.3956
Italy,1984,1.4099
Italy,1985,1.4228
Italy,1986,1.433
Italy,1987,1.4439
Italy,1988,1.4535
Italy,1989,1.4641
Italy,1990,1.4784
Italy,1991,1.4916
Italy,1992,1.5043
Italy,1993,1.5156
Italy,1994,1.525
Italy,1995,1.5361
Italy,1996,1.545
Italy,1997,1.5533
Italy,1998,1.5621
Italy,1999,1.5711
Italy,2000,1.5793
Italy,2001,1.5868
Italy,2002,1.5935
Italy,2003,1.5992
Italy,2004,1.6031
Italy,2005,1.6054
Italy,2006,1.6057
Italy,2007,1.6044
Italy,2008,1.601
Italy,2009,1.5941
Italy,2010,1.5864
Italy,2011,1.5768
Italy,2012,1.5654
Italy,2013,1.5523
Italy,2014,1.5385
Italy,2015,1.5259
Italy,2016,1.5133
Italy,2017,1.5011
