Entity,Year,Primary energy consumption (TWh),Annual change primary energy consumption (%),Annual change primary energy consumption (TWh),Energy consumption per capita (kWh),Energy consumption per GDP (kWh per $)
Italy,1965,920.417509111196,,,17810.970240362174,1.8977680600230848
Italy,1966,999.784427326902,8.622925729905639,79.36691821570594,19203.357995638016,1.941328985100781
Italy,1967,1083.6846136136642,8.391827677400808,83.90018628676216,20667.98797729797,1.935151095738686
Italy,1968,1171.639630088732,8.116292818975456,87.95501647506785,22192.246047707777,1.908207866594026
Italy,1969,1261.9574540096005,7.708669253021783,90.31782392086824,23741.08652073371,1.9207876012322684
Italy,1970,1393.914282074978,10.456519563802493,131.95682806537775,26045.22285683548,2.0559207700220914
Italy,1971,1468.253032379264,5.333093380292042,74.33875030428612,27245.876382550505,2.10653232766035
Italy,1972,1539.894875803804,4.87939352718012,71.64184342453973,28380.450723452403,2.1181497603903767
Italy,1973,1608.1976990571302,4.435551044851249,68.30282325332632,29443.924258172618,2.0565187967482483
Italy,1974,1607.485050153678,-0.0443135134361893,-0.712648903452191,29249.336769054156,1.948466727459004
Italy,1975,1573.0047436805662,-2.1449845813381274,-34.4803064731118,28462.94659695225,1.925342403525785
Italy,1976,1660.976681835838,5.592604759057007,87.9719381552718,29907.030894807845,1.8599962842506583
Italy,1977,1664.3338239659938,0.2021185587292695,3.3571421301558075,29838.535335902936,1.7705678978361636
Italy,1978,1706.413299573992,2.528307422589404,42.07947560799812,30477.6527456106,1.7132663650341284
Italy,1979,1760.0765255600938,3.14479651556272,53.66322598610191,31330.352194099007,1.6297004866297164
Italy,1980,1714.8605010539702,-2.568980601098292,-45.21602450612363,30432.84709673588,1.491183044394757
Italy,1981,1679.260848407604,-2.075950354240841,-35.59965264636617,29718.800962881232,1.4860715472633663
Italy,1982,1645.76794716886,-1.994502597407921,-33.492901238744025,29054.07268371189,1.4694356671150537
Italy,1983,1611.125188343564,-2.1049601120796124,-34.642758825295914,28382.36921242956,1.4514641336428509
Italy,1984,1636.110186109324,1.5507794146926157,24.98499776575977,28772.843256763164,1.4739731406390304
Italy,1985,1629.6979418128662,-0.3919200767098729,-6.412244296457629,28622.82771858135,1.4422105679759878
Italy,1986,1674.167590166334,2.728704946635707,44.469648353467846,29379.608138535976,1.395139658471945
Italy,1987,1724.95003551448,3.033295211687892,50.782445348145984,30258.034583119566,1.369007964694032
Italy,1988,1767.404173088874,2.461180712502875,42.45413757439383,30997.30213421856,1.3491634909075372
Italy,1989,1818.204780673772,2.874306192007836,50.800607584898216,31882.10876350229,1.3369152799071855
Italy,1990,1826.273147961794,0.4437545964999456,8.068367288021818,32012.92153908628,1.2861078506773196
Italy,1991,1867.5875576799624,2.262225109331384,41.31440971816824,32714.18787976391,1.2704677263128994
Italy,1992,1866.341400849704,-0.0667254836397734,-1.2461568302580872,32659.74977425329,1.2442276005664694
Italy,1993,1836.477368625164,-1.6001376924363209,-29.864032224540097,32107.370338563655,1.2243182457501094
Italy,1994,1833.0981695329183,-0.1840043961323312,-3.379199092245699,32039.329002218303,1.1903234867096872
Italy,1995,1908.484868175562,4.112529263059206,75.38669864264375,33380.29293342362,1.1928030426097262
Italy,1996,1911.093182206656,0.1366693587457002,2.608314031094096,33489.7604872804,1.1796871495102816
Italy,1997,1937.90911699272,1.4031725420683427,26.815934786063963,34055.76263518768,1.1535173315432858
Italy,1998,1989.448624335404,2.659542023449668,51.53950734268392,35060.68809078484,1.117667766480564
Italy,1999,2052.193151753208,3.153865179039972,62.744527417803965,36221.99152346103,1.1275786548094549
Italy,2000,2081.3050017093365,1.4185726100517382,29.11184995612848,36712.49914819263,1.1012195776239877
Italy,2001,2092.000719988126,0.5138948049423497,10.695718278789627,36782.43024154947,1.0783508865918174
Italy,2002,2075.2373007440683,-0.8013103955410217,-16.763419244057786,36291.15822436858,1.1038496280553556
Italy,2003,2143.2034509502782,3.275102571731958,67.96615020620993,37231.01625901639,1.1522599198657408
Italy,2004,2182.101878457884,1.8149666327925476,38.8984275076059,37656.20691754476,1.1668994002448578
Italy,2005,2184.416906976572,0.1060916789239918,2.3150285186879955,37480.7725841453,1.1436737732861637
Italy,2006,2174.14008375512,-0.4704607068655275,-10.276823221452103,37137.49011419162,1.0980505473510709
Italy,2007,2133.4411017515163,-1.8719576676636929,-40.69898200360376,36315.12735329741,1.020785216149051
Italy,2008,2103.86836226001,-1.3861521401845822,-29.572739491506127,35705.990330606735,0.9970940105497678
Italy,2009,1964.0934843290863,-6.643708344032295,-139.77487793092382,33230.0186838745,0.9534434389947022
Italy,2010,2023.485292675828,3.023878894798604,59.39180834674176,34108.475224202746,0.9870659964272332
Italy,2011,1976.459235055012,-2.324012820405985,-47.02605762081589,33168.18934795033,0.9456742751459388
Italy,2012,1922.606641695194,-2.7247004342247028,-53.85259335981823,32108.19555595775,0.919907484064686
Italy,2013,1831.6114000101704,-4.732909983333444,-90.99524168502376,30442.12608257301,0.8805824038510434
Italy,2014,1730.77619573096,-5.505272803971961,-100.83520427921007,28650.491569789112,0.8281225816894546
Italy,2015,1769.080823874638,2.21314738659788,38.30462814367797,29203.354747179477,0.8384269307462741
Italy,2016,1786.2725681835784,0.971789647874144,17.191744308940315,29445.83301491153,0.8386256188655298
Italy,2017,1803.875615877116,0.9854625776086312,17.603047693537746,29730.619637358937,
Italy,2018,1813.670756213222,0.5430053075662356,9.79514033610576,29915.23176494337,
Italy,2019,1770.422199392182,-2.3845869859719704,-43.24855682103998,29239.012376419192,
