Entity,Year,Human rights protection
Italy,1946,0.0137192946084697
Italy,1947,0.0093185519190979
Italy,1948,-0.0096602670054948
Italy,1949,-0.0083070452556785
Italy,1950,-0.0121920192991519
Italy,1951,-0.0145628536865822
Italy,1952,-0.0107603587469051
Italy,1953,-0.0116491566895048
Italy,1954,-0.0069151878798286
Italy,1955,-0.0081258095959661
Italy,1956,-0.0035101457598143
Italy,1957,0.004162149887738
Italy,1958,0.0151018212562759
Italy,1959,0.0178496230603865
Italy,1960,0.0221096525419895
Italy,1961,0.0174280310755553
Italy,1962,0.0269398678806899
Italy,1963,0.0453665483964065
Italy,1964,0.0639386608095114
Italy,1965,0.0898479867424316
Italy,1966,0.118708500806884
Italy,1967,0.148562087867958
Italy,1968,0.175807873145418
Italy,1969,0.227488183224662
Italy,1970,0.269938485904344
Italy,1971,0.332362811994543
Italy,1972,0.430487002894703
Italy,1973,0.527967786256083
Italy,1974,0.643616020614051
Italy,1975,0.757372156201258
Italy,1976,0.893160536796989
Italy,1977,0.933724643375162
Italy,1978,1.00038115878461
Italy,1979,0.931758903296797
Italy,1980,0.904208737822486
Italy,1981,0.872246493277112
Italy,1982,0.843744541052815
Italy,1983,0.773669885350125
Italy,1984,0.98574821025071
Italy,1985,1.01159504036806
Italy,1986,0.964566429428932
Italy,1987,0.836259442883214
Italy,1988,0.951169485617398
Italy,1989,1.01219253838989
Italy,1990,1.0455086998931
Italy,1991,1.02512325988514
Italy,1992,0.946654968196442
Italy,1993,0.814693066040164
Italy,1994,0.726021933253732
Italy,1995,0.791954908763275
Italy,1996,0.997759367297481
Italy,1997,1.2364856278434
Italy,1998,1.31519933008661
Italy,1999,1.2162510124054
Italy,2000,1.26583483335658
Italy,2001,1.25740302169387
Italy,2002,1.34617023464318
Italy,2003,1.45638084294374
Italy,2004,1.48738845730142
Italy,2005,1.4693429780918
Italy,2006,1.53703803262674
Italy,2007,1.34208637887519
Italy,2008,1.22697315591838
Italy,2009,1.047915255729
Italy,2010,1.14336598787256
Italy,2011,1.19497434832014
Italy,2012,1.28845518129437
Italy,2013,1.30287948151863
Italy,2014,1.40132957479581
Italy,2015,1.55055293211227
Italy,2016,1.59586621252711
Italy,2017,1.76462241437028
Italy,2018,1.87595421901001
Italy,2019,1.88361062821864
