Entity,Year,Armed forces personnel (IISS via World Bank (2017)),Total population (World Bank (2017)),Armed forces personnel (% of total population) (World Bank (2017))
Italy,1960,,50199700.0,
Italy,1961,,50536350.0,
Italy,1962,,50879450.0,
Italy,1963,,51252000.0,
Italy,1964,,51675350.0,
Italy,1965,,52112350.0,
Italy,1966,,52519000.0,
Italy,1967,,52900500.0,
Italy,1968,,53235750.0,
Italy,1969,,53537950.0,
Italy,1970,,53821850.0,
Italy,1971,,54073490.0,
Italy,1972,,54381345.0,
Italy,1973,,54751406.0,
Italy,1974,,55110868.0,
Italy,1975,,55441001.0,
Italy,1976,,55718260.0,
Italy,1977,,55955411.0,
Italy,1978,,56155143.0,
Italy,1979,,56317749.0,
Italy,1980,,56433883.0,
Italy,1981,,56501675.0,
Italy,1982,,56543548.0,
Italy,1983,,56564074.0,
Italy,1984,,56576718.0,
Italy,1985,385100.0,56593071.0,0.68047202
Italy,1986,,56596155.0,
Italy,1987,,56601931.0,
Italy,1988,,56629288.0,
Italy,1989,506000.0,56671781.0,0.89286059
Italy,1990,493000.0,56719240.0,0.86919361
Italy,1991,473000.0,56758521.0,0.83335507
Italy,1992,471000.0,56797087.0,0.82926786
Italy,1993,450000.0,56831821.0,0.79180992
Italy,1994,436000.0,56843400.0,0.76701957
Italy,1995,585000.0,56844303.0,1.0291269
Italy,1996,580900.0,56860281.0,1.0216271
Italy,1997,580900.0,56890372.0,1.0210867
Italy,1998,554100.0,56906744.0,0.97369832
Italy,1999,521200.0,56916317.0,0.91573036
Italy,2000,503100.0,56942108.0,0.88352895
Italy,2001,482600.0,56974100.0,0.84705156
Italy,2002,471100.0,57059007.0,0.82563651
Italy,2003,454300.0,57313203.0,0.79266202
Italy,2004,445000.0,57685327.0,0.77142668
Italy,2005,445000.0,57969484.0,0.76764524
Italy,2006,440000.0,58143979.0,0.75674218
Italy,2007,436000.0,58438310.0,0.74608594
Italy,2008,436000.0,58826731.0,0.74115968
Italy,2009,326939.0,59095365.0,0.55323964
Italy,2010,359378.0,59277417.0,0.60626459
Italy,2011,367550.0,59379449.0,0.61898518
Italy,2012,359500.0,59539717.0,0.60379863
Italy,2013,359500.0,60233948.0,0.59683949
Italy,2014,356850.0,60789140.0,0.58702922
Italy,2015,356850.0,60730582.0,0.58759522
Italy,2016,,60600590.0,
