Entity,Year,Family
Italy,1980,1
Italy,1985,0.9
Italy,1990,0.9
Italy,1995,0.6
Italy,2000,1.2
Italy,2005,1.2
Italy,2010,1.3
Italy,2013,1.4
Italy,2014,..
Italy,2015,..
