Entity,Year,SO2 emissions by country (1850-2000) (Clio Infra)
Italy,1850,4.643786691
Italy,1860,5.278217216
Italy,1870,31.20031247
Italy,1880,55.74204934
Italy,1890,154.9507246
Italy,1900,191.6331065
Italy,1910,285.2991162
Italy,1920,195.0138798
Italy,1930,400.5237249
Italy,1940,460.9588063
Italy,1950,519.3021655
Italy,1960,1433.08256
Italy,1970,3947.267096
Italy,1980,3437.0
Italy,1990,1793.12
Italy,2000,753.69
