DATE,PNL
2021-03-12,48.4721
2021-03-13,23.2346
2021-03-14,36.9467
2021-03-15,51.1950
2021-03-16,55.9567
2021-03-17,56.7325
2021-03-18,64.5729
2021-03-19,53.6608
2021-03-20,50.5571
2021-03-21,44.6525
2021-03-22,59.7863
2021-03-23,57.8788
2021-03-24,54.5342
2021-03-25,55.6192
2021-03-26,49.7467
2021-03-27,24.7000
2021-03-28,23.6271
2021-03-29,41.2479
2021-03-30,54.4871
2021-03-31,55.6758
2021-04-01,51.1187
2021-04-02,44.3804
2021-04-03,39.2013
2021-04-04,27.5433
2021-04-05,10.2454
2021-04-06,44.0421
2021-04-07,52.4058
2021-04-08,53.9071
2021-04-09,57.7421
2021-04-10,56.2021
2021-04-11,50.2450
2021-04-12,57.2333
2021-04-13,54.5304
2021-04-14,66.6758
2021-04-15,60.8433
2021-04-16,59.9554
2021-04-17,60.4592
2021-04-18,60.9158
2021-04-19,70.7671
2021-04-20,73.0075
2021-04-21,55.3142
2021-04-22,56.6354
2021-04-23,62.2233
2021-04-24,51.2308
2021-04-25,37.6667
2021-04-26,59.7158
2021-04-27,56.3450
2021-04-28,58.5883
2021-04-29,59.0325
2021-04-30,67.8983
2021-05-01,56.5158
2021-05-02,47.1646
2021-05-03,61.8454
2021-05-04,32.1121
2021-05-05,47.3971
2021-05-06,69.2833
2021-05-07,69.8958
2021-05-08,50.0479
2021-05-09,9.9663
2021-05-10,60.2800
2021-05-11,71.5692
2021-05-12,68.9892
2021-05-13,63.4100
2021-05-14,71.6696
2021-05-15,60.3892
2021-05-16,41.1887
2021-05-17,74.1725
2021-05-18,74.5154
2021-05-19,75.8087
2021-05-20,64.6267
2021-05-21,28.9850
2021-05-22,34.5529
2021-05-23,29.2063
2021-05-24,42.5046
2021-05-25,61.3975
2021-05-26,66.1150
2021-05-27,72.4367
2021-05-28,71.8021
2021-05-29,56.0613
2021-05-30,37.9496
2021-05-31,67.7550
2021-06-01,68.4762
2021-06-02,67.4263
2021-06-03,70.0338
2021-06-04,72.7429
2021-06-05,67.0050
2021-06-06,60.9121
2021-06-07,77.7271
2021-06-08,76.8538
2021-06-09,77.3929
2021-06-10,78.9887
2021-06-11,77.7837
2021-06-12,61.0758
2021-06-13,47.3171
2021-06-14,76.0375
2021-06-15,82.5108
2021-06-16,86.9521
2021-06-17,78.4758
2021-06-18,80.7200
2021-06-19,73.6792
2021-06-20,59.7300
2021-06-21,78.1933
2021-06-22,84.5542
2021-06-23,92.3087
2021-06-24,93.1600
2021-06-25,89.4933
2021-06-26,79.3629
2021-06-27,64.1067
2021-06-28,88.7838
2021-06-29,91.5358
2021-06-30,91.9425
2021-07-01,89.7054
2021-07-02,96.0575
2021-07-03,84.0604
2021-07-04,82.2037
2021-07-05,94.1667
2021-07-06,77.3512
2021-07-07,96.4242
2021-07-08,95.7725
2021-07-09,88.4129
2021-07-10,81.2062
2021-07-11,77.4462
2021-07-12,93.9842
2021-07-13,94.1333
2021-07-14,84.8029
2021-07-15,86.2075
2021-07-16,84.2000
2021-07-17,65.3479
2021-07-18,50.8667
2021-07-19,90.8183
2021-07-20,91.3533
2021-07-21,89.1412
2021-07-22,87.7658
2021-07-23,88.6567
2021-07-24,79.3637
2021-07-25,64.6513
2021-07-26,89.7333
2021-07-27,87.1979
2021-07-28,77.5525
2021-07-29,46.1942
2021-07-30,95.0167
2021-07-31,50.2742
2021-08-01,80.8396
2021-08-02,88.6671
2021-08-03,96.4450
2021-08-04,98.6804
2021-08-05,92.1425
2021-08-06,69.5508
2021-08-07,56.3375
2021-08-08,11.2592
2021-08-09,71.1475
2021-08-10,92.0433
2021-08-11,101.2321
2021-08-12,106.2196
2021-08-13,93.7979
2021-08-14,73.9871
2021-08-15,61.4108
2021-08-16,73.0958
2021-08-17,90.6187
2021-08-18,88.5025
2021-08-19,105.5204
2021-08-20,102.8671
2021-08-21,90.0504
2021-08-22,78.8583
2021-08-23,94.1854
2021-08-24,95.5500
2021-08-25,97.3425
2021-08-26,94.2638
2021-08-27,96.2629
2021-08-28,83.0379
2021-08-29,80.9821
2021-08-30,110.5975
2021-08-31,111.0583
2021-09-01,116.2571
2021-09-02,123.8054
2021-09-03,113.0863
2021-09-04,107.0312
2021-09-05,100.3679
2021-09-06,129.8287
2021-09-07,128.9383
2021-09-08,125.0538
2021-09-09,131.8162
2021-09-10,140.0792
2021-09-11,133.7696
2021-09-12,119.3000
2021-09-13,143.1633
2021-09-14,146.2533
2021-09-15,167.9654
2021-09-16,163.0879
2021-09-17,159.9963
2021-09-18,137.3200
2021-09-19,110.3563
2021-09-20,157.6788
2021-09-21,152.1625
2021-09-22,155.9100
2021-09-23,135.1213
2021-09-24,155.6833
2021-09-25,152.5796
2021-09-26,124.6788
2021-09-27,139.8921
2021-09-28,154.3429
2021-09-29,132.8992
2021-09-30,133.1725
2021-10-01,119.1625
2021-10-02,100.1483
2021-10-03,117.6508
2021-10-04,149.0158
2021-10-05,156.4638
2021-10-06,199.0221
2021-10-07,295.4567
2021-10-08,202.7517
2021-10-09,164.2767
2021-10-10,147.5871
2021-10-11,183.3475
2021-10-12,181.3425
2021-10-13,194.2713
2021-10-14,179.9167
2021-10-15,204.9763
2021-10-16,192.0842
2021-10-17,163.8467
2021-10-18,189.2487
2021-10-19,155.4192
2021-10-20,99.3937
2021-10-21,151.9304
2021-10-22,160.6121
2021-10-23,192.7583
2021-10-24,125.1654
2021-10-25,181.2058
2021-10-26,183.6412
2021-10-27,163.3642
2021-10-28,165.1704
2021-10-29,143.2008
2021-10-30,144.6696
2021-10-31,70.8958
2021-11-01,99.7229
2021-11-02,204.1575
2021-11-03,180.6662
2021-11-04,171.7438
2021-11-05,169.3554
2021-11-06,147.1937
2021-11-07,108.1058
2021-11-08,202.4254
2021-11-09,164.1788
2021-11-10,179.5613
2021-11-11,182.3700
2021-11-12,158.4504
2021-11-13,158.0546
2021-11-14,172.7467
2021-11-15,228.5092
2021-11-16,225.0262
2021-11-17,197.7054
2021-11-18,209.0208
2021-11-19,199.0621
2021-11-20,184.5917
2021-11-21,148.1329
2021-11-22,193.5454
2021-11-23,220.4542
2021-11-24,254.6829
2021-11-25,195.5221
2021-11-26,201.0992
2021-11-27,204.6238
2021-11-28,197.3863
2021-11-29,253.8079
2021-11-30,177.0846
2021-12-01,190.1021
2021-12-02,211.3467
2021-12-03,196.1337
2021-12-04,193.0475
2021-12-05,185.3917
2021-12-06,244.4925
2021-12-07,182.9904
2021-12-08,187.4967
2021-12-09,275.8704
2021-12-10,238.2242
2021-12-11,219.9688
2021-12-12,193.8367
2021-12-13,242.8650
2021-12-14,281.1579
2021-12-15,276.5867
2021-12-16,335.2742
2021-12-17,338.1379
2021-12-18,294.1863
2021-12-19,288.9542
2021-12-20,358.5650
2021-12-21,431.9896
2021-12-22,397.4304
2021-12-23,325.6604
2021-12-24,287.1188
2021-12-25,193.8604
2021-12-26,185.7483
2021-12-27,166.5508
2021-12-28,112.8325
2021-12-29,153.9792
2021-12-30,98.5088
2021-12-31,83.5858
2022-01-01,89.9711
2022-01-02,56.4458
2022-01-03,106.4842
2022-01-04,159.9142
2022-01-05,189.3233
2022-01-06,218.0967
2022-01-07,207.2525
2022-01-08,182.2250
2022-01-09,156.0229
2022-01-10,259.7008
2022-01-11,240.3242
2022-01-12,228.0837
2022-01-13,190.1609
2022-01-14,187.4192
2022-01-15,210.1592
2022-01-16,197.8328
2022-01-17,205.7779
2022-01-18,222.1154
2022-01-19,178.4646
2022-01-20,161.3008
2022-01-21,168.7370
2022-01-22,178.3304
2022-01-23,192.4875
2022-01-24,244.2354
2022-01-25,276.3275
2022-01-26,223.1508
2022-01-27,199.3063
2022-01-28,212.0900
2022-01-29,154.3508
2022-01-30,172.9796
2022-01-31,197.2477
2022-02-01,187.1583
2022-02-02,178.7700
2022-02-03,184.7479
2022-02-04,172.1758
2022-02-05,130.0521
2022-02-06,121.1117
2022-02-07,155.8296
2022-02-08,167.7375
2022-02-09,179.1342
2022-02-10,187.4479
2022-02-11,182.6254
2022-02-12,163.4292
2022-02-13,136.8068
2022-02-14,174.9250
2022-02-15,203.4237
2022-02-16,159.5421
2022-02-17,116.1429
2022-02-18,178.7757
2022-02-19,99.6935
2022-02-20,116.9979
2022-02-21,154.8779
2022-02-22,164.9683
2022-02-23,166.1209
2022-02-24,176.0255
2022-02-25,218.7929
2022-02-26,240.9604
2022-02-27,182.7996
2022-02-28,217.9938
2022-03-01,255.5421
2022-03-02,247.3921
2022-03-03,331.7308
2022-03-04,351.2422
2022-03-05,334.1325
2022-03-06,327.6209
2022-03-07,393.4883
2022-03-08,444.4570
2022-03-09,427.4717
2022-03-10,306.3938
2022-03-11,183.5479
2022-03-12,224.8133
2022-03-13,201.0246
2022-03-14,277.1038
2022-03-15,271.2996
2022-03-16,263.3917
2022-03-17,231.9779
2022-03-18,226.5671
2022-03-19,147.0417
2022-03-20,150.3925
2022-03-21,218.1967
2022-03-22,231.8512
2022-03-23,231.8700
2022-03-24,235.8938
2022-03-25,241.1196
2022-03-26,182.4375
2022-03-27,195.8892
2022-03-28,217.4271
2022-03-29,234.3258
2022-03-30,247.4375
2022-03-31,254.9242
2022-04-01,205.9940
2022-04-02,225.5837
2022-04-03,235.3437
2022-04-04,213.5770
2022-04-05,237.7579
2022-04-06,185.9089
2022-04-07,199.2704
2022-04-08,232.0477
2022-04-09,186.2100
2022-04-10,188.5254
2022-04-11,227.2454
2022-04-12,210.1508
2022-04-13,236.6133
2022-04-14,227.1992
2022-04-15,203.8567
2022-04-16,144.6946
2022-04-17,102.9179
2022-04-18,135.8383
2022-04-19,208.5829
2022-04-20,200.7692
2022-04-21,199.6158
2022-04-22,179.0817
2022-04-23,57.9054
2022-04-24,87.9550
