-78.5957,-163.7129
-78.2233,-163.1058
-78.3802,-161.2451
-78.6936,-160.2462
-79.0463,-159.4824
-79.4970,-159.2082
-79.6342,-161.1276
-79.2815,-162.4398
-78.9288,-163.0274
-78.8700,-163.0666
-78.5957,-163.7129

53.8676,-6.1979
53.1532,-6.0330
52.2601,-6.7889
51.6693,-8.5616
51.8205,-9.9771
52.8646,-9.1663
53.8814,-9.6885
54.6645,-8.3280
55.1316,-7.5722
55.1729,-6.7338
54.5546,-5.6619
53.8676,-6.1979

-2.6002,141.0002
-3.2892,142.7352
-3.8614,144.5840
-4.3737,145.2731
-4.8765,145.8298
-5.4656,145.9819
-6.0837,147.6481
-6.6140,147.8911
-6.7217,146.9709
-7.3880,147.1919
-8.0441,148.0846
-9.1047,148.7341
-9.0714,149.3068
-9.5144,149.2666
-9.6843,150.0387
-9.8729,149.7388
-10.2937,150.8016
-10.5827,150.6906
-10.6525,150.0284
-10.3933,149.7823
-10.2809,148.9231
-10.1304,147.9130
-9.4924,147.1354
-8.9426,146.5679
-8.0674,146.0485
-7.6301,144.7442
-7.9153,143.8971
-8.2455,143.2864
-8.9831,143.4139
-9.3268,142.6284
-9.1596,142.0683
-9.1179,141.0339
-8.2972,140.1434
-8.0960,139.1278
-8.3809,138.8815
-8.4117,137.6145
-7.5979,138.0391
-7.3202,138.6686
-6.2328,138.4079
-5.3934,137.9278
-4.5465,135.9892
-4.4629,135.1646
-3.5389,133.6629
-4.0248,133.3677
-4.1130,132.9840
-3.7463,132.7569
-3.3118,132.7538
-2.8206,131.9898
-2.4604,133.0668
-2.4798,133.7800
-2.2145,133.6962
-2.2125,132.2324
-1.6172,131.8362
-1.4325,130.9428
-0.9377,130.5196
-0.6955,131.8675
-0.3695,132.3801
-0.7802,133.9855
-1.1519,134.1434
-2.7692,134.4226
-3.3677,135.4576
-2.3070,136.2933
-1.7035,137.4407
-1.7026,138.3297
-2.0513,139.1849
-2.4090,139.9267
-2.6002,141.0002

4.5259,114.2040
4.9000,114.6000
5.4477,115.4507
6.1432,116.2207
6.9248,116.7251
6.9281,117.1296
6.4222,117.6434
5.9875,117.6891
5.7087,118.3477
5.4078,119.1819
5.0161,119.1107
4.9665,118.4397
4.4782,118.6183
4.1376,117.8820
3.2344,117.3132
2.2877,118.0483
1.8276,117.8756
0.9022,118.9967
0.7842,117.8119
0.1025,117.4783
-0.8037,117.5216
-1.4876,116.5600
-2.4835,116.5338
-4.0127,116.1481
-3.6570,116.0009
-4.1070,114.8648
-3.4957,114.4687
-3.4392,113.7557
-3.1188,113.2570
-3.4784,112.0681
-2.9944,111.7033
-3.0494,111.0482
-2.9340,110.2238
-1.5929,110.0709
-1.3149,109.5719
-0.4595,109.0919
0.4154,108.9527
1.3419,109.0691
2.0065,109.6633
1.6638,110.3961
1.8506,111.1689
2.6973,111.3701
2.8859,111.7969
3.1024,112.9956
3.8935,113.7129
4.5259,114.2040

74.9800,-93.6128
74.5923,-94.1569
74.6669,-95.6087
74.9276,-96.8209
75.3778,-96.2886
75.6472,-94.8508
75.2965,-93.9777
74.9800,-93.6128

77.5200,-93.8400
77.4913,-94.2956
77.5551,-96.1697
77.8346,-96.4363
77.8200,-94.4226
77.6343,-93.7207
77.5200,-93.8400

78.7658,-96.7544
78.4183,-95.5593
78.0569,-95.8303
77.8506,-97.3098
78.0829,-98.1243
78.4581,-98.5529
78.8719,-98.6320
78.8320,-97.3372
78.7658,-96.7544

74.3923,-88.1504
74.5156,-89.7647
74.8378,-92.4224
75.3868,-92.7683
75.8827,-92.8899
76.3192,-93.8938
76.4414,-95.9625
76.7511,-97.1214
77.1614,-96.7451
77.0979,-94.6841
76.7763,-93.5739
76.7785,-91.6050
76.4496,-90.7418
76.0740,-90.9697
75.8478,-89.8222
75.6102,-89.1871
75.5662,-87.8383
75.4824,-86.3792
75.6992,-84.7896
75.7843,-82.7534
75.7140,-81.1285
75.3368,-80.0575
74.9231,-79.8339
74.6573,-80.4578
74.4425,-81.9488
74.5640,-83.2289
74.4100,-86.0975
74.3923,-88.1504

78.1530,-111.2644
77.9963,-109.8545
77.6970,-110.1869
77.4092,-112.0512
77.7322,-113.5343
78.0511,-112.7246
78.1530,-111.2644

78.8044,-110.9637
78.6020,-109.6631
78.4069,-110.8813
78.4079,-112.5421
78.5506,-112.5259
78.8500,-111.5000
78.8044,-110.9637

18.5148,-66.2824
18.4267,-65.7713
18.2280,-65.5910
17.9759,-65.8472
17.9818,-66.5999
17.9466,-67.1842
18.3745,-67.2424
18.5206,-67.1007
18.5148,-66.2824

18.4905,-77.5696
18.4009,-76.8966
18.1607,-76.3654
17.8869,-76.1997
17.8682,-76.9026
17.7011,-77.2063
17.8616,-77.7660
18.2260,-78.3377
18.4545,-78.2177
18.5242,-77.7974
18.4905,-77.5696

23.1886,-82.2682
23.1173,-81.4045
23.1060,-80.6188
22.7653,-79.6795
22.3992,-79.2815
22.5122,-78.3474
22.2772,-77.9933
21.6579,-77.1464
21.2068,-76.5238
21.2206,-76.1946
21.0166,-75.5982
20.7351,-75.6711
20.6939,-74.9339
20.2847,-74.1780
20.0504,-74.2966
19.9234,-74.9616
19.8738,-75.6347
19.9529,-76.3237
19.8555,-77.7555
20.4134,-77.0851
20.6731,-77.4927
20.7399,-78.1373
21.0286,-78.4828
