DATE,VALUE
2012-02-13,10.081649
2012-02-17,9.7387358
2012-02-21,8.7572937
2012-02-25,11.425532
2012-02-29,12.725442
2012-03-04,9.6739772
2012-03-08,11.608773
2012-03-12,12.57617
2012-03-16,10.650728
2012-03-20,11.023131
2012-03-24,12.810666
2012-03-28,11.842418
2012-04-01,12.128462
2012-04-05,9.621913
2012-04-09,12.209318
2012-04-13,9.8832516
2012-04-17,11.138268
2012-04-21,11.53046
2012-04-25,10.824514
2012-04-29,12.448738
2012-05-03,12.448738
2012-05-07,12.8237
2012-05-11,10.59746
2012-05-15,11.286726
2012-05-19,12.579099
2012-05-23,10.425144
2012-05-27,12.971214
2012-05-31,11.547544
2012-06-04,11.943008
2012-06-08,11.705729
2012-06-12,11.018028
2012-06-16,12.592032
2012-06-20,11.67262
2012-06-24,12.015932
2012-06-28,11.586792
2012-07-02,13.818322
2012-07-06,13.320987
2012-07-10,13.146857
2012-07-14,12.972726
2012-07-18,14.009601
2012-07-22,12.896255
2012-07-26,16.514629
2012-07-30,18.730042
2012-08-03,17.51512
2012-08-07,15.085277
2012-08-11,15.996468
2012-08-15,18.62336
2012-08-19,17.207549
2012-08-23,17.969909
2012-08-27,18.077425
2012-08-31,17.349475
2012-09-04,15.5296
2012-09-08,18.749059
2012-09-12,18.882981
2012-09-16,20.088278
2012-09-20,20.929448
2012-09-24,22.210843
2012-09-28,23.34986
2012-10-02,19.363299
2012-10-06,21.562183
2012-10-10,22.625107
2012-10-14,20.954797
2012-10-18,23.672521
2012-10-22,25.352506
2012-10-26,24.588877
2012-10-30,24.474807
2012-11-03,23.489244
2012-11-07,25.78889
2012-11-11,21.682379
2012-11-15,22.774876
2012-11-19,20.597866
2012-11-23,24.282037
2012-11-27,25.984262
2012-12-01,27.351855
2012-12-05,20.513891
2012-12-09,22.223382
2012-12-13,22.78444
2012-12-17,21.109113
2012-12-21,20.27145
2012-12-25,20.606515
2012-12-29,19.847884
2013-01-02,23.106492
2013-01-06,21.032833
2013-01-10,23.584254
2013-01-14,24.876542
2013-01-18,20.191998
2013-01-22,20.676606
2013-01-26,22.136793
2013-01-30,21.3989
2013-02-03,24.350473
2013-02-07,24.097986
2013-02-11,25.889052
2013-02-15,28.657064
2013-02-19,30.1278
2013-02-23,29.401829
2013-02-27,36.843033
2013-03-03,33.003501
2013-03-07,33.003501
2013-03-11,40.385863
2013-03-15,40.966234
2013-03-19,47.472636
2013-03-23,50.605348
2013-03-27,41.939268
2013-03-31,52.257659
2013-04-04,53.256213
2013-04-08,64.461145
2013-04-12,65.986853
2013-04-16,69.801122
2013-04-20,64.686628
2013-04-24,78.070068
2013-04-28,74.501151
2013-05-02,72.128914
2013-05-06,81.645923
2013-05-10,83.649504
2013-05-14,81.749873
2013-05-18,81.749873
2013-05-22,92.316183
2013-05-26,97.268049
2013-05-30,102.10124
2013-06-03,126.26722
2013-06-07,124.89739
2013-06-11,136.5338
2013-06-15,136.5338
2013-06-19,120.16997
2013-06-23,169.19931
2013-06-27,159.58572
2013-07-01,162.2695
2013-07-05,187.72354
2013-07-09,213.17758
2013-07-13,196.3851
2013-07-17,219.79525
2013-07-21,253.6099
2013-07-25,212.8695
2013-07-29,257.92946
2013-08-02,295.22047
2013-08-06,351.31405
2013-08-10,369.90209
2013-08-14,388.97253
2013-08-18,497.58174
2013-08-22,525.3655
2013-08-26,532.75787
2013-08-30,634.07992
2013-09-03,604.66385
2013-09-07,704.39859
2013-09-11,868.61421
2013-09-15,1024.5796
2013-09-19,1091.7651
2013-09-23,1237.3338
2013-09-27,1302.0203
2013-10-01,1449.9771
2013-10-05,1560.9448
2013-10-09,1721.8876
2013-10-13,2154.7118
2013-10-17,2382.3097
2013-10-21,2675.1075
2013-10-25,3194.1582
2013-10-29,3051.0085
2013-11-02,4216.9991
2013-11-06,4114.5497
2013-11-10,4266.9404
2013-11-14,4292.3389
2013-11-18,4968.7979
2013-11-22,5029.393
2013-11-26,4968.7979
2013-11-30,5626.473
2013-12-04,6224.2858
2013-12-08,6294.6167
2013-12-12,7495.6248
2013-12-16,8714.7927
2013-12-20,9121.182
2013-12-24,9744.8657
2013-12-28,9627.4577
2014-01-01,11740.802
2014-01-05,12692.357
2014-01-09,12762.87
2014-01-13,18058.649
2014-01-17,13610.706
2014-01-21,15300.924
2014-01-25,16903.799
2014-01-29,17230.97
2014-02-02,19412.105
2014-02-06,21761.891
2014-02-10,19937.54
2014-02-14,24889.348
2014-02-18,25980.512
2014-02-22,25513.796
2014-02-26,28158.519
2014-03-02,28262.418
2014-03-06,30728.267
2014-03-10,31297.309
2014-03-14,29367.848
2014-03-18,30635.524
2014-03-22,37185.188
2014-03-26,39324.998
2014-03-30,37084.966
2014-04-03,51769.617
2014-04-07,44415.132
2014-04-11,45327.772
2014-04-15,59321.581
2014-04-19,56547.984
2014-04-23,60711.026
2014-04-27,57935.665
2014-05-01,66817.886
2014-05-05,49715.689
2014-05-09,66022.435
2014-05-13,74817.971
2014-05-17,80539.345
2014-05-21,78338.817
2014-05-25,78483.257
2014-05-29,68088.123
2014-06-02,93036.443
2014-06-06,86494.362
2014-06-10,103442.58
2014-06-14,102858.16
2014-06-18,113768.84
2014-06-22,129161.1
2014-06-26,114438.07
2014-06-30,104506.28
2014-07-04,133768.04
2014-07-08,135440.14
2014-07-12,137948.29
2014-07-16,142195.84
2014-07-20,146504.81
2014-07-24,128407.16
2014-07-28,126669.52
2014-08-01,142503.21
2014-08-05,122943.95
2014-08-09,169672.52
2014-08-13,153980.27
2014-08-17,161826.39
2014-08-21,199134.6
2014-08-25,158833.55
2014-08-29,196763.95
2014-09-02,194978.3
2014-09-06,229065.42
2014-09-10,212703.6
2014-09-14,252083.49
2014-09-18,274326.15
2014-09-22,232806.52
2014-09-26,260177.35
2014-09-30,261900.38
2014-10-04,246393.12
2014-10-08,225716.78
2014-10-12,257517.46
2014-10-16,260997.42
2014-10-20,240117.63
2014-10-24,291583.51
2014-10-28,268328.38
2014-11-01,286216.94
2014-11-05,314993.43
2014-11-09,273650.54
2014-11-13,287431.5
2014-11-17,299243.76
2014-11-21,248412.35
2014-11-25,256425.65
2014-11-29,302502.13
2014-12-03,242402.37
2014-12-07,242631.42
2014-12-11,288373.41
2014-12-15,304283.67
2014-12-19,243219.98
2014-12-23,317755.14
2014-12-27,313832.24
2014-12-31,313142.29
2015-01-04,335365.29
2015-01-08,272736.83
2015-01-12,358478.28
2015-01-16,325690.63
2015-01-20,262301.18
2015-01-24,264487.02
2015-01-28,324166.34
2015-02-01,348786.57
2015-02-05,301597.8
2015-02-09,342533.06
2015-02-13,309384.7
2015-02-17,342533.06
2015-02-21,304964.92
2015-02-25,362028.1
2015-03-01,348103.94
