DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,B1GQ,IT,1995,24910.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,B1GQ,IT,1996,25240.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,B1GQ,IT,1997,25710.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,B1GQ,IT,1998,26170.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,B1GQ,IT,1999,26600.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,B1GQ,IT,2000,27620.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,B1GQ,IT,2001,28160.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,B1GQ,IT,2002,28180.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,B1GQ,IT,2003,28050.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,B1GQ,IT,2004,28250.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,B1GQ,IT,2005,28300.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,B1GQ,IT,2006,28690.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,B1GQ,IT,2007,28940.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,B1GQ,IT,2008,28420.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,B1GQ,IT,2009,26760.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,B1GQ,IT,2010,27050.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,B1GQ,IT,2011,27140.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,B1GQ,IT,2012,26220.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,B1GQ,IT,2013,25690.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,B1GQ,IT,2014,25690.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,B1GQ,IT,2015,25960.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,B1GQ,IT,2016,26330.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,B1GQ,IT,2017,26800.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,B1GQ,IT,2018,27080.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,B1GQ,IT,2019,27260.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,B1GQ,IT,2020,24960.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,B1GQ,IT,2021,27330.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,B1GQ,IT,2022,28710.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,B1GQ,IT,2023,28990.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,B1GQ,IT,2024,29230.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,B1GQ,IT,2025,29390.0,e,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,P3,IT,1995,19250.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,P3,IT,1996,19460.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,P3,IT,1997,19990.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,P3,IT,1998,20600.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,P3,IT,1999,21100.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,P3,IT,2000,21710.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,P3,IT,2001,22080.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,P3,IT,2002,22110.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,P3,IT,2003,22180.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,P3,IT,2004,22220.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,P3,IT,2005,22330.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,P3,IT,2006,22430.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,P3,IT,2007,22500.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,P3,IT,2008,22230.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,P3,IT,2009,21870.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,P3,IT,2010,21920.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,P3,IT,2011,21750.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,P3,IT,2012,20970.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,P3,IT,2013,20520.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,P3,IT,2014,20530.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,P3,IT,2015,20840.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,P3,IT,2016,21060.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,P3,IT,2017,21310.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,P3,IT,2018,21440.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,P3,IT,2019,21470.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,P3,IT,2020,19850.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,P3,IT,2021,20930.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,P3,IT,2022,21840.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,P3,IT,2023,21990.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,P3,IT,2024,22280.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,P3,IT,2025,22500.0,e,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,P31_S13,IT,1995,2740.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,P31_S13,IT,1996,2770.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,P31_S13,IT,1997,2810.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,P31_S13,IT,1998,2820.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,P31_S13,IT,1999,2860.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,P31_S13,IT,2000,2970.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,P31_S13,IT,2001,3130.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,P31_S13,IT,2002,3190.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,P31_S13,IT,2003,3200.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,P31_S13,IT,2004,3230.0,,
ESTAT:NAMA_10_PC(1.0),22/07/26 23:00:00,A,CLV10_EUR_HAB,P31_S13,IT,2005,3260.0,,
