DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,AL01,2016,830981,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,AL01,2017,826904,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,AL01,2018,819793,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,AL01,2019,813758,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,AL01,2020,804689,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,AL01,2021,797955,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,AL01,2022,783970,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,AL01,2023,771020,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,AL01,2025,633710,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,AL02,2016,1130587,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,AL02,2017,1146183,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,AL02,2018,1162544,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,AL02,2019,1170142,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,AL02,2020,1176240,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,AL02,2021,1178435,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,AL02,2022,1178623,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,AL02,2023,1177987,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,AL02,2025,986944,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,AL03,2016,914024,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,AL03,2017,903504,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,AL03,2018,887987,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,AL03,2019,878527,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,AL03,2020,865026,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,AL03,2021,853351,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,AL03,2022,830999,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,AL03,2023,812778,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,AL03,2025,742660,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,ALXX,2018,0,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,ALXX,2019,0,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,AT11,2014,287416,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,AT11,2015,288356,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,AT11,2016,291011,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,AT11,2017,291942,,
