DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,ITC1,2014,4420924,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,ITC1,2015,4403562,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,ITC1,2016,4384226,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,ITC1,2017,4370348,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,ITC1,2018,4349911,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,ITC1,2019,4328565,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,ITC1,2020,4311217,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,ITC1,2021,4274945,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,ITC1,2022,4256350,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,ITC1,2023,4251351,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,ITC1,2024,4251623,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,ITC1,2025,4251868,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,ITC2,2014,128245,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,ITC2,2015,127972,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,ITC2,2016,127030,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,ITC2,2017,126677,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,ITC2,2018,126213,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,ITC2,2019,125653,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,ITC2,2020,125034,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,ITC2,2021,124089,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,ITC2,2022,123360,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,ITC2,2023,123130,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,ITC2,2024,122877,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,ITC2,2025,122532,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,ITC3,2014,1580322,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,ITC3,2015,1569427,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,ITC3,2016,1557742,,
ESTAT:TGS00096(1.0),09/07/26 11:00:00,A,NR,TOTAL,T,ITC3,2017,1551379,,
