DATAFLOW,LAST UPDATE,freq,indic_em,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-24,PC_POP,IT,2009,23.6,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-24,PC_POP,IT,2010,23.1,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-24,PC_POP,IT,2011,22.8,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-24,PC_POP,IT,2012,24.0,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-24,PC_POP,IT,2013,23.4,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-24,PC_POP,IT,2014,23.1,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-24,PC_POP,IT,2015,21.7,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-24,PC_POP,IT,2016,22.7,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-24,PC_POP,IT,2017,22.1,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-24,PC_POP,IT,2018,21.9,b,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-24,PC_POP,IT,2019,22.0,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-24,PC_POP,IT,2020,18.8,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-24,PC_POP,IT,2021,20.1,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-24,PC_POP,IT,2022,21.5,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-24,PC_POP,IT,2023,21.6,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-24,PC_POP,IT,2024,19.4,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-24,PC_POP,IT,2025,18.5,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-24,THS_PER,IT,2009,691.0,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-24,THS_PER,IT,2010,675.0,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-24,THS_PER,IT,2011,665.0,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-24,THS_PER,IT,2012,700.0,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-24,THS_PER,IT,2013,681.0,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-24,THS_PER,IT,2014,667.0,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-24,THS_PER,IT,2015,620.0,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-24,THS_PER,IT,2016,645.0,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-24,THS_PER,IT,2017,623.0,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-24,THS_PER,IT,2018,611.0,b,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-24,THS_PER,IT,2019,614.0,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-24,THS_PER,IT,2020,524.0,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-24,THS_PER,IT,2021,561.0,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-24,THS_PER,IT,2022,601.0,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-24,THS_PER,IT,2023,605.0,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-24,THS_PER,IT,2024,545.0,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-24,THS_PER,IT,2025,521.0,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-29,PC_POP,IT,2009,38.1,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-29,PC_POP,IT,2010,36.9,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-29,PC_POP,IT,2011,36.6,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-29,PC_POP,IT,2012,37.7,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-29,PC_POP,IT,2013,36.7,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-29,PC_POP,IT,2014,36.7,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-29,PC_POP,IT,2015,35.5,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-29,PC_POP,IT,2016,36.4,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-29,PC_POP,IT,2017,36.3,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-29,PC_POP,IT,2018,36.0,b,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-29,PC_POP,IT,2019,36.0,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-29,PC_POP,IT,2020,32.4,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-29,PC_POP,IT,2021,34.5,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-29,PC_POP,IT,2022,36.0,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-29,PC_POP,IT,2023,35.8,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-29,PC_POP,IT,2024,34.6,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-29,PC_POP,IT,2025,33.5,,
ESTAT:LFSI_EMP_A(1.0),11/06/26 23:00:00,A,ACT,F,Y15-29,THS_PER,IT,2009,1768.0,,
