DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B1G,IT,2017,1337766.9,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B1G,IT,2018,1351030.7,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B1G,IT,2019,1360524.1,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B1G,IT,2020,1247623.0,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B1G,IT,2021,1359474.6,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B1G,IT,2022,1426628.9,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B1G,IT,2023,1439874.2,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B1G,IT,2024,1447422.3,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B1G,IT,2025,1453299.9,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B1GQ,IT,1995,1289613.1,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B1GQ,IT,1996,1306965.9,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B1GQ,IT,1997,1332134.5,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B1GQ,IT,1998,1356171.1,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B1GQ,IT,1999,1378927.6,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B1GQ,IT,2000,1432458.9,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B1GQ,IT,2001,1461200.2,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B1GQ,IT,2002,1465144.5,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B1GQ,IT,2003,1466119.6,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B1GQ,IT,2004,1487730.5,,
