year,value
2025,
2024,
2023,44.2565839307453
2022,43.9631475720276
2021,41.9422315930434
2020,42.332263616904
2019,44.3699956377212
2018,41.948748469826
2017,43.3743295977925
2016,43.3250596852407
2015,43.7748124902779
2014,44.5086196984965
2013,46.0912085162215
2012,46.4259869199711
2011,46.8439526846523
2010,48.45088902265
2009,47.2828843695683
2008,48.8884680675508
2007,47.8902197363705
2006,48.0288653379233
2005,49.8312581581101
2004,50.3283533636776
2003,50.4095117645865
2002,51.6471773784484
2001,52.4215637871215
2000,52.8780797922345
1999,53.7179966679134
1998,52.6469688211894
1997,52.1743565332699
1996,52.1879568868791
1995,52.1335554724423
1994,53.3881880928904
1993,54.0954064805685
1992,54.3266124919248
1991,54.5850192104995
1990,57.2574886947061
1989,57.291489578729
1988,57.2540886063038
1987,57.8423038999014
1986,57.9443065519703
1985,58.1245112372922
1984,58.6311244092346
1983,58.6855258236714
1982,59.6239502227058
1981,59.6749515487403
1980,59.7123525211655
1979,59.8687565876713
1978,59.8041549080276
1977,59.5049471286253
1976,59.6001496038897
1975,59.5593485430621
1974,59.5083472170276
1973,59.4403454489817
1972,59.5287477474414
1971,60.0081602121655
1970,68.6137839583829
1969,68.773588113291
1968,69.2087994287852
1967,69.2904015504403
1966,69.3788038489001
1965,69.4978069429805
1964,69.5726088878311
1963,69.7358131311414
1962,70.2186256842678
1961,70.324028424739
1960,
