DATAFLOW,LAST UPDATE,freq,landuse,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC1,2016,25152.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC1,2017,25152.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC1,2018,25151.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC1,2019,25151.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC1,2020,25151.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC1,2021,25151.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC1,2022,25151.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC1,2023,25151.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC1,2024,25151.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC1,2025,25151.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC1,2026,25151.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC11,2013,6784.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC11,2014,6784.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC11,2015,6784.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC11,2016,6784.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC11,2017,6784.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC11,2018,6784.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC11,2019,6784.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC11,2020,6784.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC11,2021,6784.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC11,2022,6784.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC11,2023,6784.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC11,2024,6784.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC11,2025,6784.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC11,2026,6784.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC12,2013,2070.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC12,2014,2070.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC12,2015,2070.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC12,2016,2070.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC12,2017,2070.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC12,2018,2070.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC12,2019,2070.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC12,2020,2070.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC12,2021,2070.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC12,2022,2070.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC12,2023,2070.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC12,2024,2070.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC12,2025,2070.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC12,2026,2070.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC13,2013,906.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC13,2014,906.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC13,2015,906.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC13,2016,906.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC13,2017,906.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC13,2018,906.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC13,2019,906.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC13,2020,906.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC13,2021,906.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC13,2022,906.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC13,2023,906.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC13,2024,906.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC13,2025,906.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC13,2026,906.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC14,2013,2165.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC14,2014,2165.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC14,2015,2165.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC14,2016,2165.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC14,2017,2165.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC14,2018,2165.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC14,2019,2165.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC14,2020,2165.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC14,2021,2165.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC14,2022,2165.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC14,2023,2165.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC14,2024,2165.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC14,2025,2165.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC14,2026,2165.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC15,2013,1304.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC15,2014,1304.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC15,2015,1304.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC15,2016,1304.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC15,2017,1304.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC15,2018,1304.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC15,2019,1304.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC15,2020,1304.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC15,2021,1304.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC15,2022,1304.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC15,2023,1304.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC15,2024,1304.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC15,2025,1304.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC15,2026,1304.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC16,2013,6882.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC16,2014,6882.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC16,2015,6882.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC16,2016,6882.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC16,2017,6882.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC16,2018,6882.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC16,2019,6882.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC16,2020,6882.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC16,2021,6882.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC16,2022,6882.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC16,2023,6882.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC16,2024,6882.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC16,2025,6882.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC16,2026,6882.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC17,2013,1506.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC17,2014,1506.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC17,2015,1506.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC17,2016,1506.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC17,2017,1506.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC17,2018,1506.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC17,2019,1506.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC17,2020,1506.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC17,2021,1506.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC17,2022,1506.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC17,2023,1506.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC17,2024,1506.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC17,2025,1506.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC17,2026,1506.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC18,2013,3534.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC18,2014,3534.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC18,2015,3534.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC18,2016,3534.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC18,2017,3534.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC18,2018,3534.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC18,2019,3534.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC18,2020,3534.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC18,2021,3534.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC18,2022,3534.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC18,2023,3534.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC18,2024,3534.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC18,2025,3534.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC18,2026,3534.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC2,2013,3245.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC2,2014,3245.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC2,2015,3245.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC2,2016,3245.0,,
