id,name,lat,lon,elevation,daily_start,daily_end
16192,Loreto / Montarice,43.43,13.6036,196,2005-07-30,2021-06-13
16194,Villa Potenza,43.3,13.45,320,,
16197,M. Calamita,42.7333,10.4,396,,
16198,Isola D`elba / Miniera Calamita,42.7311,10.3956,396,,
16204,Radicofani,42.9,11.7667,816,,
16206,Grosseto,42.75,11.0667,5,1944-12-11,2025-08-24
16210,Furbara / Vaccina,41.9969,12.0164,11,,
16212,S. Teresa / Susak,44.4167,14.1667,5,,
16214,Civitavecchia,42.0333,11.8333,3,2006-11-22,2022-03-31
16215,Civitavecchia / Villaggio del Fanciullo,42.0328,11.8331,3,,
16216,Viterbo,42.4333,12.05,300,1975-02-17,1997-10-26
16217,Orte / San Valentino,42.4714,12.3422,74,,
16218,Viterbo / Bullicame,42.4408,12.0578,309,2005-08-02,2018-03-07
16219,Monte Terminillo,42.4667,12.9833,1874,1965-04-28,2025-08-24
16221,Rieti,42.4167,12.85,389,2016-08-25,2017-01-20
16223,Vigna Di Valle,42.0814,12.2117,265,,
16224,Vigna Di Valle,42.0833,12.2167,262,1954-10-02,2025-08-23
16226,L`aquila / Coppito,42.3756,13.3272,668,,
16227,Fucino,41.8833,13.5833,655,,
16228,Preturo,42.3667,13.3,665,,
16229,Gran Sasso Mountain Range / Gran Sasso Mtn Rng / San Massimo,42.45,13.7,2138,,
16230,Pescara,42.4333,14.2,10,1974-03-28,2022-04-25
16231,S. Giovanni Teatino / San Silvestro,42.4189,14.2114,179,,
16232,Termoli,42.0,15.0,16,1975-03-17,2025-06-05
16233,Guidonia / Le Casette,41.9886,12.7375,89,,
16234,Guidonia,42.0,12.7333,88,,
16235,Roma / Urbe,41.95,12.5,18,1974-06-03,2007-07-01
16238,Rome Centocelle,41.8681,12.5578,52,,
16239,Roma / Ciampino,41.7833,12.5833,129,1951-01-01,2025-08-24
16240,Rome,41.9,12.4833,95,,
16242,Roma Fiumicino,41.8,12.2333,2,1973-01-02,2022-04-25
16243,Latina,41.55,12.9,25,1980-03-16,2001-06-24
16244,Frosinone,41.6333,13.3,180,1974-06-07,2000-05-31
16245,Pratica Di Mare,41.65,12.45,6,1966-09-28,2025-08-24
16247,Tevere A Ripetta / Borgo Carso,41.5447,12.9106,25,,
16249,Cape Circeo / Colonia Elena,41.2508,13.1186,2,2005-07-31,2016-02-08
16252,Campobasso,41.5667,14.65,793,1965-05-01,2025-08-20
16253,Grazzanise,41.05,14.0667,9,1944-04-01,2025-08-24
16258,Monte S. Angelo,41.7,15.95,838,1951-11-07,2025-08-24
16259,S. Samuele Di Caferio / Torre Giulia,41.25,16.05,32,,
16260,Foggia / Pozzarsogno,41.4333,15.5333,80,2011-05-24,2011-09-13
16261,Amendola,41.5333,15.7167,57,1944-02-03,2022-04-24
16262,Trevico / Orneta,41.0469,15.2319,1092,,
16263,Trevico,41.05,15.2333,1085,1990-01-31,2021-08-16
16266,Vieste / Lupetto,41.8881,16.1647,3,2005-08-01,2022-04-03
16270,Bari / Palese Macchie,41.1333,16.7833,34,1943-12-08,2022-04-25
16271,Bari / Carbonara di Bari,41.1206,16.8836,10,2005-07-30,2022-04-03
16280,Ponza,40.9167,12.95,184,1965-04-28,2025-06-18
16281,Ponza / Santa Maria,40.9,12.95,184,,
16288,Caserta / Sala,41.0708,14.3236,61,2005-08-02,2022-04-03
16289,Napoli / Capodichino,40.85,14.3,88,2005-04-23,2022-04-25
16292,Pontecagnano / Faiano,40.6225,14.9108,38,,
16294,Capri,40.55,14.2,160,2005-07-30,2022-04-22
16295,Capri / Marina Grande,40.55,14.2,161,,
16300,Potenza,40.6333,15.8,823,,
16310,Capo Palinuro,40.0167,15.2833,184,1964-08-11,2025-04-30
16312,Gioia Del Colle,40.7667,16.9333,345,1944-03-01,2022-04-24
16314,Matera / Martella,40.6753,16.6561,496,2005-07-30,2022-04-01
16316,Latronico,40.0833,16.0167,888,2005-07-30,2012-04-17
16317,Latronico / Masuldo,40.0875,16.0136,895,,
16318,Martina Franca(iafb) / Masseria Orimini,40.6428,17.2061,413,2005-08-01,2019-11-20
16320,Brindisi,40.65,17.95,15,1943-11-30,2025-08-24
16324,Grottaglie,40.5167,17.4,64,1943-09-28,1990-12-26
16325,Marina Di Ginosa,40.4333,16.8833,2,1967-03-18,2025-08-23
16332,Lecce,40.2333,18.15,48,1944-01-01,2022-04-24
