time,time_label,geo,geo_label,unit,unit_label,freq,freq_label,OBS_VALUE
2011,2011,ITC1,Piemonte,EUR_HAB,Euro per inhabitant,A,Annual,28500.0
2012,2012,ITC1,Piemonte,EUR_HAB,Euro per inhabitant,A,Annual,27500.0
2013,2013,ITC1,Piemonte,EUR_HAB,Euro per inhabitant,A,Annual,27800.0
2014,2014,ITC1,Piemonte,EUR_HAB,Euro per inhabitant,A,Annual,27800.0
2015,2015,ITC1,Piemonte,EUR_HAB,Euro per inhabitant,A,Annual,28400.0
2016,2016,ITC1,Piemonte,EUR_HAB,Euro per inhabitant,A,Annual,29300.0
2017,2017,ITC1,Piemonte,EUR_HAB,Euro per inhabitant,A,Annual,30400.0
2018,2018,ITC1,Piemonte,EUR_HAB,Euro per inhabitant,A,Annual,31200.0
2019,2019,ITC1,Piemonte,EUR_HAB,Euro per inhabitant,A,Annual,31400.0
2020,2020,ITC1,Piemonte,EUR_HAB,Euro per inhabitant,A,Annual,29000.0
2021,2021,ITC1,Piemonte,EUR_HAB,Euro per inhabitant,A,Annual,32200.0
2022,2022,ITC1,Piemonte,EUR_HAB,Euro per inhabitant,A,Annual,34500.0
2023,2023,ITC1,Piemonte,EUR_HAB,Euro per inhabitant,A,Annual,37400.0
2024,2024,ITC1,Piemonte,EUR_HAB,Euro per inhabitant,A,Annual,38600.0
2000,2000,ITC2,Valle d’Aosta/Vallée d’Aoste,EUR_HAB,Euro per inhabitant,A,Annual,28700.0
2001,2001,ITC2,Valle d’Aosta/Vallée d’Aoste,EUR_HAB,Euro per inhabitant,A,Annual,30200.0
2002,2002,ITC2,Valle d’Aosta/Vallée d’Aoste,EUR_HAB,Euro per inhabitant,A,Annual,31300.0
2003,2003,ITC2,Valle d’Aosta/Vallée d’Aoste,EUR_HAB,Euro per inhabitant,A,Annual,33400.0
2004,2004,ITC2,Valle d’Aosta/Vallée d’Aoste,EUR_HAB,Euro per inhabitant,A,Annual,34000.0
2005,2005,ITC2,Valle d’Aosta/Vallée d’Aoste,EUR_HAB,Euro per inhabitant,A,Annual,34800.0
2006,2006,ITC2,Valle d’Aosta/Vallée d’Aoste,EUR_HAB,Euro per inhabitant,A,Annual,35800.0
2007,2007,ITC2,Valle d’Aosta/Vallée d’Aoste,EUR_HAB,Euro per inhabitant,A,Annual,36500.0
2008,2008,ITC2,Valle d’Aosta/Vallée d’Aoste,EUR_HAB,Euro per inhabitant,A,Annual,37600.0
2009,2009,ITC2,Valle d’Aosta/Vallée d’Aoste,EUR_HAB,Euro per inhabitant,A,Annual,35700.0
2010,2010,ITC2,Valle d’Aosta/Vallée d’Aoste,EUR_HAB,Euro per inhabitant,A,Annual,37200.0
2011,2011,ITC2,Valle d’Aosta/Vallée d’Aoste,EUR_HAB,Euro per inhabitant,A,Annual,37900.0
2012,2012,ITC2,Valle d’Aosta/Vallée d’Aoste,EUR_HAB,Euro per inhabitant,A,Annual,38200.0
2013,2013,ITC2,Valle d’Aosta/Vallée d’Aoste,EUR_HAB,Euro per inhabitant,A,Annual,36600.0
2014,2014,ITC2,Valle d’Aosta/Vallée d’Aoste,EUR_HAB,Euro per inhabitant,A,Annual,36200.0
2015,2015,ITC2,Valle d’Aosta/Vallée d’Aoste,EUR_HAB,Euro per inhabitant,A,Annual,36500.0
2016,2016,ITC2,Valle d’Aosta/Vallée d’Aoste,EUR_HAB,Euro per inhabitant,A,Annual,36200.0
2017,2017,ITC2,Valle d’Aosta/Vallée d’Aoste,EUR_HAB,Euro per inhabitant,A,Annual,37700.0
2018,2018,ITC2,Valle d’Aosta/Vallée d’Aoste,EUR_HAB,Euro per inhabitant,A,Annual,38200.0
2019,2019,ITC2,Valle d’Aosta/Vallée d’Aoste,EUR_HAB,Euro per inhabitant,A,Annual,38700.0
2020,2020,ITC2,Valle d’Aosta/Vallée d’Aoste,EUR_HAB,Euro per inhabitant,A,Annual,35700.0
2021,2021,ITC2,Valle d’Aosta/Vallée d’Aoste,EUR_HAB,Euro per inhabitant,A,Annual,38700.0
2022,2022,ITC2,Valle d’Aosta/Vallée d’Aoste,EUR_HAB,Euro per inhabitant,A,Annual,43900.0
2023,2023,ITC2,Valle d’Aosta/Vallée d’Aoste,EUR_HAB,Euro per inhabitant,A,Annual,47200.0
2024,2024,ITC2,Valle d’Aosta/Vallée d’Aoste,EUR_HAB,Euro per inhabitant,A,Annual,47700.0
2000,2000,ITC3,Liguria,EUR_HAB,Euro per inhabitant,A,Annual,23000.0
2001,2001,ITC3,Liguria,EUR_HAB,Euro per inhabitant,A,Annual,24600.0
2002,2002,ITC3,Liguria,EUR_HAB,Euro per inhabitant,A,Annual,24900.0
2003,2003,ITC3,Liguria,EUR_HAB,Euro per inhabitant,A,Annual,25900.0
2004,2004,ITC3,Liguria,EUR_HAB,Euro per inhabitant,A,Annual,26800.0
