time,time_label,geo,geo_label,na_item,na_item_label,unit,unit_label,freq,freq_label,OBS_VALUE
2001,2001,IT,Italy,P3,Final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,22080.0
2002,2002,IT,Italy,P3,Final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,22110.0
2003,2003,IT,Italy,P3,Final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,22180.0
2004,2004,IT,Italy,P3,Final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,22220.0
2005,2005,IT,Italy,P3,Final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,22330.0
2006,2006,IT,Italy,P3,Final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,22430.0
2007,2007,IT,Italy,P3,Final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,22500.0
2008,2008,IT,Italy,P3,Final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,22230.0
2009,2009,IT,Italy,P3,Final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,21870.0
2010,2010,IT,Italy,P3,Final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,21920.0
2011,2011,IT,Italy,P3,Final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,21750.0
2012,2012,IT,Italy,P3,Final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,20970.0
2013,2013,IT,Italy,P3,Final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,20520.0
2014,2014,IT,Italy,P3,Final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,20530.0
2015,2015,IT,Italy,P3,Final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,20840.0
2016,2016,IT,Italy,P3,Final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,21060.0
2017,2017,IT,Italy,P3,Final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,21310.0
2018,2018,IT,Italy,P3,Final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,21440.0
2019,2019,IT,Italy,P3,Final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,21470.0
2020,2020,IT,Italy,P3,Final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,19850.0
2021,2021,IT,Italy,P3,Final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,20930.0
2022,2022,IT,Italy,P3,Final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,21840.0
2023,2023,IT,Italy,P3,Final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,21990.0
2024,2024,IT,Italy,P3,Final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,22280.0
2025,2025,IT,Italy,P3,Final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,22500.0
1995,1995,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,2740.0
1996,1996,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,2770.0
1997,1997,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,2810.0
1998,1998,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,2820.0
1999,1999,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,2860.0
2000,2000,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,2970.0
2001,2001,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,3130.0
2002,2002,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,3190.0
2003,2003,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,3200.0
2004,2004,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,3230.0
2005,2005,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,3260.0
2006,2006,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,3260.0
2007,2007,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,3270.0
2008,2008,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,3240.0
2009,2009,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,3250.0
2010,2010,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,3220.0
2011,2011,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,3120.0
2012,2012,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,3060.0
2013,2013,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,3020.0
2014,2014,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,3050.0
2015,2015,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,3090.0
2016,2016,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,3110.0
2017,2017,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,3150.0
2018,2018,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,3190.0
2019,2019,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,3180.0
2020,2020,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,3190.0
2021,2021,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,3340.0
2022,2022,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,3370.0
