DATAFLOW,LAST UPDATE,freq,unit,nace_r2,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,EMP_DC,IT,1995,131.6,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,EMP_DC,IT,1996,129.6,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,EMP_DC,IT,1997,129.7,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,EMP_DC,IT,1998,126.7,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,EMP_DC,IT,1999,121.8,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,EMP_DC,IT,2000,113.1,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,EMP_DC,IT,2001,116.6,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,EMP_DC,IT,2002,114.0,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,EMP_DC,IT,2003,111.5,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,EMP_DC,IT,2004,113.5,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,EMP_DC,IT,2005,111.3,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,EMP_DC,IT,2006,112.7,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,EMP_DC,IT,2007,111.2,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,EMP_DC,IT,2008,106.4,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,EMP_DC,IT,2009,104.1,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,EMP_DC,IT,2010,103.1,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,EMP_DC,IT,2011,100.0,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,EMP_DC,IT,2012,96.6,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,EMP_DC,IT,2013,96.3,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,EMP_DC,IT,2014,98.1,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,EMP_DC,IT,2015,100.0,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,EMP_DC,IT,2016,102.6,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,EMP_DC,IT,2017,100.5,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,EMP_DC,IT,2018,103.3,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,EMP_DC,IT,2019,102.1,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,EMP_DC,IT,2020,97.6,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,EMP_DC,IT,2021,100.8,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,EMP_DC,IT,2022,101.4,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,EMP_DC,IT,2023,103.0,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,EMP_DC,IT,2024,103.6,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,EMP_DC,IT,2025,103.3,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,SAL_DC,IT,1995,111.4,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,SAL_DC,IT,1996,106.0,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,SAL_DC,IT,1997,104.9,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,SAL_DC,IT,1998,103.7,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,SAL_DC,IT,1999,101.9,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,SAL_DC,IT,2000,98.9,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,SAL_DC,IT,2001,103.2,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,SAL_DC,IT,2002,97.9,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,SAL_DC,IT,2003,90.1,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,SAL_DC,IT,2004,94.9,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,SAL_DC,IT,2005,102.4,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,SAL_DC,IT,2006,105.3,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,SAL_DC,IT,2007,102.2,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,SAL_DC,IT,2008,101.0,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,SAL_DC,IT,2009,96.0,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,SAL_DC,IT,2010,98.3,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,SAL_DC,IT,2011,100.7,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,SAL_DC,IT,2012,98.3,,
ESTAT:NAMA_10_A10_E(1.0),15/07/26 11:00:00,A,I15_HW,A,SAL_DC,IT,2013,96.2,,
