time,time_label,geo,geo_label,na_item,na_item_label,direct,direct_label,unit,unit_label,freq,freq_label,OBS_VALUE
2013,2013,ITC,Nord-Ovest,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,22800.0
2014,2014,ITC,Nord-Ovest,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,22900.0
2015,2015,ITC,Nord-Ovest,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,23300.0
2016,2016,ITC,Nord-Ovest,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,23600.0
2017,2017,ITC,Nord-Ovest,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,24300.0
2018,2018,ITC,Nord-Ovest,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,24600.0
2019,2019,ITC,Nord-Ovest,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,24900.0
2020,2020,ITC,Nord-Ovest,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,23400.0
2021,2021,ITC,Nord-Ovest,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,25500.0
2022,2022,ITC,Nord-Ovest,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,27300.0
2023,2023,ITC,Nord-Ovest,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,29100.0
2024,2024,ITC,Nord-Ovest,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,30200.0
2000,2000,ITC1,Piemonte,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,18100.0
2001,2001,ITC1,Piemonte,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,18600.0
2002,2002,ITC1,Piemonte,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,19200.0
2003,2003,ITC1,Piemonte,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,19700.0
2004,2004,ITC1,Piemonte,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,20700.0
2005,2005,ITC1,Piemonte,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,21100.0
2006,2006,ITC1,Piemonte,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,21800.0
2007,2007,ITC1,Piemonte,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,22400.0
2008,2008,ITC1,Piemonte,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,22500.0
2009,2009,ITC1,Piemonte,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,21000.0
2010,2010,ITC1,Piemonte,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,21000.0
2011,2011,ITC1,Piemonte,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,21300.0
2012,2012,ITC1,Piemonte,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,20600.0
2013,2013,ITC1,Piemonte,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,20500.0
2014,2014,ITC1,Piemonte,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,20600.0
2015,2015,ITC1,Piemonte,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,21000.0
2016,2016,ITC1,Piemonte,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,21300.0
2017,2017,ITC1,Piemonte,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,21900.0
2018,2018,ITC1,Piemonte,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,22400.0
2019,2019,ITC1,Piemonte,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,22600.0
2020,2020,ITC1,Piemonte,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,21100.0
2021,2021,ITC1,Piemonte,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,23000.0
2022,2022,ITC1,Piemonte,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,24500.0
2023,2023,ITC1,Piemonte,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,26100.0
2024,2024,ITC1,Piemonte,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,27300.0
2000,2000,ITC2,Valle d’Aosta/Vallée d’Aoste,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,19400.0
2001,2001,ITC2,Valle d’Aosta/Vallée d’Aoste,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,20100.0
2002,2002,ITC2,Valle d’Aosta/Vallée d’Aoste,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,21000.0
2003,2003,ITC2,Valle d’Aosta/Vallée d’Aoste,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,20900.0
2004,2004,ITC2,Valle d’Aosta/Vallée d’Aoste,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,21400.0
2005,2005,ITC2,Valle d’Aosta/Vallée d’Aoste,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,21600.0
2006,2006,ITC2,Valle d’Aosta/Vallée d’Aoste,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,22100.0
2007,2007,ITC2,Valle d’Aosta/Vallée d’Aoste,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,22700.0
