DATAFLOW,LAST UPDATE,freq,unit,nace_r2,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_A10(1.0),22/07/26 23:00:00,A,CLV05_MEUR,A,B1G,IT,1995,28487.6,,
ESTAT:NAMA_10_A10(1.0),22/07/26 23:00:00,A,CLV05_MEUR,A,B1G,IT,1996,28836.9,,
ESTAT:NAMA_10_A10(1.0),22/07/26 23:00:00,A,CLV05_MEUR,A,B1G,IT,1997,29504.1,,
ESTAT:NAMA_10_A10(1.0),22/07/26 23:00:00,A,CLV05_MEUR,A,B1G,IT,1998,30267.3,,
ESTAT:NAMA_10_A10(1.0),22/07/26 23:00:00,A,CLV05_MEUR,A,B1G,IT,1999,31954.0,,
ESTAT:NAMA_10_A10(1.0),22/07/26 23:00:00,A,CLV05_MEUR,A,B1G,IT,2000,32215.6,,
ESTAT:NAMA_10_A10(1.0),22/07/26 23:00:00,A,CLV05_MEUR,A,B1G,IT,2001,31301.9,,
ESTAT:NAMA_10_A10(1.0),22/07/26 23:00:00,A,CLV05_MEUR,A,B1G,IT,2002,29827.0,,
ESTAT:NAMA_10_A10(1.0),22/07/26 23:00:00,A,CLV05_MEUR,A,B1G,IT,2003,28666.8,,
ESTAT:NAMA_10_A10(1.0),22/07/26 23:00:00,A,CLV05_MEUR,A,B1G,IT,2004,32021.3,,
ESTAT:NAMA_10_A10(1.0),22/07/26 23:00:00,A,CLV05_MEUR,A,B1G,IT,2005,30432.1,,
ESTAT:NAMA_10_A10(1.0),22/07/26 23:00:00,A,CLV05_MEUR,A,B1G,IT,2006,30203.0,,
ESTAT:NAMA_10_A10(1.0),22/07/26 23:00:00,A,CLV05_MEUR,A,B1G,IT,2007,30531.3,,
ESTAT:NAMA_10_A10(1.0),22/07/26 23:00:00,A,CLV05_MEUR,A,B1G,IT,2008,31174.1,,
ESTAT:NAMA_10_A10(1.0),22/07/26 23:00:00,A,CLV05_MEUR,A,B1G,IT,2009,30856.7,,
ESTAT:NAMA_10_A10(1.0),22/07/26 23:00:00,A,CLV05_MEUR,A,B1G,IT,2010,30933.2,,
ESTAT:NAMA_10_A10(1.0),22/07/26 23:00:00,A,CLV05_MEUR,A,B1G,IT,2011,31172.8,,
ESTAT:NAMA_10_A10(1.0),22/07/26 23:00:00,A,CLV05_MEUR,A,B1G,IT,2012,29937.0,,
ESTAT:NAMA_10_A10(1.0),22/07/26 23:00:00,A,CLV05_MEUR,A,B1G,IT,2013,30316.3,,
ESTAT:NAMA_10_A10(1.0),22/07/26 23:00:00,A,CLV05_MEUR,A,B1G,IT,2014,29669.9,,
ESTAT:NAMA_10_A10(1.0),22/07/26 23:00:00,A,CLV05_MEUR,A,B1G,IT,2015,31073.2,,
ESTAT:NAMA_10_A10(1.0),22/07/26 23:00:00,A,CLV05_MEUR,A,B1G,IT,2016,30971.3,,
ESTAT:NAMA_10_A10(1.0),22/07/26 23:00:00,A,CLV05_MEUR,A,B1G,IT,2017,29732.9,,
ESTAT:NAMA_10_A10(1.0),22/07/26 23:00:00,A,CLV05_MEUR,A,B1G,IT,2018,30602.6,,
ESTAT:NAMA_10_A10(1.0),22/07/26 23:00:00,A,CLV05_MEUR,A,B1G,IT,2019,29988.1,,
ESTAT:NAMA_10_A10(1.0),22/07/26 23:00:00,A,CLV05_MEUR,A,B1G,IT,2020,28737.4,,
ESTAT:NAMA_10_A10(1.0),22/07/26 23:00:00,A,CLV05_MEUR,A,B1G,IT,2021,28658.3,,
ESTAT:NAMA_10_A10(1.0),22/07/26 23:00:00,A,CLV05_MEUR,A,B1G,IT,2022,29420.2,,
ESTAT:NAMA_10_A10(1.0),22/07/26 23:00:00,A,CLV05_MEUR,A,B1G,IT,2023,27899.8,,
ESTAT:NAMA_10_A10(1.0),22/07/26 23:00:00,A,CLV05_MEUR,A,B1G,IT,2024,28708.2,,
ESTAT:NAMA_10_A10(1.0),22/07/26 23:00:00,A,CLV05_MEUR,A,B1G,IT,2025,28667.1,,
ESTAT:NAMA_10_A10(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B-E,B1G,IT,1995,255669.2,,
ESTAT:NAMA_10_A10(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B-E,B1G,IT,1996,255559.8,,
ESTAT:NAMA_10_A10(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B-E,B1G,IT,1997,257467.9,,
ESTAT:NAMA_10_A10(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B-E,B1G,IT,1998,261099.6,,
ESTAT:NAMA_10_A10(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B-E,B1G,IT,1999,260960.1,,
ESTAT:NAMA_10_A10(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B-E,B1G,IT,2000,268031.0,,
ESTAT:NAMA_10_A10(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B-E,B1G,IT,2001,266205.8,,
ESTAT:NAMA_10_A10(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B-E,B1G,IT,2002,266076.4,,
ESTAT:NAMA_10_A10(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B-E,B1G,IT,2003,259400.8,,
ESTAT:NAMA_10_A10(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B-E,B1G,IT,2004,264204.5,,
ESTAT:NAMA_10_A10(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B-E,B1G,IT,2005,264148.6,,
