zone,date,lat,lon,temp_mean_c,temp_max_c,temp_min_c,precipitation_mm,wind_speed_10m_ms,wind_dir_10m_deg,shortwave_kwh_m2_day,relative_humidity_pct,surface_pressure_kpa
IT-Centre-South,2015-01-01,41.89,12.49,0.58,6.13,-2.85,0.27,4.12,28.4,2.3525,76.54,100.34
IT-Centre-South,2015-01-02,41.89,12.49,4.39,9.35,0.56,0.39,1.71,7.3,2.3666,76.63,100.64
IT-Centre-South,2015-01-03,41.89,12.49,7.17,12.5,3.99,0.19,2.41,165.8,1.1597,83.09,100.31
IT-Centre-South,2015-01-04,41.89,12.49,8.37,13.91,4.9,0.35,3.58,19.6,2.3436,88.51,99.61
IT-Centre-South,2015-01-05,41.89,12.49,5.43,10.5,1.06,0.11,3.32,15.2,2.4677,66.71,100.34
IT-Centre-South,2015-01-06,41.89,12.49,6.52,12.12,1.0,0.02,1.97,1.9,2.3554,79.39,100.03
IT-Centre-South,2015-01-07,41.89,12.49,8.4,11.69,6.13,1.41,2.19,146.9,1.5113,88.05,100.45
IT-Centre-South,2015-01-08,41.89,12.49,8.26,12.98,4.54,0.14,2.42,170.3,1.5684,89.41,100.84
IT-Centre-South,2015-01-09,41.89,12.49,8.96,13.63,6.52,0.06,1.56,231.2,1.9447,86.57,100.83
IT-Centre-South,2015-01-10,41.89,12.49,9.68,14.3,6.11,0.07,1.65,162.9,1.4136,83.11,99.99
IT-Centre-South,2015-01-11,41.89,12.49,9.86,14.22,5.75,0.67,4.21,200.7,1.1448,95.03,99.35
IT-Centre-South,2015-01-12,41.89,12.49,7.35,14.12,2.57,0.02,2.53,37.3,2.562,67.85,100.47
IT-Centre-South,2015-01-13,41.89,12.49,6.69,12.89,2.35,0.0,2.71,141.2,2.6666,73.82,100.49
IT-Centre-South,2015-01-14,41.89,12.49,8.97,13.05,5.99,0.06,2.47,177.4,1.8485,87.82,99.9
IT-Centre-South,2015-01-15,41.89,12.49,9.54,13.7,5.97,0.11,2.3,163.2,2.2346,87.25,99.83
IT-Centre-South,2015-01-16,41.89,12.49,9.56,13.59,5.94,0.2,5.93,137.3,1.8235,89.6,99.51
IT-Centre-South,2015-01-17,41.89,12.49,10.6,14.37,8.02,1.24,4.44,188.6,1.7534,88.41,99.26
IT-Centre-South,2015-01-18,41.89,12.49,8.07,10.92,5.03,1.99,2.15,18.6,0.815,86.89,99.19
IT-Centre-South,2015-01-19,41.89,12.49,7.24,12.26,2.5,0.85,2.85,113.6,2.3426,86.25,98.77
IT-Centre-South,2015-01-20,41.89,12.49,7.79,10.16,5.47,11.5,3.63,135.7,0.821,93.32,98.45
IT-Centre-South,2015-01-21,41.89,12.49,7.65,10.88,4.8,10.17,4.21,141.7,0.9226,93.4,98.59
IT-Centre-South,2015-01-22,41.89,12.49,7.92,10.4,6.12,10.56,3.37,113.0,0.7498,90.7,98.39
IT-Centre-South,2015-01-23,41.89,12.49,8.21,13.15,5.89,2.51,5.21,6.7,1.3435,85.92,97.59
IT-Centre-South,2015-01-24,41.89,12.49,7.32,13.08,3.34,0.35,4.61,21.1,2.5915,78.55,98.26
IT-Centre-South,2015-01-25,41.89,12.49,5.3,9.06,2.56,2.05,4.51,44.7,1.7227,76.87,98.7
IT-Centre-South,2015-01-26,41.89,12.49,5.07,10.01,0.91,0.23,3.38,43.9,2.5042,73.69,99.29
IT-Centre-South,2015-01-27,41.89,12.49,3.32,9.36,-1.35,0.48,4.25,12.8,2.9453,74.72,99.04
IT-Centre-South,2015-01-28,41.89,12.49,2.73,8.02,-0.85,0.45,5.43,14.3,2.9124,79.19,98.87
IT-Centre-South,2015-01-29,41.89,12.49,4.59,8.46,-0.95,9.22,4.29,204.6,0.8976,83.7,98.03
IT-Centre-South,2015-01-30,41.89,12.49,8.95,11.64,4.27,13.75,10.31,248.7,0.996,75.05,96.07
IT-Centre-South,2015-01-31,41.89,12.49,5.8,8.74,2.95,11.56,3.42,199.5,1.5835,88.12,96.24
IT-Centre-South,2015-02-01,41.89,12.49,5.02,8.52,2.29,4.57,3.29,264.6,2.2968,84.27,96.74
IT-Centre-South,2015-02-02,41.89,12.49,4.04,8.6,1.05,3.11,2.57,357.0,3.2054,78.81,97.73
IT-Centre-South,2015-02-03,41.89,12.49,5.05,8.14,1.07,21.92,4.5,144.7,1.5624,86.56,97.79
IT-Centre-South,2015-02-04,41.89,12.49,7.85,10.5,5.76,20.84,5.41,174.1,2.1475,85.64,97.57
IT-Centre-South,2015-02-05,41.89,12.49,8.52,11.16,5.72,28.88,5.27,156.7,0.39,87.95,97.37
IT-Centre-South,2015-02-06,41.89,12.49,6.27,8.65,4.75,9.86,1.74,145.3,1.3366,86.93,97.67
IT-Centre-South,2015-02-07,41.89,12.49,5.82,9.14,3.9,7.29,2.45,71.2,2.1257,84.97,98.82
