Type,Country/area,Subregion,Region,Plant / Project name,Unit / Phase name,Plant / Project name (local),Plant / Project name (other),Capacity (MW),Status,Start year,Retired year,Technology,Fuel,Hydrogen production,Hydrogen capable,Country/area 1 (hydropower only),Country/area 2 (hydropower only),Country/area 1 Capacity (MW) (hydropower only),Country/area 2 Capacity (MW) (hydropower only),Owner,Parent,CHP,CCS,Conversion/replacement,Unit conversion year,Conversion from/replacement of (fuel),Conversion from/replacement of (GEM unit ID),Captive Industry Type,Captive Industry Use,Captive Non Industry Use,Latitude,Longitude,Location accuracy,City,"Local area (taluk, county)","Major area (prefecture, district)","Subnational unit (state, province)",GEM location ID,GEM unit/phase ID,GEM.Wiki URL
hydropower,Italy,Southern Europe,Europe,Entracque Rovina hydroelectric plant,,,L Einaudi (Rovina),125.0,operating,1982,,pumped storage,,,,Italy,,125.0,0.0,Enel SPA,,,,,,,,,,,44.2299,7.3908,exact,,Cuneo,,Piedmont,L602204,G602230,https://gem.wiki/Entracque_Rovina_hydroelectric_plant
hydropower,Italy,Southern Europe,Europe,Fadalto hydroelectric plant,,,,220.0,operating,,,pumped storage,,,,Italy,,220.0,0.0,Enel SPA,,,,,,,,,,,46.0692,12.3299,exact,,Treviso,,Veneto,L602205,G602231,https://gem.wiki/Fadalto_hydroelectric_plant
hydropower,Italy,Southern Europe,Europe,Galleto hydroelectric plant,,,Galleto M San Angelo,295.0,operating,1929,,run-of-river,,,,Italy,,295.0,0.0,Enel SPA,,,,,,,,,,,42.5527,12.699,exact,Terni,Terni,,Umbria,L602206,G602232,https://gem.wiki/Galleto_hydroelectric_plant
hydropower,Italy,Southern Europe,Europe,Gargnano hydroelectric plant,,,Villa Gargnano,137.0,operating,,,pumped storage,,,,Italy,,137.0,0.0,Enel SPA,,,,,,,,,,,45.7039,10.6863,exact,,Brescia,,Lombardy,L602207,G602233,https://gem.wiki/Gargnano_hydroelectric_plant
hydropower,Italy,Southern Europe,Europe,Grosio hydroelectric plant,,,,737.0,operating,1960,,run-of-river,,,,Italy,,737.0,0.0,A2A,,,,,,,,,,,46.292,10.266,exact,,Sondrio,,Lombardy,L602208,G602234,https://gem.wiki/Grosio_hydroelectric_plant
hydropower,Italy,Southern Europe,Europe,Guadalami hydroelectric plant,,,Guadalami C.le,80.0,operating,1961,,pumped storage,,,,Italy,,80.0,0.0,Enel SPA,,,,,,,,,,,37.9555,13.2793,exact,,Palermo,,Sicily,L602209,G602235,https://gem.wiki/Guadalami_hydroelectric_plant
hydropower,Italy,Southern Europe,Europe,Isola Serafiini hydroelectric plant,,,,82.0,operating,1962,,run-of-river,,,,Italy,,82.0,0.0,Enel SPA,,,,,,,,,,,45.0936,9.9046,exact,,Piacenza,,Emilia-Romagna,L602210,G602236,https://gem.wiki/Isola_Serafiini_hydroelectric_plant
hydropower,Italy,Southern Europe,Europe,Lana hydroelectric plant,,,,132.0,operating,1953,,conventional storage,,,,Italy,,132.0,0.0,Alperia,,,,,,,,,,,46.6127,11.1452,exact,,South Tyrol,,Trentino-Alto Adige/Südtirol,L602211,G602237,https://gem.wiki/Lana_hydroelectric_plant
hydropower,Italy,Southern Europe,Europe,Lanzada hydroelectric plant,,,,350.0,operating,,,run-of-river,,,,Italy,,350.0,0.0,Enel SPA,,,,,,,,,,,46.2685,9.876,exact,,Sondrio,,Lombardy,L602212,G602238,https://gem.wiki/Lanzada_hydroelectric_plant
hydropower,Italy,Southern Europe,Europe,Mese hydroelectric plant,,,,280.0,operating,1927,,run-of-river,,,,Italy,,280.0,0.0,A2A,,,,,,,,,,,46.3051,9.3783,exact,,Sondrio,,Lombardy,L602213,G602239,https://gem.wiki/Mese_hydroelectric_plant
