Type,Country/area,Subregion,Region,Plant / Project name,Unit / Phase name,Plant / Project name (local),Plant / Project name (other),Capacity (MW),Status,Start year,Retired year,Technology,Fuel,Hydrogen production,Hydrogen capable,Country/area 1 (hydropower only),Country/area 2 (hydropower only),Country/area 1 Capacity (MW) (hydropower only),Country/area 2 Capacity (MW) (hydropower only),Owner,Parent,CHP,CCS,Conversion/replacement,Unit conversion year,Conversion from/replacement of (fuel),Conversion from/replacement of (GEM unit ID),Captive Industry Type,Captive Industry Use,Captive Non Industry Use,Latitude,Longitude,Location accuracy,City,"Local area (taluk, county)","Major area (prefecture, district)","Subnational unit (state, province)",GEM location ID,GEM unit/phase ID,GEM.Wiki URL
oil/gas,Italy,Southern Europe,Europe,Priolo IGCC power station,2,,,256.0,operating,1999,,combined cycle,"fossil gas: natural gas, fossil gas: unknown",,,,,,,ISAB Energy SRL [100%],LUKOIL PJSC [100.0%],not found,,,,,,oil & refining,both,,37.126595,15.217502,exact,Priolo Gargallo,,,Syracuse,L100000407552,G100000409833,https://www.gem.wiki/Priolo_IGCC_power_station
oil/gas,Italy,Southern Europe,Europe,Priolo IGCC power station,3,,,256.0,operating,1999,,combined cycle,"fossil gas: natural gas, fossil gas: unknown",,,,,,,ISAB Energy SRL [100%],LUKOIL PJSC [100.0%],not found,,,,,,oil & refining,both,,37.126595,15.217502,exact,Priolo Gargallo,,,Syracuse,L100000407552,G100000411145,https://www.gem.wiki/Priolo_IGCC_power_station
oil/gas,Italy,Southern Europe,Europe,Priolo-Melili power station,1,,,480.0,operating,2010,,combined cycle,fossil gas: natural gas,,,,,,,Brown2Green Sicily SRL,Achernar Assets AG,yes,,,,,,,,,37.17949,15.19632,exact,Priolo Gargallo,,,Syracuse,L100000400410,G100000400410,https://www.gem.wiki/Priolo-Melili_power_station
oil/gas,Italy,Southern Europe,Europe,Ravenna CHP power station,IC 1-3,,,35.1,shelved,,,ICCC,fossil gas: natural gas,,,,,,,Marcegaglia Holding SpA [100%],Finmar SRL; Marfin SRL; natural person(s),yes,,,,,,iron & steel,both,,44.4662,12.2462,exact,Marcegaglia,,,Emilia-Romagna,L100000408792,G100000412797,https://www.gem.wiki/Ravenna_CHP_power_station
oil/gas,Italy,Southern Europe,Europe,Ravenna power station,1,Centrale Termoelettrica di Ravenna,RAVENNA BAIONA,380.0,operating,2003,,combined cycle,fossil gas: natural gas,,,,,,,Enipower SpA [100%],Eni SpA [100.0%],yes,yes,,,,,chemicals,power,,44.443784,12.23618,exact,Ravenna,,,Ravenna,L100000407555,G100000409824,https://www.gem.wiki/Ravenna_power_station
oil/gas,Italy,Southern Europe,Europe,Ravenna power station,2,Centrale Termoelettrica di Ravenna,RAVENNA BAIONA,393.0,operating,2003,,combined cycle,fossil gas: natural gas,,,,,,,Enipower SpA [100%],Eni SpA [100.0%],yes,yes,,,,,chemicals,power,,44.443784,12.23618,exact,Ravenna,,,Ravenna,L100000407555,G100000409823,https://www.gem.wiki/Ravenna_power_station
oil/gas,Italy,Southern Europe,Europe,Ravenna power station,1-2,Centrale Termoelettrica di Ravenna,RAVENNA BAIONA,30.0,pre-construction,not found,,gas turbine,fossil gas: natural gas,,not found,,,,,Enipower SpA [100%],Eni SpA [100.0%],not found,yes,,,,,chemicals,power,,44.443784,12.23618,exact,Ravenna,,,Ravenna,L100000407555,G100000409822,https://www.gem.wiki/Ravenna_power_station
oil/gas,Italy,Southern Europe,Europe,Ravenna power station,2-2,Centrale Termoelettrica di Ravenna,RAVENNA BAIONA,30.0,pre-construction,not found,,gas turbine,fossil gas: natural gas,,not found,,,,,Enipower SpA [100%],Eni SpA [100.0%],not found,yes,,,,,chemicals,power,,44.443784,12.23618,exact,Ravenna,,,Ravenna,L100000407555,G100000409821,https://www.gem.wiki/Ravenna_power_station
oil/gas,Italy,Southern Europe,Europe,Reggio Emilia New Energy Pole power station,CC,,,63.0,operating,2004,,combined cycle,fossil gas: natural gas,,,,,,,Iren Energia SpA [100%],Iren SpA [100.0%],yes,,,,,,,,,44.70173,10.56823,approximate,Reggio Emilia,,,Emilia-Romagna,L100000400424,G100000400424,https://www.gem.wiki/Reggio_Emilia_New_Energy_Pole_power_station
oil/gas,Italy,Southern Europe,Europe,Rizziconi power station,1,,,384.0,operating,2008,,combined cycle,fossil gas: natural gas,,,,,,,Rizziconi Energia SpA [100%],Axpo Holding AG [40.2%]; Elektrizitätswerke des Kantons Zürich [18.4%]; AEW Energie AG [14.0%]; SAK Holding AG [12.5%]; EKT Holding AG [12.2%],no,,,,,,,,,38.4453,15.99,exact,Rizziconi,,,Reggio Calabria,L100000400425,G100000400425,https://www.gem.wiki/Rizziconi_power_station
oil/gas,Italy,Southern Europe,Europe,Rizziconi power station,2,,,384.0,operating,2008,,combined cycle,fossil gas: natural gas,,,,,,,Rizziconi Energia SpA [100%],Axpo Holding AG [40.2%]; Elektrizitätswerke des Kantons Zürich [18.4%]; AEW Energie AG [14.0%]; SAK Holding AG [12.5%]; EKT Holding AG [12.2%],no,,,,,,,,,38.4453,15.99,exact,Rizziconi,,,Reggio Calabria,L100000400425,G100000400426,https://www.gem.wiki/Rizziconi_power_station
oil/gas,Italy,Southern Europe,Europe,Roselectra power station,Roselectra,,,400.0,operating,2007,,combined cycle,fossil gas: natural gas,,,,,,,ENGIE SA,ENGIE SA,yes,,,,,,chemicals,both,power,43.38134,10.44855,exact,"Rosignano Solvay, Rosen",,,Livorno,L100001025627,G100001030388,https://www.gem.wiki/Roselectra_power_station
oil/gas,Italy,Southern Europe,Europe,Rosignano power station,Rosen 1,,,356.0,operating,1997,,gas turbine,fossil gas: natural gas,,,,,,,Cogeneration Rosignano SpA [100%],Solvay SA [34.0%]; Marubeni Corp [33.0%]; CDP Equity SpA [32.8%],yes,,,,,,chemicals,both,power,43.38134,10.44855,exact,"Rosignano Solvay, Rosen",,,Livorno,L100000400428,G100001020490,https://www.gem.wiki/Rosignano_power_station
oil/gas,Italy,Southern Europe,Europe,Rosignano power station,Rosen 3,,,180.0,operating,2018,,combined cycle,fossil gas: natural gas,,,,,,,Cogeneration Rosignano SpA [100%],Solvay SA [34.0%]; Marubeni Corp [33.0%]; CDP Equity SpA [32.8%],yes,,,,,,chemicals,both,power,43.38134,10.44855,exact,"Rosignano Solvay, Rosen",,,Livorno,L100000400428,G100000400429,https://www.gem.wiki/Rosignano_power_station
oil/gas,Italy,Southern Europe,Europe,Rossano power station,1,,,112.0,operating,1995,,gas turbine,fossil gas: natural gas,,,,,,,Enel SpA [100%],Enel SpA [100.0%],no,,,,,,,,,39.6218,16.6084,exact,Rossano,,,Cosenza,L100000400430,G100000400430,https://www.gem.wiki/Rossano_power_station
oil/gas,Italy,Southern Europe,Europe,Rossano power station,3,,,112.0,operating,1996,,gas turbine,fossil gas: natural gas,,,,,,,Enel SpA [100%],Enel SpA [100.0%],no,,,,,,,,,39.6218,16.6084,exact,Rossano,,,Cosenza,L100000400430,G100000400431,https://www.gem.wiki/Rossano_power_station
oil/gas,Italy,Southern Europe,Europe,S.E.F. Ferrara power station,2,,,381.0,operating,2006,,combined cycle,fossil gas: natural gas,,,,,,,Enipower Ferrara SRL [100%],Eni SpA [51.0%]; Axpo Holding AG [19.7%]; Elektrizitätswerke des Kantons Zürich [9.0%]; AEW Energie AG [6.9%]; SAK Holding AG [6.1%]; EKT Holding AG [6.0%],yes,,,,,,,,,44.86406,11.59439,exact,Ferrara,,,Ferrara,L100000400432,G100000400432,https://www.gem.wiki/S.E.F._Ferrara_power_station
oil/gas,Italy,Southern Europe,Europe,S.E.F. Ferrara power station,3,,,381.0,operating,2007,,combined cycle,fossil gas: natural gas,,,,,,,Enipower Ferrara SRL [100%],Eni SpA [51.0%]; Axpo Holding AG [19.7%]; Elektrizitätswerke des Kantons Zürich [9.0%]; AEW Energie AG [6.9%]; SAK Holding AG [6.1%]; EKT Holding AG [6.0%],yes,,,,,,,,,44.86406,11.59439,exact,Ferrara,,,Ferrara,L100000400432,G100000400433,https://www.gem.wiki/S.E.F._Ferrara_power_station
oil/gas,Italy,Southern Europe,Europe,San Filippo del Mela power station,1,Centrale di San Filippo del Mela,SAN FILIPPO MELA NUOVO,160.0,operating,1976,2025.0,steam turbine,fossil liquids: heavy fuel oil,,,,,,,A2A Energiefuture [100%],A2A SpA [100.0%],yes,,replacement,,"fossil liquids: heavy fuel oil, fossil liquids: heavy fuel oil, fossil liquids: heavy fuel oil","G100000412794, G100000412795, G100000412793",,,,38.202161,15.283165,exact,San Filippo del Mela,,,Messina,L100000407556,G100000412796,https://www.gem.wiki/San_Filippo_del_Mela_power_station
oil/gas,Italy,Southern Europe,Europe,San Filippo del Mela power station,2,Centrale di San Filippo del Mela,SAN FILIPPO MELA NUOVO,160.0,operating,1971,2025.0,steam turbine,fossil liquids: heavy fuel oil,,,,,,,A2A Energiefuture [100%],A2A SpA [100.0%],yes,,,,,,,,,38.202161,15.283165,exact,San Filippo del Mela,,,Messina,L100000407556,G100000412795,https://www.gem.wiki/San_Filippo_del_Mela_power_station
oil/gas,Italy,Southern Europe,Europe,San Filippo del Mela power station,5,Centrale di San Filippo del Mela,SAN FILIPPO MELA NUOVO,320.0,operating,1975,2025.0,steam turbine,fossil liquids: heavy fuel oil,,,,,,,A2A Energiefuture [100%],A2A SpA [100.0%],yes,,,,,,,,,38.202161,15.283165,exact,San Filippo del Mela,,,Messina,L100000407556,G100000412794,https://www.gem.wiki/San_Filippo_del_Mela_power_station
oil/gas,Italy,Southern Europe,Europe,San Filippo del Mela power station,6,Centrale di San Filippo del Mela,SAN FILIPPO MELA NUOVO,320.0,operating,1976,2025.0,steam turbine,fossil liquids: heavy fuel oil,,,,,,,A2A Energiefuture [100%],A2A SpA [100.0%],yes,,,,,,,,,38.202161,15.283165,exact,San Filippo del Mela,,,Messina,L100000407556,G100000412793,https://www.gem.wiki/San_Filippo_del_Mela_power_station
oil/gas,Italy,Southern Europe,Europe,San Filippo del Mela power station,CC1,Centrale di San Filippo del Mela,SAN FILIPPO MELA NUOVO,846.0,pre-construction,2025,,gas turbine,"fossil gas: natural gas, bioenergy: unknown",,not found,,,,,A2A Energiefuture [100%],A2A SpA [100.0%],no,not found,,,,,,,,38.202161,15.283165,exact,San Filippo del Mela,,,Messina,L100000407556,G100000409820,https://www.gem.wiki/San_Filippo_del_Mela_power_station
oil/gas,Italy,Southern Europe,Europe,San Quirico power station,1,,,137.0,operating,1996,,combined cycle,fossil gas: natural gas,,,,,,,Edison SpA [100%],Edison SpA [100.0%],not found,,,,,,,,,44.92466,10.30298,exact,Zuccherificio,,,Parma,L100000400434,G100000400434,https://www.gem.wiki/San_Quirico_power_station
oil/gas,Italy,Southern Europe,Europe,San Quirico power station,GT1,,,590.0,pre-construction,not found,,gas turbine,fossil gas: natural gas,,not found,,,,,Edison SpA [100%],Edison SpA [100.0%],not found,not found,,,,,,,,44.92466,10.30298,exact,Zuccherificio,,,Parma,L100000400434,G100000409818,https://www.gem.wiki/San_Quirico_power_station
oil/gas,Italy,Southern Europe,Europe,San Quirico power station,ST1,,,280.0,pre-construction,not found,,steam turbine,"fossil gas: waste heat from natural gas, bioenergy: unknown",,not found,,,,,Edison SpA [100%],Edison SpA [100.0%],not found,not found,,,,,,,,44.92466,10.30298,exact,Zuccherificio,,,Parma,L100000400434,G100000409817,https://www.gem.wiki/San_Quirico_power_station
oil/gas,Italy,Southern Europe,Europe,San Severo Enplus power station,1,,,421.0,operating,2011,,combined cycle,fossil gas: natural gas,,,,,,,Enplus [100%],Eviva SpA [33.0%]; EOS Holdings SA [30.0%]; Primeo Energy AG [17.0%]; Consortium of Swiss Minority Shareholders KSM [12.0%]; unknown [8.0%],yes,,,,,,,,,41.6262,15.42256,exact,San Severo,,,Foggia,L100000400435,G100000400435,https://www.gem.wiki/San_Severo_Enplus_power_station
oil/gas,Italy,Southern Europe,Europe,Sannazzaro Refinery power station,1,,,260.0,operating,2006,,combined cycle,"fossil gas: natural gas, fossil gas: unknown",,,,,,,Eni SpA [100%],Eni SpA [100.0%],yes,,,,,,oil & refining,both,,45.1015,8.8777,exact,Sannazzaro de' Burgondi,,,Lombardy,L100000408791,G100000412792,https://www.gem.wiki/Sannazzaro_Refinery_power_station
oil/gas,Italy,Southern Europe,Europe,Santa Barbara power station,1,,Santa Barbara Enel power station,392.0,operating,2006,,combined cycle,fossil gas: natural gas,,,,,,,Enel SpA [100%],Enel SpA [100.0%],yes,,replacement,,,,,,,43.565,11.4777,exact,Cavriglia,,,Arezzo,L100000400436,G100000400436,https://www.gem.wiki/Santa_Barbara_power_station
oil/gas,Italy,Southern Europe,Europe,Sarroch power station,CC,,,575.0,operating,2001,,combined cycle,"fossil gas: unknown, fossil liquids: heavy fuel oil",,,,,,,Saras SpA [100%],Saras SpA [100.0%],yes,,,,,,oil & refining,both,,39.0777,9.0162,exact,Sarroch,,,Sardinia,L100000408790,G100000412791,https://www.gem.wiki/Sarroch_power_station
oil/gas,Italy,Southern Europe,Europe,Sarroch power station,ST1,,,30.5,operating,1970,,steam turbine,"fossil gas: unknown, fossil liquids: heavy fuel oil",,,,,,,Saras SpA [100%],Saras SpA [100.0%],yes,,,,,,oil & refining,both,,39.0777,9.0162,exact,Sarroch,,,Sardinia,L100000408790,G100000412790,https://www.gem.wiki/Sarroch_power_station
oil/gas,Italy,Southern Europe,Europe,Sarroch power station,ST2,,,30.5,operating,1970,,steam turbine,"fossil gas: unknown, fossil liquids: heavy fuel oil",,,,,,,Saras SpA [100%],Saras SpA [100.0%],yes,,,,,,oil & refining,both,,39.0777,9.0162,exact,Sarroch,,,Sardinia,L100000408790,G100000412789,https://www.gem.wiki/Sarroch_power_station
oil/gas,Italy,Southern Europe,Europe,Scandale power station,1,,,407.0,operating,2010,,combined cycle,fossil gas: natural gas,,,,,,,Ergosud SpA [100%],A2A SpA [50.0%]; Energetický a průmyslový holding AS [50.0%],no,,,,,,,,,39.1022,17.0325,exact,Scandale,,,Crotone,L100000400438,G100000400438,https://www.gem.wiki/Scandale_power_station
oil/gas,Italy,Southern Europe,Europe,Scandale power station,2,,,407.0,operating,2010,,combined cycle,fossil gas: natural gas,,,,,,,Ergosud SpA [100%],A2A SpA [50.0%]; Energetický a průmyslový holding AS [50.0%],no,,,,,,,,,39.1022,17.0325,exact,Scandale,,,Crotone,L100000400438,G100000400439,https://www.gem.wiki/Scandale_power_station
oil/gas,Italy,Southern Europe,Europe,Sermide power station,3,,,385.0,operating,2004,,combined cycle,fossil gas: natural gas,,,,,,,A2A SpA [100%],A2A SpA [100.0%],no,,,,,,,,,45.0265,11.2522,exact,SERMIDE,,,Mantua,L100000400446,G100000400446,https://www.gem.wiki/Sermide_power_station
oil/gas,Italy,Southern Europe,Europe,Sermide power station,4,,,766.0,operating,2004,,combined cycle,fossil gas: natural gas,,,,,,,A2A SpA [100%],A2A SpA [100.0%],no,,,,,,,,,45.0265,11.2522,exact,SERMIDE,,,Mantua,L100000400446,G100000400447,https://www.gem.wiki/Sermide_power_station
oil/gas,Italy,Southern Europe,Europe,Servola power station,1,,,230.0,operating,2000,,combined cycle,"fossil gas: unknown, fossil liquids: heavy fuel oil",,not found,,,,,Arvedi Group [100%],Finarvedi SpA,yes,not found,,,,,iron & steel,both,,45.61949,13.78295,exact,Trieste,,,Friuli Venezia Giulia,L100000400451,G100000412788,https://www.gem.wiki/Servola_power_station
oil/gas,Italy,Southern Europe,Europe,Servola power station,2,,,120.0,pre-construction,2025,,combined cycle,fossil gas: natural gas,,not found,,,,,Arvedi Group [100%],Finarvedi SpA,yes,not found,,,,,iron & steel,both,,45.61949,13.78295,exact,Trieste,,,Friuli Venezia Giulia,L100000400451,G100000406333,https://www.gem.wiki/Servola_power_station
oil/gas,Italy,Southern Europe,Europe,Sesto San Giovanni power station,1,,,55.0,operating,1994,,combined cycle,fossil gas: natural gas,,,,,,,Edison SpA [100%],Edison SpA [100.0%],no,,,,,,,,,45.5417,9.2539,exact,Sesto San Giovanni,,,Milan,L100000400448,G100000400448,https://www.gem.wiki/Sesto_San_Giovanni_power_station
oil/gas,Italy,Southern Europe,Europe,Sesto San Giovanni power station,2,,,56.0,operating,2004,,combined cycle,fossil gas: natural gas,,,,,,,Edison SpA [100%],Edison SpA [100.0%],no,,,,,,,,,45.5417,9.2539,exact,Sesto San Giovanni,,,Milan,L100000400448,G100000400449,https://www.gem.wiki/Sesto_San_Giovanni_power_station
oil/gas,Italy,Southern Europe,Europe,Simeri Crichi power station,1,,,885.0,operating,2008,,combined cycle,fossil gas: natural gas,,,,,,,Edison SpA [100%],Edison SpA [100.0%],yes,,,,,,,,,38.8759,16.6569,exact,Simeri Crichi,,,Catanzaro,L100000400452,G100000400452,https://www.gem.wiki/Simeri_Crichi_power_station
oil/gas,Italy,Southern Europe,Europe,Sora power station,1,,,42.0,operating,2008,,combined cycle,fossil gas: natural gas,,,,,,,Burgo Group SpA [100%],BG Holdings SRL [91.7%],yes,,,,,,pulp & paper,both,power,41.7,13.58373,exact,Sora,,,Frosinone,L100000400453,G100000400453,https://www.gem.wiki/Sora_power_station
oil/gas,Italy,Southern Europe,Europe,Sparanise power station,1,Centrale Termoelettrica di Sparanise,,380.0,operating,2007,,combined cycle,fossil gas: natural gas,,,,,,,Calenia Energia SpA [100%],Axpo Holding AG [34.2%]; Elektrizitätswerke des Kantons Zürich [15.6%]; Hera SpA [15.0%]; AEW Energie AG [11.9%]; SAK Holding AG [10.6%]; EKT Holding AG [10.4%],not found,,,,,,,,,41.1783,14.1129,exact,Sparanise,,,Caserta,L100000400454,G100000400454,https://www.gem.wiki/Sparanise_power_station
oil/gas,Italy,Southern Europe,Europe,Sparanise power station,2,Centrale Termoelettrica di Sparanise,,380.0,operating,2007,,combined cycle,fossil gas: natural gas,,,,,,,Calenia Energia SpA [100%],Axpo Holding AG [34.2%]; Elektrizitätswerke des Kantons Zürich [15.6%]; Hera SpA [15.0%]; AEW Energie AG [11.9%]; SAK Holding AG [10.6%]; EKT Holding AG [10.4%],not found,,,,,,,,,41.1783,14.1129,exact,Sparanise,,,Caserta,L100000400454,G100000400455,https://www.gem.wiki/Sparanise_power_station
oil/gas,Italy,Southern Europe,Europe,Sparanise power station,CC1,Centrale Termoelettrica di Sparanise,,620.0,shelved,,,gas turbine,fossil gas: natural gas,,not found,,,,,Calenia Energia SpA [100%],Axpo Holding AG [34.2%]; Elektrizitätswerke des Kantons Zürich [15.6%]; Hera SpA [15.0%]; AEW Energie AG [11.9%]; SAK Holding AG [10.6%]; EKT Holding AG [10.4%],not found,not found,,,,,,,,41.1783,14.1129,exact,Sparanise,,,Caserta,L100000400454,G100000409816,https://www.gem.wiki/Sparanise_power_station
oil/gas,Italy,Southern Europe,Europe,Sparanise power station,CC2,Centrale Termoelettrica di Sparanise,,320.0,shelved,,,steam turbine,"fossil gas: waste heat from natural gas, bioenergy: unknown",,not found,,,,,Calenia Energia SpA [100%],Axpo Holding AG [34.2%]; Elektrizitätswerke des Kantons Zürich [15.6%]; Hera SpA [15.0%]; AEW Energie AG [11.9%]; SAK Holding AG [10.6%]; EKT Holding AG [10.4%],not found,not found,,,,,,,,41.1783,14.1129,exact,Sparanise,,,Caserta,L100000400454,G100000409815,https://www.gem.wiki/Sparanise_power_station
oil/gas,Italy,Southern Europe,Europe,Sulmona CHP power station,ICCC,,,42.0,operating,2023,,ICCC,"fossil gas: natural gas, fossil liquids: diesel",,hydrogen capable: turbine,,,,,Metaenergia SpA [100%],Metaenergia SpA [100.0%],yes,,,,,,,,,42.04746,13.92676,approximate,Sulmona,,,,L100000408822,G100000412787,https://www.gem.wiki/Sulmona_CHP_power_station
oil/gas,Italy,Southern Europe,Europe,Taranto CHP power station,CC3,,,564.0,operating,1997,,combined cycle,"industrial by-product: blast furnace gas, fossil gas: natural gas, fossil gas: unknown",,,,,,,Taranto Energia SRL [100%],Acciaierie d'italia SpA; ArcelorMittal SA,yes,,,,,,iron & steel,both,,40.463793,17.246516,approximate,Taranto,,,,L100000408762,G100000412786,https://www.gem.wiki/Taranto_CHP_power_station
oil/gas,Italy,Southern Europe,Europe,Taranto CHP power station,CET2-1,,,160.0,operating,1975,,steam turbine,"industrial by-product: blast furnace gas, fossil gas: natural gas, fossil gas: unknown, fossil liquids: heavy fuel oil",,,,,,,Taranto Energia SRL [100%],Acciaierie d'italia SpA; ArcelorMittal SA,yes,,,,,,iron & steel,both,,40.463793,17.246516,approximate,Taranto,,,,L100000408762,G100000412785,https://www.gem.wiki/Taranto_CHP_power_station
oil/gas,Italy,Southern Europe,Europe,Taranto CHP power station,CET2-2,,,160.0,operating,1975,,steam turbine,"industrial by-product: blast furnace gas, fossil gas: natural gas, fossil gas: unknown, fossil liquids: heavy fuel oil",,,,,,,Taranto Energia SRL [100%],Acciaierie d'italia SpA; ArcelorMittal SA,yes,,,,,,iron & steel,both,,40.463793,17.246516,approximate,Taranto,,,,L100000408762,G100000412784,https://www.gem.wiki/Taranto_CHP_power_station
oil/gas,Italy,Southern Europe,Europe,Taranto CHP power station,CET2-3,,,160.0,operating,1975,,steam turbine,"industrial by-product: blast furnace gas, fossil gas: natural gas, fossil gas: unknown, fossil liquids: heavy fuel oil",,,,,,,Taranto Energia SRL [100%],Acciaierie d'italia SpA; ArcelorMittal SA,yes,,,,,,iron & steel,both,,40.463793,17.246516,approximate,Taranto,,,,L100000408762,G100000412783,https://www.gem.wiki/Taranto_CHP_power_station
oil/gas,Italy,Southern Europe,Europe,Taranto Refinery power station,TG5,Centrale di Cogenerazione di Taranto,,48.5,operating,not found,,combined cycle,fossil gas: natural gas,,not found,,,,,Enipower SpA [100%],Eni SpA [100.0%],yes,not found,,,,,,,,40.499257,17.197117,exact,Taranto,,,Taranto,L100000407557,G100000409814,https://www.gem.wiki/Taranto_Refinery_power_station
oil/gas,Italy,Southern Europe,Europe,Taranto Refinery power station,TG6,Centrale di Cogenerazione di Taranto,,37.0,pre-construction,2024,,combined cycle,fossil gas: natural gas,,not found,,,,,Enipower SpA [100%],Eni SpA [100.0%],yes,not found,,,,,,,,40.499257,17.197117,exact,Taranto,,,Taranto,L100000407557,G100000409813,https://www.gem.wiki/Taranto_Refinery_power_station
oil/gas,Italy,Southern Europe,Europe,Tavazzano power station,5,Tavazzano E Montanaso,Centrale di Tavazzano e Montanaso,765.0,operating,2005,,combined cycle,fossil gas: natural gas,,,,,,,EP Produzione SpA [100%],Energetický a průmyslový holding AS [100.0%],not found,,,,,,,,,45.3325,9.4364,exact,Tavazzano,,,Lodi,L100000400457,G100000400457,https://www.gem.wiki/Tavazzano_power_station
oil/gas,Italy,Southern Europe,Europe,Tavazzano power station,6,Tavazzano E Montanaso,Centrale di Tavazzano e Montanaso,385.0,operating,2005,,combined cycle,fossil gas: natural gas,,,,,,,EP Produzione SpA [100%],Energetický a průmyslový holding AS [100.0%],not found,,,,,,,,,45.3325,9.4364,exact,Tavazzano,,,Lodi,L100000400457,G100000400458,https://www.gem.wiki/Tavazzano_power_station
oil/gas,Italy,Southern Europe,Europe,Tavazzano power station,"CCGT8, timepoint 1",Tavazzano E Montanaso,Centrale di Tavazzano e Montanaso,800.0,operating,2024,2030.0,gas turbine,fossil gas: natural gas,,hydrogen capable: turbine,,,,,EP Produzione SpA [100%],Energetický a průmyslový holding AS [100.0%],not found,not found,,,,,,,,45.3325,9.4364,exact,Tavazzano,,,Lodi,L100000400457,G100000409812,https://www.gem.wiki/Tavazzano_power_station
oil/gas,Italy,Southern Europe,Europe,Tavazzano power station,GT8,Tavazzano E Montanaso,Centrale di Tavazzano e Montanaso,320.0,retired,1992,2020.0,gas turbine,fossil gas: natural gas,,,,,,,EP Produzione SpA [100%],Energetický a průmyslový holding AS [100.0%],not found,,,,,,,,,45.3325,9.4364,exact,Tavazzano,,,Lodi,L100000400457,G100000409810,https://www.gem.wiki/Tavazzano_power_station
oil/gas,Italy,Southern Europe,Europe,Tenaris Dalmine power station,1,,,122.0,operating,2007,,combined cycle,fossil gas: natural gas,,,,,,,Dalmine SpA [100%],Tenaris SA [100.0%],yes,,,,,,,,,45.63919,9.60481,exact,Dalmine,,,Bergamo,L100000400459,G100000400459,https://www.gem.wiki/Tenaris_Dalmine_power_station
oil/gas,Italy,Southern Europe,Europe,Termica Colleferro power station,1,,,44.0,operating,2012,,combined cycle,fossil gas: natural gas,,,,,,,Avio SpA [40%]; SECI Energia SpA [60%],S.E.C.I. Società Esercizi Commerciali Industriali SpA [60.0%]; Avio SpA [40.0%],yes,,,,,,,,,41.73533,12.97072,exact,Colleferro,,,Rome,L100000400460,G100000400460,https://www.gem.wiki/Termica_Colleferro_power_station
oil/gas,Italy,Southern Europe,Europe,Termini Imerese power station,GT1,,Ettore Majorana Power Plant,150.0,operating,2023,,gas turbine,fossil gas: natural gas,,not found,,,,,Enel SpA [100%],Enel SpA [100.0%],not found,not found,,,,,,,,37.96801,13.75079,exact,Termini Imerese,,,Palermo,L100000400461,G100000410765,https://www.gem.wiki/Termini_Imerese_power_station
oil/gas,Italy,Southern Europe,Europe,Termini Imerese power station,GT2,,Ettore Majorana Power Plant,150.0,operating,2023,,gas turbine,fossil gas: natural gas,,not found,,,,,Enel SpA [100%],Enel SpA [100.0%],no,not found,,,,,,,,37.96801,13.75079,exact,Termini Imerese,,,Palermo,L100000400461,G100000410764,https://www.gem.wiki/Termini_Imerese_power_station
oil/gas,Italy,Southern Europe,Europe,Termini Imerese power station,Ti41,,Ettore Majorana Power Plant,320.0,mothballed,not found,2023.0,combined cycle,fossil gas: natural gas,,,,,,,Enel SpA [100%],Enel SpA [100.0%],not found,,,,,,,,,37.96801,13.75079,exact,Termini Imerese,,,Palermo,L100000400461,G100000400461,https://www.gem.wiki/Termini_Imerese_power_station
oil/gas,Italy,Southern Europe,Europe,Termini Imerese power station,Ti53,,Ettore Majorana Power Plant,118.0,mothballed,not found,2023.0,gas turbine,fossil gas: natural gas,,,,,,,Enel SpA [100%],Enel SpA [100.0%],no,,,,,,,,,37.96801,13.75079,exact,Termini Imerese,,,Palermo,L100000400461,G100000400462,https://www.gem.wiki/Termini_Imerese_power_station
oil/gas,Italy,Southern Europe,Europe,Termini Imerese power station,Ti54,,Ettore Majorana Power Plant,118.0,mothballed,not found,2023.0,gas turbine,fossil gas: natural gas,,,,,,,Enel SpA [100%],Enel SpA [100.0%],no,,,,,,,,,37.96801,13.75079,exact,Termini Imerese,,,Palermo,L100000400461,G100000400463,https://www.gem.wiki/Termini_Imerese_power_station
oil/gas,Italy,Southern Europe,Europe,Termini Imerese power station,Ti6,,Ettore Majorana Power Plant,780.0,operating,2004,,combined cycle,fossil gas: natural gas,,,,,,,Enel SpA [100%],Enel SpA [100.0%],no,,,,,,,,,37.96801,13.75079,exact,Termini Imerese,,,Palermo,L100000400461,G100000400464,https://www.gem.wiki/Termini_Imerese_power_station
oil/gas,Italy,Southern Europe,Europe,Termoli power station,1,,,769.0,operating,2006,,combined cycle,fossil gas: natural gas,,not found,,,,,Metaenergia SpA [100%],Metaenergia SpA [100.0%],not found,,,,,,,,,41.9369,15.0004,exact,Termoli,,,Campobasso,L100000400465,G100000400465,https://www.gem.wiki/Termoli_power_station
oil/gas,Italy,Southern Europe,Europe,Termoli power station,IC,,,75.2,operating,2023,,internal combustion,fossil gas: natural gas,,hydrogen capable: turbine,,,,,Metaenergia SpA [100%],Metaenergia SpA [100.0%],yes,,,,,,,,,41.9369,15.0004,exact,Termoli,,,Campobasso,L100000400465,G100000412782,https://www.gem.wiki/Termoli_power_station
