DATE,CLOSE
2021-07-07,5.6360
2021-07-08,5.5160
2021-07-09,5.5440
2021-07-12,5.5980
2021-07-13,5.6220
2021-07-14,5.6280
2021-07-15,5.5720
2021-07-16,5.5800
2021-07-19,5.4200
2021-07-20,5.3900
2021-07-21,5.4120
2021-07-22,5.5300
2021-07-23,5.6360
2021-07-26,5.6160
2021-07-27,5.6540
2021-07-28,5.7080
2021-07-29,5.7120
2021-07-30,5.7140
2021-08-02,5.7280
2021-08-03,5.6860
2021-08-04,5.7040
2021-08-05,5.7040
2021-08-06,5.7320
2021-08-09,5.7640
2021-08-10,5.7740
2021-08-11,5.8060
2021-08-12,5.8580
2021-08-13,5.8980
2021-08-16,5.9440
2021-08-17,5.9400
2021-08-18,5.9040
2021-08-19,5.9760
2021-08-20,5.9720
2021-08-23,5.9960
2021-08-24,5.9500
2021-08-25,5.8120
2021-08-26,5.6620
2021-08-27,5.6340
2021-08-30,5.6040
2021-08-31,5.6140
2021-09-01,5.7080
2021-09-02,5.6840
2021-09-03,5.6240
2021-09-06,5.6160
2021-09-07,5.5580
2021-09-08,5.5600
2021-09-09,5.5520
2021-09-10,5.5200
2021-09-13,5.5840
2021-09-14,5.6000
2021-09-15,5.5220
2021-09-16,5.6220
2021-09-17,5.6760
2021-09-20,5.6320
2021-09-21,5.7380
2021-09-22,5.6800
2021-09-23,5.7600
2021-09-24,5.6580
2021-09-27,5.6580
2021-09-28,5.5480
2021-09-29,5.5520
2021-09-30,5.5400
2021-10-01,5.4740
2021-10-04,5.4960
2021-10-05,5.5320
2021-10-06,5.4860
2021-10-07,5.5340
2021-10-08,5.5500
2021-10-11,5.4460
2021-10-12,5.4100
2021-10-13,5.4100
2021-10-14,5.4420
2021-10-15,5.4600
2021-10-18,5.4600
2021-10-19,5.4180
2021-10-20,5.5500
2021-10-21,5.5880
2021-10-22,5.6000
2021-10-25,5.6040
2021-10-26,5.6520
2021-10-27,5.6240
2021-10-28,5.5240
2021-10-29,5.4900
2021-11-01,5.5580
2021-11-02,5.5700
2021-11-03,5.6180
2021-11-04,5.7100
2021-11-05,5.7340
2021-11-08,5.6940
2021-11-09,5.6400
2021-11-10,5.6680
2021-11-11,5.6280
2021-11-12,5.6020
2021-11-15,5.6000
2021-11-16,5.5460
2021-11-17,5.5580
2021-11-18,5.6040
2021-11-19,5.5500
2021-11-22,5.6280
2021-11-23,5.6100
2021-11-24,5.6680
2021-11-25,5.6540
2021-11-26,5.5060
2021-11-29,5.5500
2021-11-30,5.5680
2021-12-01,5.5880
2021-12-02,5.5760
2021-12-03,5.6360
2021-12-06,5.8420
2021-12-07,5.8460
2021-12-08,5.7660
2021-12-09,5.7740
2021-12-10,5.7960
2021-12-13,5.7620
2021-12-14,5.7480
2021-12-15,5.8200
2021-12-16,5.8000
2021-12-17,5.8220
2021-12-20,5.7780
2021-12-21,5.7500
2021-12-22,5.8500
2021-12-23,5.8940
2021-12-27,5.8800
2021-12-28,6.0020
2021-12-29,6.0340
2021-12-30,6.0520
2022-01-03,6.0880
2022-01-04,6.0140
2022-01-05,5.9800
2022-01-06,5.8420
2022-01-07,5.7700
2022-01-10,5.7440
2022-01-11,5.8220
2022-01-12,5.8540
2022-01-13,5.8720
2022-01-14,5.8980
2022-01-17,5.8920
2022-01-18,5.8680
2022-01-19,5.8680
2022-01-20,5.9380
2022-01-21,5.8380
2022-01-24,5.7600
2022-01-25,5.7640
2022-01-26,5.8060
2022-01-27,5.9360
2022-01-28,5.8540
2022-01-31,5.8680
2022-02-01,5.9040
2022-02-02,5.9840
2022-02-03,5.8740
2022-02-04,5.6860
2022-02-07,5.5820
2022-02-08,5.5260
2022-02-09,5.6660
2022-02-10,5.7300
2022-02-11,5.6680
2022-02-14,5.6180
2022-02-15,5.6740
2022-02-16,5.6360
2022-02-17,5.6440
2022-02-18,5.6300
2022-02-21,5.5660
2022-02-22,5.5160
2022-02-23,5.5740
2022-02-24,5.4620
2022-02-25,5.7600
2022-02-28,5.7780
2022-03-01,5.6340
2022-03-02,5.5980
2022-03-03,5.5320
2022-03-04,5.3880
2022-03-07,5.3480
2022-03-08,5.3900
2022-03-09,5.6420
2022-03-10,5.5220
2022-03-11,5.5920
2022-03-14,5.5640
2022-03-15,5.5480
2022-03-16,5.4680
2022-03-17,5.5560
2022-03-18,5.5440
2022-03-21,5.6040
2022-03-22,5.6420
2022-03-23,5.4880
2022-03-24,5.5740
2022-03-25,5.6660
2022-03-28,5.7320
2022-03-29,5.7640
2022-03-30,5.8000
2022-03-31,5.8240
2022-04-01,5.8550
2022-04-04,5.7600
2022-04-05,5.6800
2022-04-06,5.7950
2022-04-07,5.9100
2022-04-08,6.0600
2022-04-11,6.1150
2022-04-12,6.0850
2022-04-13,6.0800
2022-04-14,6.1950
2022-04-19,6.2450
2022-04-20,6.3750
2022-04-21,6.3000
2022-04-22,6.2700
2022-04-25,6.1650
2022-04-26,6.1400
2022-04-27,6.1800
2022-04-28,6.2100
2022-04-29,6.1800
2022-05-02,6.1900
2022-05-03,6.2050
2022-05-04,6.1550
2022-05-05,6.1150
2022-05-06,6.1150
2022-05-09,6.0650
2022-05-10,6.1250
2022-05-11,6.2450
2022-05-12,6.0900
2022-05-13,6.1800
2022-05-16,6.3000
2022-05-17,6.3200
2022-05-18,6.3200
2022-05-19,6.2550
2022-05-20,6.3900
2022-05-23,6.1600
2022-05-24,6.0600
2022-05-25,6.1050
2022-05-26,6.1400
2022-05-27,6.0400
2022-05-30,5.9950
2022-05-31,6.0100
2022-06-01,5.9550
2022-06-02,5.9750
2022-06-03,5.9750
2022-06-06,6.0100
2022-06-07,5.9500
2022-06-08,5.9750
2022-06-09,5.7700
2022-06-10,5.5700
2022-06-13,5.4300
2022-06-14,5.3850
2022-06-15,5.4500
2022-06-16,5.3700
2022-06-17,5.5850
2022-06-20,5.5050
2022-06-21,5.3400
2022-06-22,5.1400
2022-06-23,5.2800
2022-06-24,5.5600
2022-06-27,5.4850
2022-06-28,5.6150
2022-06-29,5.6100
2022-06-30,5.5550
2022-07-01,5.6000
2022-07-04,5.6000
2022-07-05,5.4950
2022-07-06,5.4700
2022-07-07,5.4850
2022-07-08,5.4600
2022-07-11,5.4550
2022-07-12,5.5000
2022-07-13,5.4550
2022-07-14,5.2700
2022-07-15,5.3500
2022-07-18,5.4300
2022-07-19,5.5050
2022-07-20,5.2750
2022-07-21,5.1950
2022-07-22,5.2850
2022-07-25,5.2850
2022-07-26,5.4400
2022-07-27,5.4600
2022-07-28,5.5300
2022-07-29,5.5800
2022-08-01,5.4850
2022-08-02,5.5000
2022-08-03,5.4650
2022-08-04,5.4800
2022-08-05,5.4700
2022-08-08,5.5150
2022-08-09,5.5100
2022-08-10,5.5250
2022-08-11,5.4900
2022-08-12,5.4850
2022-08-16,5.6150
2022-08-17,5.6600
2022-08-18,5.6850
2022-08-19,5.5950
2022-08-22,5.6500
2022-08-23,5.5750
2022-08-24,5.5150
2022-08-25,5.5200
2022-08-26,5.3750
2022-08-29,5.2800
2022-08-30,5.3000
2022-08-31,5.1350
2022-09-01,5.1050
2022-09-02,5.2350
2022-09-05,5.1350
2022-09-06,5.0850
2022-09-07,5.1300
2022-09-08,5.0400
2022-09-09,5.2000
2022-09-12,5.2250
2022-09-13,5.2150
2022-09-14,5.1200
2022-09-15,5.1600
2022-09-16,5.1150
2022-09-19,5.1650
2022-09-20,5.0650
2022-09-21,5.1700
2022-09-22,5.1450
2022-09-23,5.0600
2022-09-26,5.0600
2022-09-27,4.9060
2022-09-28,4.8220
2022-09-29,4.7680
2022-09-30,4.7760
2022-10-03,4.8860
2022-10-04,5.0050
2022-10-05,4.8560
2022-10-06,4.7680
2022-10-07,4.7800
2022-10-10,4.7700
2022-10-11,4.7520
2022-10-12,4.6060
2022-10-13,4.5560
2022-10-14,4.7020
2022-10-17,4.8160
2022-10-18,4.7840
2022-10-19,4.7800
2022-10-20,4.8480
2022-10-21,4.7540
2022-10-24,4.9180
2022-10-25,5.0400
2022-10-26,5.0500
2022-10-27,5.3200
2022-10-28,5.2850
2022-10-31,5.2150
2022-11-01,5.1900
2022-11-02,5.2750
2022-11-03,5.1450
2022-11-04,5.3200
2022-11-07,5.2500
2022-11-08,5.3400
2022-11-09,5.4050
2022-11-10,5.5550
2022-11-11,5.4500
2022-11-14,5.4650
2022-11-15,5.4850
2022-11-16,5.5000
2022-11-17,5.4300
2022-11-18,5.5500
2022-11-21,5.5800
2022-11-22,5.6000
2022-11-23,5.5950
2022-11-24,5.6850
2022-11-25,5.6950
2022-11-28,5.6300
2022-11-29,5.6000
2022-11-30,5.6050
2022-12-01,5.6250
2022-12-02,5.6400
2022-12-05,5.6400
2022-12-06,5.5750
2022-12-07,5.6450
2022-12-08,5.5800
2022-12-09,5.6300
2022-12-12,5.6350
2022-12-13,5.6200
2022-12-14,5.6250
2022-12-15,5.4650
2022-12-16,5.3500
2022-12-19,5.3750
2022-12-20,5.2850
2022-12-21,5.3900
2022-12-22,5.3650
2022-12-23,5.3500
2022-12-27,5.3050
2022-12-28,5.2450
2022-12-29,5.3000
2022-12-30,5.1900
2023-01-02,5.2500
2023-01-03,5.2500
2023-01-04,5.3600
2023-01-05,5.2650
2023-01-06,5.3950
2023-01-09,5.3650
2023-01-10,5.3850
2023-01-11,5.4550
2023-01-12,5.4600
2023-01-13,5.4300
2023-01-16,5.4400
2023-01-17,5.4600
2023-01-18,5.5100
2023-01-19,5.3950
2023-01-20,5.3450
2023-01-23,5.4950
2023-01-24,5.4950
2023-01-25,5.5600
2023-01-26,5.4950
2023-01-27,5.4900
2023-01-30,5.4100
2023-01-31,5.3650
2023-02-01,5.3750
2023-02-02,5.5250
2023-02-03,5.4600
2023-02-06,5.5600
2023-02-07,5.6300
2023-02-08,5.6500
2023-02-09,5.6650
2023-02-10,5.6000
2023-02-13,5.6150
2023-02-14,5.6300
2023-02-15,5.5000
2023-02-16,5.5000
2023-02-17,5.4350
2023-02-20,5.4800
2023-02-21,5.4550
2023-02-22,5.3750
2023-02-23,5.3650
2023-02-24,5.3550
2023-02-27,5.4750
2023-02-28,5.3850
2023-03-01,5.2500
2023-03-02,5.2800
2023-03-03,5.3100
2023-03-06,5.2850
2023-03-07,5.2600
2023-03-08,5.2650
2023-03-09,5.1550
2023-03-10,5.2400
2023-03-13,5.2950
2023-03-14,5.3750
2023-03-15,5.3550
2023-03-16,5.5800
2023-03-17,5.3850
2023-03-20,5.5750
2023-03-21,5.5700
2023-03-22,5.5150
2023-03-23,5.4700
2023-03-24,5.4000
2023-03-27,5.5500
2023-03-28,5.5550
2023-03-29,5.5700
2023-03-30,5.6050
2023-03-31,5.6250
2023-04-03,5.6300
2023-04-04,5.6950
2023-04-05,5.8050
2023-04-06,5.8950
2023-04-11,5.9750
2023-04-12,5.9950
2023-04-13,5.9700
2023-04-14,5.9200
2023-04-17,5.9800
2023-04-18,5.9100
2023-04-19,5.9950
2023-04-20,6.0100
2023-04-21,6.0300
2023-04-24,5.9350
2023-04-25,5.9050
2023-04-26,5.8250
2023-04-27,5.8700
2023-04-28,5.9300
2023-05-02,5.7550
2023-05-03,5.8500
2023-05-04,5.8450
2023-05-05,5.8800
2023-05-08,5.8450
2023-05-09,5.8800
2023-05-10,5.8750
2023-05-11,5.9200
2023-05-12,5.9750
2023-05-15,5.9250
2023-05-16,5.9700
2023-05-17,5.8850
2023-05-18,5.7300
2023-05-19,5.7900
2023-05-22,5.4200
2023-05-23,5.4250
2023-05-24,5.3450
2023-05-25,5.2450
2023-05-26,5.3000
2023-05-29,5.3100
2023-05-30,5.3650
2023-05-31,5.3200
2023-06-01,5.3750
2023-06-02,5.5150
2023-06-05,5.5150
2023-06-06,5.5700
2023-06-07,5.5400
2023-06-08,5.5700
2023-06-09,5.5800
2023-06-12,5.6150
2023-06-13,5.6050
2023-06-14,5.6050
2023-06-15,5.4700
2023-06-16,5.5650
2023-06-19,5.4850
2023-06-20,5.4750
2023-06-21,5.4000
2023-06-22,5.3400
2023-06-23,5.3650
2023-06-26,5.3750
2023-06-27,5.4000
2023-06-28,5.3750
2023-06-29,5.3750
2023-06-30,5.4250
2023-07-03,5.4500
2023-07-04,5.4200
2023-07-05,5.3400
2023-07-06,5.2100
2023-07-07,5.2100
2023-07-10,5.1700
2023-07-11,5.2250
2023-07-12,5.2650
2023-07-13,5.2850
2023-07-14,5.2750
2023-07-17,5.2750
2023-07-18,5.2600
2023-07-19,5.3300
2023-07-20,5.3500
2023-07-21,5.3600
2023-07-24,5.3650
2023-07-25,5.2950
2023-07-26,5.3650
2023-07-27,5.3750
2023-07-28,5.3700
2023-07-31,5.3600
2023-08-01,5.2900
2023-08-02,5.1900
2023-08-03,5.1400
2023-08-04,5.1150
2023-08-07,5.0900
2023-08-08,5.1600
2023-08-09,5.2200
2023-08-10,5.2400
2023-08-11,5.1900
2023-08-14,5.1850
2023-08-16,5.1100
2023-08-17,5.0600
2023-08-18,5.0550
2023-08-21,5.0500
2023-08-22,5.0400
2023-08-23,5.1150
2023-08-24,5.1400
2023-08-25,5.2100
2023-08-28,5.2250
2023-08-29,5.2800
2023-08-30,5.2500
2023-08-31,5.2500
2023-09-01,5.2550
2023-09-04,5.2300
2023-09-05,5.2350
2023-09-06,5.1950
2023-09-07,5.2800
2023-09-08,5.2650
2023-09-11,5.2900
2023-09-12,5.3300
2023-09-13,5.2450
2023-09-14,5.3450
2023-09-15,5.3150
2023-09-18,5.2200
2023-09-19,5.2500
2023-09-20,5.3050
2023-09-21,5.1400
2023-09-22,5.0600
2023-09-25,5.0600
2023-09-26,4.9940
2023-09-27,4.8960
2023-09-28,4.8140
2023-09-29,4.8520
2023-10-02,4.7480
2023-10-03,4.7680
2023-10-04,4.8100
2023-10-05,4.8500
2023-10-06,4.8460
2023-10-09,4.8780
2023-10-10,4.9560
2023-10-11,4.9820
2023-10-12,4.9740
2023-10-13,4.9340
2023-10-16,5.0050
2023-10-17,5.0500
2023-10-18,4.9500
2023-10-19,4.8840
2023-10-20,4.8320
2023-10-23,4.7760
2023-10-24,4.7920
2023-10-25,4.8040
2023-10-26,4.7280
2023-10-27,4.7080
2023-10-30,4.7400
2023-10-31,4.7980
2023-11-01,4.8280
2023-11-02,4.9260
2023-11-03,4.9240
2023-11-06,4.9280
2023-11-07,4.8900
2023-11-08,4.8700
2023-11-09,4.9040
2023-11-10,4.8400
2023-11-13,4.8360
2023-11-14,4.9360
2023-11-15,4.9240
2023-11-16,4.9460
2023-11-17,5.0250
2023-11-20,5.0450
2023-11-21,5.0100
2023-11-22,4.9780
2023-11-23,5.0500
2023-11-24,5.0800
2023-11-27,5.0550
2023-11-28,5.0300
2023-11-29,5.0600
2023-11-30,5.1150
2023-12-01,5.1300
2023-12-04,5.1550
2023-12-05,5.1850
2023-12-06,5.2000
2023-12-07,5.1950
2023-12-08,5.2350
2023-12-11,5.2000
2023-12-12,5.1750
2023-12-13,5.2100
2023-12-14,5.2100
2023-12-15,5.2000
2023-12-18,5.1750
2023-12-19,5.1800
2023-12-20,5.1800
2023-12-21,5.1750
2023-12-22,5.1900
2023-12-27,5.1650
2023-12-28,5.1650
2023-12-29,5.1800
2024-01-02,5.1200
2024-01-03,5.0500
2024-01-04,5.1450
2024-01-05,5.1250
2024-01-08,5.2000
2024-01-09,5.2900
2024-01-10,5.2000
2024-01-11,5.1900
2024-01-12,5.2950
2024-01-15,5.3450
2024-01-16,5.3200
2024-01-17,5.2400
2024-01-18,5.2350
2024-01-19,5.2800
2024-01-22,5.2950
2024-01-23,5.1950
2024-01-24,5.2200
2024-01-25,5.1900
2024-01-26,5.2300
2024-01-29,5.1800
2024-01-30,5.2250
2024-01-31,5.2900
2024-02-01,5.1850
2024-02-02,5.1700
2024-02-05,5.1500
2024-02-06,5.1800
2024-02-07,5.1000
2024-02-08,5.1100
2024-02-09,5.0700
2024-02-12,5.1550
2024-02-13,5.1200
2024-02-14,5.1150
2024-02-15,5.1150
2024-02-16,5.1250
2024-02-19,5.1500
2024-02-20,5.1950
2024-02-21,5.1900
2024-02-22,5.0900
2024-02-23,5.0950
2024-02-26,5.0250
2024-02-27,5.0750
2024-02-28,5.0450
2024-02-29,5.0450
2024-03-01,5.1000
2024-03-04,5.1100
2024-03-05,5.1950
2024-03-06,5.2050
2024-03-07,5.2900
2024-03-08,5.3500
2024-03-11,5.3550
2024-03-12,5.3500
2024-03-13,5.3800
2024-03-14,5.3250
2024-03-15,5.3300
2024-03-18,5.2850
2024-03-19,5.2750
2024-03-20,5.2050
2024-03-21,5.1600
2024-03-22,5.2700
2024-03-25,5.3350
2024-03-26,5.3400
2024-03-27,5.4000
2024-03-28,5.4000
2024-04-02,5.3400
2024-04-03,5.3250
2024-04-04,5.3350
2024-04-05,5.1400
2024-04-08,5.1750
2024-04-09,5.1650
2024-04-10,5.0200
2024-04-11,5.0600
2024-04-12,5.0850
2024-04-15,5.0800
2024-04-16,5.0050
2024-04-17,4.9960
2024-04-18,5.0300
2024-04-19,5.0700
2024-04-22,5.1350
2024-04-23,5.1900
2024-04-24,5.1600
2024-04-25,5.1200
2024-04-26,5.1950
2024-04-29,5.2450
2024-04-30,5.2000
2024-05-02,5.2050
2024-05-03,5.2450
2024-05-06,5.2900
2024-05-07,5.2500
2024-05-08,5.2750
2024-05-09,5.2700
2024-05-10,5.3200
2024-05-13,5.3850
2024-05-14,5.2950
2024-05-15,5.3950
2024-05-16,5.4000
2024-05-17,5.4150
2024-05-20,5.0400
2024-05-21,5.0150
2024-05-22,4.9320
2024-05-23,4.8220
2024-05-24,4.8540
2024-05-27,4.9180
2024-05-28,4.8860
2024-05-29,4.8340
2024-05-30,4.8580
2024-05-31,4.9080
2024-06-03,4.9720
2024-06-04,5.0200
2024-06-05,5.0000
2024-06-06,4.9660
2024-06-07,4.9340
2024-06-10,4.9760
2024-06-11,4.8600
2024-06-12,4.9600
2024-06-13,4.8840
2024-06-14,4.8200
2024-06-17,4.7620
2024-06-18,4.8420
2024-06-19,4.7520
2024-06-20,4.8200
2024-06-21,4.7560
2024-06-24,4.7500
2024-06-25,4.7200
2024-06-26,4.6900
2024-06-27,4.5900
2024-06-28,4.6020
2024-07-01,4.6300
2024-07-02,4.5880
2024-07-03,4.6420
2024-07-04,4.6520
2024-07-05,4.6800
2024-07-08,4.6500
2024-07-09,4.6380
2024-07-10,4.7260
2024-07-11,4.7640
2024-07-12,4.7920
2024-07-15,4.7720
2024-07-16,4.7900
2024-07-17,4.7840
2024-07-18,4.8540
2024-07-19,4.7960
2024-07-22,4.8540
2024-07-23,4.8460
2024-07-24,4.9000
2024-07-25,4.9740
2024-07-26,4.9280
2024-07-29,4.9100
2024-07-30,4.9800
2024-07-31,4.9380
2024-08-01,4.8700
2024-08-02,4.9580
2024-08-05,4.8260
2024-08-06,4.8040
2024-08-07,4.8780
2024-08-08,4.8920
2024-08-09,4.9000
2024-08-12,4.9040
2024-08-13,4.9400
2024-08-14,4.9700
2024-08-16,5.0000
2024-08-19,5.0000
2024-08-20,4.9840
2024-08-21,4.9820
2024-08-22,4.9700
2024-08-23,5.0450
2024-08-26,5.0350
2024-08-27,5.0450
2024-08-28,5.0800
2024-08-29,5.0400
2024-08-30,5.0900
2024-09-02,5.0700
2024-09-03,5.0800
2024-09-04,5.1000
2024-09-05,5.1650
2024-09-06,5.0500
2024-09-09,5.0800
2024-09-10,5.1400
2024-09-11,5.2150
2024-09-12,5.2050
2024-09-13,5.2550
2024-09-16,5.3100
2024-09-17,5.3550
2024-09-18,5.3500
2024-09-19,5.3350
2024-09-20,5.4100
2024-09-23,5.4500
2024-09-24,5.4150
2024-09-25,5.3950
2024-09-26,5.4250
2024-09-27,5.4400
2024-09-30,5.4300
2024-10-01,5.5000
2024-10-02,5.4000
2024-10-03,5.3650
2024-10-04,5.4000
2024-10-07,5.4300
2024-10-08,5.6100
2024-10-09,5.6050
2024-10-10,5.6450
2024-10-11,5.7300
2024-10-14,5.8150
2024-10-15,5.8600
2024-10-16,5.7750
2024-10-17,5.7800
2024-10-18,5.8900
2024-10-21,5.8750
2024-10-22,5.7950
2024-10-23,5.8150
2024-10-24,5.7300
2024-10-25,5.7350
2024-10-28,5.7850
2024-10-29,5.7100
2024-10-30,5.6750
2024-10-31,5.6250
2024-11-01,5.6550
2024-11-04,5.6300
2024-11-05,5.6300
2024-11-06,5.5600
2024-11-07,5.5150
2024-11-08,5.5300
2024-11-11,5.5750
2024-11-12,5.5000
2024-11-13,5.5050
2024-11-14,5.5600
2024-11-15,5.5950
2024-11-18,5.6050
2024-11-19,5.5700
2024-11-20,5.5350
2024-11-21,5.6000
2024-11-22,5.6850
2024-11-25,5.6850
2024-11-26,5.6750
