DATE,CLOSE
2021-07-07,941.0000
2021-07-08,935.6000
2021-07-09,939.6000
2021-07-12,945.1000
2021-07-13,942.6000
2021-07-14,931.1000
2021-07-15,927.8000
2021-07-16,943.0000
2021-07-19,931.0000
2021-07-20,922.0000
2021-07-21,921.5000
2021-07-22,918.5000
2021-07-23,929.5000
2021-07-26,928.1000
2021-07-27,931.0000
2021-07-28,929.9000
2021-07-29,927.0000
2021-07-30,924.1000
2021-08-02,928.1000
2021-08-03,927.9000
2021-08-04,927.3000
2021-08-05,934.0000
2021-08-06,941.4000
2021-08-09,945.1000
2021-08-10,951.5000
2021-08-11,947.8000
2021-08-12,950.5000
2021-08-13,955.5000
2021-08-16,956.9000
2021-08-17,962.7000
2021-08-18,968.8000
2021-08-19,978.3000
2021-08-20,979.0000
2021-08-23,968.0000
2021-08-24,963.6000
2021-08-25,950.5000
2021-08-26,943.6000
2021-08-27,937.9000
2021-08-31,941.3000
2021-09-01,946.3000
2021-09-02,944.0000
2021-09-03,941.5000
2021-09-06,936.4000
2021-09-07,930.5000
2021-09-08,948.1000
2021-09-09,943.0000
2021-09-10,935.9000
2021-09-13,959.7000
2021-09-14,966.3000
2021-09-15,959.7000
2021-09-16,967.0000
2021-09-17,965.2000
2021-09-20,956.7000
2021-09-21,957.7000
2021-09-22,947.0000
2021-09-23,934.9000
2021-09-24,919.4000
2021-09-27,908.9000
2021-09-28,895.3000
2021-09-29,898.3000
2021-09-30,884.6000
2021-10-01,895.2000
2021-10-04,902.9000
2021-10-05,910.4000
2021-10-06,903.6000
2021-10-07,896.4000
2021-10-08,890.0000
2021-10-11,886.9000
2021-10-12,889.9000
2021-10-13,902.0000
2021-10-14,901.4000
2021-10-15,897.2000
2021-10-18,905.9000
2021-10-19,903.8000
2021-10-20,913.9000
2021-10-21,907.5000
2021-10-22,912.2000
2021-10-25,911.5000
2021-10-26,922.8000
2021-10-27,936.7000
2021-10-28,945.3000
2021-10-29,935.4000
2021-11-01,947.0000
2021-11-02,948.3000
2021-11-03,947.1000
2021-11-04,955.7000
2021-11-05,950.0000
2021-11-08,951.2000
2021-11-09,942.6000
2021-11-10,964.7000
2021-11-11,968.8000
2021-11-12,977.8000
2021-11-15,981.6000
2021-11-16,974.4000
2021-11-17,975.0000
2021-11-18,986.5000
2021-11-19,983.5000
2021-11-22,985.0000
2021-11-23,992.4000
2021-11-24,998.3000
2021-11-25,1007.0000
2021-11-26,1002.2000
2021-11-29,1001.2000
2021-11-30,1006.6000
2021-12-01,1007.0000
2021-12-02,985.8000
2021-12-03,1002.4000
2021-12-06,1024.8000
2021-12-07,1028.0000
2021-12-08,1038.0000
2021-12-09,1049.0000
2021-12-10,1050.8000
2021-12-13,1051.0000
2021-12-14,1055.4000
2021-12-15,1059.0000
2021-12-16,1043.8000
2021-12-17,1073.8000
2021-12-20,1074.8000
2021-12-21,1084.8000
2021-12-22,1085.6000
2021-12-23,1084.4000
2021-12-24,1082.0000
2021-12-29,1090.0000
2021-12-30,1079.0000
2021-12-31,1059.8000
2022-01-04,1078.0000
2022-01-05,1063.6000
2022-01-06,1054.4000
2022-01-07,1053.8000
2022-01-10,1053.4000
2022-01-11,1049.8000
2022-01-12,1054.4000
2022-01-13,1066.6000
2022-01-14,1081.0000
2022-01-17,1080.6000
2022-01-18,1086.6000
2022-01-19,1089.0000
2022-01-20,1092.2000
2022-01-21,1083.8000
2022-01-24,1079.0000
2022-01-25,1081.2000
2022-01-26,1074.2000
2022-01-27,1097.2000
2022-01-28,1092.0000
2022-01-31,1079.6000
2022-02-01,1092.6000
2022-02-02,1104.8000
2022-02-03,1097.0000
2022-02-04,1074.4000
2022-02-07,1074.4000
2022-02-08,1078.0000
2022-02-09,1080.0000
2022-02-10,1091.0000
2022-02-11,1095.8000
2022-02-14,1075.0000
2022-02-15,1076.0000
2022-02-16,1080.8000
2022-02-17,1078.6000
2022-02-18,1089.6000
2022-02-21,1079.4000
2022-02-22,1071.8000
2022-02-23,1080.0000
2022-02-24,1052.6000
2022-02-25,1100.6000
2022-02-28,1130.8000
2022-03-01,1138.2000
2022-03-02,1127.6000
2022-03-03,1110.6000
2022-03-04,1107.8000
2022-03-07,1112.4000
2022-03-08,1114.0000
2022-03-09,1137.8000
2022-03-10,1133.4000
2022-03-11,1113.4000
2022-03-14,1123.2000
2022-03-15,1155.4000
2022-03-16,1119.0000
2022-03-17,1138.8000
2022-03-18,1132.2000
2022-03-21,1129.4000
2022-03-22,1119.8000
2022-03-23,1108.0000
2022-03-24,1119.8000
2022-03-25,1126.6000
2022-03-28,1132.6000
2022-03-29,1146.4000
