name,code,url,updatedAt,gasDayStart,gasDayEnd,gasInStorage,consumption,consumptionFull,injection,withdrawal,netWithdrawal,workingGasVolume,injectionCapacity,withdrawalCapacity,contractedCapacity,availableCapacity,coveredCapacity,status,trend,full,info
Italy,IT,IT,2023-01-02 14:52:32,2022-12-31,2023-01-01,159.5373,749.8000,21.28,26.31,16.1,-10.2,193.4434,1698.45,2914.24,-,-,-,C,-0.01,82.47,[]
Italy,IT,IT,2023-01-02 14:50:17,2022-12-30,2022-12-31,159.5476,749.8000,21.28,26.42,149.7,123.3,193.4434,1698.45,2914.24,-,-,-,C,-0.07,82.48,[]
Italy,IT,IT,2022-12-30 13:48:48,2022-12-29,2022-12-30,159.6916,749.8000,21.3,10.54,323.3,312.8,193.4434,1698.45,2914.24,-,-,-,C,-0.17,82.55,[]
Italy,IT,IT,2022-12-29 17:22:12,2022-12-28,2022-12-29,160.0233,749.8000,21.34,10.39,376.9,366.5,193.4434,1698.45,2914.24,-,-,-,C,-0.2,82.72,[]
Italy,IT,IT,2022-12-28 13:51:39,2022-12-27,2022-12-28,160.4091,749.8000,21.39,10.39,426,415.6,193.4434,1698.45,2914.24,-,-,-,C,-0.22,82.92,[]
Italy,IT,IT,2022-12-27 12:57:17,2022-12-26,2022-12-27,160.844,749.8000,21.45,28.48,53.2,24.7,193.4434,1698.45,2914.24,-,-,-,C,-0.03,83.15,[]
Italy,IT,IT,2022-12-26 20:06:52,2022-12-25,2022-12-26,160.8939,749.8000,21.46,28.43,19.3,-9.1,193.4434,1698.45,2914.24,-,-,-,C,-0.01,83.17,[]
Italy,IT,IT,2022-12-26 20:07:01,2022-12-24,2022-12-25,160.9092,749.8000,21.46,13.94,110.1,96.1,193.4434,1698.45,2914.24,-,-,-,C,-0.06,83.18,[]
Italy,IT,IT,2022-12-24 13:03:21,2022-12-23,2022-12-24,161.0267,749.8000,21.48,0,525.8,525.8,193.4434,1698.45,2914.24,-,-,-,C,-0.27,83.24,[]
Italy,IT,IT,2022-12-23 11:20:04,2022-12-22,2022-12-23,161.5523,749.8000,21.55,0,595.8,595.8,193.4434,1698.45,2914.24,-,-,-,C,-0.31,83.51,[]
Italy,IT,IT,2022-12-23 09:17:44,2022-12-21,2022-12-22,162.1479,749.8000,21.63,0,722.8,722.8,193.4434,1698.45,2914.24,-,-,-,C,-0.37,83.82,[]
Italy,IT,IT,2022-12-21 15:52:32,2022-12-20,2022-12-21,162.8704,749.8000,21.72,0,809.1,809.1,193.4434,1698.45,2914.24,-,-,-,C,-0.42,84.2,[]
Italy,IT,IT,2022-12-20 15:59:49,2022-12-19,2022-12-20,163.6793,749.8000,21.83,0,814.9,814.9,193.4434,1698.45,2914.24,-,-,-,C,-0.42,84.61,[]
Italy,IT,IT,2022-12-19 14:00:29,2022-12-18,2022-12-19,164.494,749.8000,21.94,5.8,360.6,354.8,193.4434,1698.45,2914.24,-,-,-,C,-0.2,85.03,[]
Italy,IT,IT,2022-12-19 09:34:16,2022-12-17,2022-12-18,164.8739,749.8000,21.99,5.8,482.9,477.1,193.4434,1698.45,2914.24,-,-,-,C,-0.26,85.23,[]
Italy,IT,IT,2022-12-19 08:59:25,2022-12-16,2022-12-17,165.3735,749.8000,22.06,0,718.4,718.4,193.4434,1698.45,2914.24,-,-,-,C,-0.37,85.49,[]
Italy,IT,IT,2022-12-16 12:36:56,2022-12-15,2022-12-16,166.0917,749.8000,22.15,0,839.4,839.4,193.4434,1698.45,2914.24,-,-,-,C,-0.43,85.86,[]
Italy,IT,IT,2022-12-15 13:40:41,2022-12-14,2022-12-15,166.931,749.8000,22.26,0,847.5,847.5,193.4434,1698.45,2914.24,-,-,-,C,-0.44,86.29,[]
Italy,IT,IT,2022-12-14 16:07:29,2022-12-13,2022-12-14,167.7784,749.8000,22.38,0,889.7,889.7,193.4434,1698.45,2914.24,-,-,-,C,-0.46,86.73,[]
Italy,IT,IT,2022-12-13 15:59:17,2022-12-12,2022-12-13,168.6679,749.8000,22.5,0,868.8,868.8,193.4434,1698.45,2914.24,-,-,-,C,-0.45,87.19,[]
Italy,IT,IT,2022-12-12 15:06:18,2022-12-11,2022-12-12,169.5366,749.8000,22.61,6.09,625.5,619.4,193.4434,1698.45,2914.24,-,-,-,C,-0.33,87.64,[]
Italy,IT,IT,2022-12-12 08:51:57,2022-12-10,2022-12-11,170.183,749.8000,22.7,6.09,542.2,536.2,193.4434,1698.45,2914.24,-,-,-,C,-0.29,87.98,[]
Italy,IT,IT,2022-12-12 08:50:33,2022-12-09,2022-12-10,170.7464,749.8000,22.77,0,643.2,643.2,193.4434,1698.45,2914.24,-,-,-,C,-0.33,88.27,[]
Italy,IT,IT,2022-12-09 13:51:45,2022-12-08,2022-12-09,171.3894,749.8000,22.86,0,720.7,720.7,193.4434,1698.45,2914.24,-,-,-,C,-0.37,88.6,[]
Italy,IT,IT,2022-12-08 16:00:17,2022-12-07,2022-12-08,172.1099,749.8000,22.95,0,832.3,832.3,193.4434,1698.45,2914.24,-,-,-,C,-0.43,88.97,[]
Italy,IT,IT,2022-12-08 15:58:02,2022-12-06,2022-12-07,172.9421,749.8000,23.07,0,795.1,795.1,193.4434,1698.45,2914.24,-,-,-,C,-0.41,89.4,[]
