name,code,url,updatedAt,gasDayStart,gasDayEnd,gasInStorage,consumption,consumptionFull,injection,withdrawal,netWithdrawal,workingGasVolume,injectionCapacity,withdrawalCapacity,contractedCapacity,availableCapacity,coveredCapacity,status,trend,full,info
Italy,IT,IT,2024-01-02 13:47:40,2023-12-31,2024-01-01,160.0714,673.9000,23.75,20.43,552.9,532.5,196.9627,1699.23,2916.1,213.4348,-19.8294,-,C,-0.29,81.27,[]
Italy,IT,IT,2024-01-02 13:43:29,2023-12-30,2023-12-31,160.6342,673.9000,23.84,17.19,645,627.8,196.9627,1699.23,2916.1,213.4348,-19.8294,-,C,-0.33,81.56,[]
Italy,IT,IT,2024-01-02 13:38:09,2023-12-29,2023-12-30,161.2927,673.9000,23.93,17.2,696.3,679.1,196.9627,1699.23,2916.1,211.3188,-17.7134,-,C,-0.36,81.89,[]
Italy,IT,IT,2024-01-02 13:35:00,2023-12-28,2023-12-29,162.0026,673.9000,24.04,17.19,689.5,672.3,196.9627,1699.23,2916.1,211.3188,-17.7134,-,C,-0.36,82.25,[]
Italy,IT,IT,2023-12-29 10:18:10,2023-12-27,2023-12-28,162.7043,673.9000,24.14,17.19,827.1,809.9,196.9627,1699.23,2916.1,207.306,-13.7006,-,C,-0.43,82.61,[]
Italy,IT,IT,2023-12-29 10:16:26,2023-12-26,2023-12-27,163.5477,673.9000,24.27,17.55,569.8,552.2,196.9627,1699.23,2916.1,207.306,-13.7006,-,C,-0.29,83.03,[]
Italy,IT,IT,2023-12-29 10:14:50,2023-12-25,2023-12-26,164.1285,673.9000,24.36,17.55,456.9,439.4,196.9627,1699.23,2916.1,207.306,-13.7006,-,C,-0.24,83.33,[]
Italy,IT,IT,2023-12-29 10:11:55,2023-12-24,2023-12-25,164.5992,673.9000,24.42,17.55,448.7,431.2,196.9627,1699.23,2916.1,207.306,-13.7006,-,C,-0.23,83.57,[]
Italy,IT,IT,2023-12-29 10:09:23,2023-12-23,2023-12-24,165.058,673.9000,24.49,17.57,595.6,578,196.9627,1699.23,2916.1,207.306,-13.7006,-,C,-0.31,83.8,[]
Italy,IT,IT,2023-12-29 10:05:44,2023-12-22,2023-12-23,165.6648,673.9000,24.58,5.33,725.2,719.9,196.9627,1699.23,2916.1,207.006,-13.4006,-,C,-0.39,84.11,[]
Italy,IT,IT,2023-12-29 10:03:16,2023-12-21,2023-12-22,166.4315,673.9000,24.7,0,991.6,991.6,196.9627,1699.23,2916.1,207.006,-13.4006,-,C,-0.5,84.5,[]
Italy,IT,IT,2023-12-21 13:47:01,2023-12-20,2023-12-21,167.4228,673.9000,24.84,0,1021.3,1021.3,196.9627,1699.23,2916.1,207.006,-13.4006,-,C,-0.52,85,[]
Italy,IT,IT,2023-12-20 13:39:57,2023-12-19,2023-12-20,168.4439,673.9000,25,0,1054.8,1054.8,196.9627,1699.23,2916.1,207.006,-13.4006,-,C,-0.54,85.52,[]
