name,code,url,updatedAt,gasDayStart,gasDayEnd,gasInStorage,consumption,consumptionFull,injection,withdrawal,netWithdrawal,workingGasVolume,injectionCapacity,withdrawalCapacity,contractedCapacity,availableCapacity,coveredCapacity,status,trend,full,info
Italy,IT,IT,2018-01-01 00:00:00,2017-12-31,2018-01-01,142.3141,716.0000,19.88,0,700.5,700.5,192.9391,1657.85,2823.95,-,-,-,C,-0.36,73.76,[]
Italy,IT,IT,2017-12-31 00:00:00,2017-12-30,2017-12-31,143.0157,716.0000,19.97,0,638.7,638.7,192.9391,1657.85,2823.95,-,-,-,C,-0.33,74.12,[]
Italy,IT,IT,2017-12-30 00:00:00,2017-12-29,2017-12-30,143.6554,716.0000,20.06,0,766.7,766.7,192.9391,1657.85,2823.95,-,-,-,C,-0.4,74.46,[]
Italy,IT,IT,2017-12-29 00:00:00,2017-12-28,2017-12-29,144.4233,716.0000,20.17,0,763.2,763.2,192.9391,1657.85,2823.95,-,-,-,C,-0.4,74.85,[]
Italy,IT,IT,2017-12-28 00:00:00,2017-12-27,2017-12-28,145.1876,716.0000,20.28,0,750.8,750.8,192.9391,1657.85,2823.95,-,-,-,C,-0.23,75.25,[]
Italy,IT,IT,2017-12-27 00:00:00,2017-12-26,2017-12-27,145.6238,716.0000,20.34,0,654.6,654.6,192.9391,1657.85,2823.95,-,-,-,E,-0.34,75.48,[]
Italy,IT,IT,2017-12-26 00:00:00,2017-12-25,2017-12-26,146.2784,716.0000,20.43,0,649.7,649.7,192.9391,1657.85,2823.95,-,-,-,E,-0.34,75.82,[]
Italy,IT,IT,2017-12-25 00:00:00,2017-12-24,2017-12-25,146.9281,716.0000,20.52,0,653.6,653.6,192.9391,1657.85,2823.95,-,-,-,C,-0.34,76.15,[]
Italy,IT,IT,2017-12-24 00:00:00,2017-12-23,2017-12-24,147.5827,716.0000,20.61,0,770.3,770.3,192.9391,1657.85,2823.95,-,-,-,C,-0.4,76.49,[]
Italy,IT,IT,2017-12-23 00:00:00,2017-12-22,2017-12-23,148.3541,716.0000,20.72,0,1043.8,1043.8,192.9391,1657.85,2823.95,-,-,-,C,-0.54,76.89,[]
Italy,IT,IT,2017-12-22 00:00:00,2017-12-21,2017-12-22,149.3993,716.0000,20.87,0,1039.5,1039.5,192.9391,1657.85,2823.95,-,-,-,C,-0.54,77.43,[]
Italy,IT,IT,2017-12-21 00:00:00,2017-12-20,2017-12-21,150.4402,716.0000,21.01,0,1104.1,1104.1,192.9391,1657.85,2823.95,-,-,-,C,-0.57,77.97,[]
Italy,IT,IT,2017-12-20 00:00:00,2017-12-19,2017-12-20,151.5456,716.0000,21.17,0,1157.1,1157.1,192.9391,1657.85,2823.95,-,-,-,C,-0.6,78.55,[]
Italy,IT,IT,2017-12-19 00:00:00,2017-12-18,2017-12-19,152.7041,716.0000,21.33,0,1044.8,1044.8,192.9391,1657.85,2823.95,-,-,-,C,-0.54,79.15,[]
Italy,IT,IT,2017-12-18 00:00:00,2017-12-17,2017-12-18,153.7503,716.0000,21.47,0,818.9,818.9,192.9391,1657.85,2823.95,-,-,-,C,-0.43,79.69,[]
Italy,IT,IT,2017-12-17 00:00:00,2017-12-16,2017-12-17,154.5703,716.0000,21.59,0,929.6,929.6,192.9391,1657.85,2823.95,-,-,-,C,-0.48,80.11,[]
Italy,IT,IT,2017-12-16 00:00:00,2017-12-15,2017-12-16,155.5011,716.0000,21.72,0,912.9,912.9,192.9391,1657.85,2823.95,-,-,-,C,-0.47,80.6,[]
