name,code,url,updatedAt,gasDayStart,gasDayEnd,gasInStorage,consumption,consumptionFull,injection,withdrawal,netWithdrawal,workingGasVolume,injectionCapacity,withdrawalCapacity,contractedCapacity,availableCapacity,coveredCapacity,status,trend,full,info
Italy,IT,IT,2026-05-28 13:39:56,2015-12-31,2016-01-01,140.1589,643.0000,21.8,0,617.9,617.9,173.6004,1411.94,2443.75,-,-,-,C,-0.36,80.74,[]
Italy,IT,IT,2026-05-28 13:39:54,2015-12-30,2015-12-31,140.7768,643.0000,21.89,0,491.3,491.3,173.6004,1411.94,2443.75,-,-,-,C,-0.28,81.09,[]
Italy,IT,IT,2026-05-28 13:39:52,2015-12-29,2015-12-30,141.2682,643.0000,21.97,0,740.7,740.7,173.6004,1411.94,2443.75,-,-,-,C,-0.43,81.38,[]
Italy,IT,IT,2026-05-28 13:39:49,2015-12-28,2015-12-29,142.0089,643.0000,22.09,0,705.8,705.8,173.6004,1411.94,2443.75,-,-,-,C,-0.41,81.8,[]
Italy,IT,IT,2026-05-28 13:39:46,2015-12-27,2015-12-28,142.7146,643.0000,22.2,0,554.8,554.8,173.6004,1411.94,2443.75,-,-,-,C,-0.32,82.21,[]
Italy,IT,IT,2026-05-28 13:39:44,2015-12-26,2015-12-27,143.2694,643.0000,22.28,0,311.8,311.8,173.6004,1411.94,2443.75,-,-,-,C,-0.18,82.53,[]
Italy,IT,IT,2026-05-28 13:39:41,2015-12-25,2015-12-26,143.5812,643.0000,22.33,0,244.8,244.8,173.6004,1411.94,2443.75,-,-,-,C,-0.14,82.71,[]
Italy,IT,IT,2026-05-28 13:39:39,2015-12-24,2015-12-25,143.826,643.0000,22.37,0,311.7,311.7,173.6004,1411.94,2443.75,-,-,-,C,-0.18,82.85,[]
Italy,IT,IT,2026-05-28 13:39:37,2015-12-23,2015-12-24,144.1377,643.0000,22.42,0,541.2,541.2,173.6004,1411.94,2443.75,-,-,-,C,-0.31,83.03,[]
Italy,IT,IT,2026-05-28 13:39:34,2015-12-22,2015-12-23,144.6789,643.0000,22.5,0,632.1,632.1,173.6004,1411.94,2443.75,-,-,-,C,-0.36,83.34,[]
Italy,IT,IT,2026-05-28 13:39:32,2015-12-21,2015-12-22,145.311,643.0000,22.6,0,706.6,706.6,173.6004,1411.94,2443.75,-,-,-,C,-0.41,83.7,[]
Italy,IT,IT,2026-05-28 13:39:29,2015-12-20,2015-12-21,146.0175,643.0000,22.71,0,396.5,396.5,173.6004,1411.94,2443.75,-,-,-,C,-0.23,84.11,[]
Italy,IT,IT,2026-05-28 13:39:27,2015-12-19,2015-12-20,146.4141,643.0000,22.77,0,647.7,647.7,173.6004,1411.94,2443.75,-,-,-,C,-0.37,84.34,[]
Italy,IT,IT,2026-05-28 13:39:24,2015-12-18,2015-12-19,147.0617,643.0000,22.87,0,708.1,708.1,173.6004,1411.94,2443.75,-,-,-,C,-0.41,84.71,[]
Italy,IT,IT,2026-05-28 13:39:22,2015-12-17,2015-12-18,147.7698,643.0000,22.98,0,782.4,782.4,173.6004,1411.94,2443.75,-,-,-,C,-0.45,85.12,[]
Italy,IT,IT,2026-05-28 13:39:20,2015-12-16,2015-12-17,148.5521,643.0000,23.1,0,646.7,646.7,173.6004,1411.94,2443.75,-,-,-,C,-0.37,85.57,[]
Italy,IT,IT,2026-05-28 13:39:17,2015-12-15,2015-12-16,149.1988,643.0000,23.2,0,616.8,616.8,173.6004,1411.94,2443.75,-,-,-,C,-0.36,85.94,[]
Italy,IT,IT,2026-05-28 13:39:15,2015-12-14,2015-12-15,149.8155,643.0000,23.3,0,703,703,173.6004,1411.94,2443.75,-,-,-,C,-0.4,86.3,[]
Italy,IT,IT,2026-05-28 13:39:12,2015-12-13,2015-12-14,150.5185,643.0000,23.41,0,662.7,662.7,173.6004,1411.94,2443.75,-,-,-,C,-0.38,86.7,[]
Italy,IT,IT,2026-05-28 13:39:10,2015-12-12,2015-12-13,151.1812,643.0000,23.51,0,733.2,733.2,173.6004,1411.94,2443.75,-,-,-,C,-0.42,87.09,[]
Italy,IT,IT,2026-05-28 13:39:07,2015-12-11,2015-12-12,151.9143,643.0000,23.63,0,782.1,782.1,173.6004,1411.94,2443.75,-,-,-,C,-0.45,87.51,[]
Italy,IT,IT,2026-05-28 13:39:05,2015-12-10,2015-12-11,152.6964,643.0000,23.75,0,671.9,671.9,173.6004,1411.94,2443.75,-,-,-,C,-0.39,87.96,[]
Italy,IT,IT,2026-05-28 13:39:03,2015-12-09,2015-12-10,153.3683,643.0000,23.85,0,748.2,748.2,173.6004,1411.94,2443.75,-,-,-,C,-0.43,88.35,[]
Italy,IT,IT,2026-05-28 13:39:00,2015-12-08,2015-12-09,154.1165,643.0000,23.97,0,463.6,463.6,173.6004,1411.94,2443.75,-,-,-,C,-0.27,88.78,[]
Italy,IT,IT,2026-05-28 13:38:57,2015-12-07,2015-12-08,154.5801,643.0000,24.04,0,511.6,511.6,173.6004,1411.94,2443.75,-,-,-,C,-0.29,89.04,[]
Italy,IT,IT,2026-05-28 13:38:55,2015-12-06,2015-12-07,155.0917,643.0000,24.12,0,345.8,345.8,173.6004,1411.94,2443.75,-,-,-,C,-0.2,89.34,[]
Italy,IT,IT,2026-05-28 13:38:53,2015-12-05,2015-12-06,155.4375,643.0000,24.17,0,405.6,405.6,173.6004,1411.94,2443.75,-,-,-,C,-0.23,89.54,[]
Italy,IT,IT,2026-05-28 13:38:50,2015-12-04,2015-12-05,155.8431,643.0000,24.24,0,613.5,613.5,173.6004,1411.94,2443.75,-,-,-,C,-0.35,89.77,[]
Italy,IT,IT,2026-05-28 13:38:48,2015-12-03,2015-12-04,156.4566,643.0000,24.33,0,764.9,764.9,173.6004,1411.94,2443.75,-,-,-,C,-0.44,90.12,[]
Italy,IT,IT,2026-05-28 13:38:45,2015-12-02,2015-12-03,157.2215,643.0000,24.45,0,565.1,565.1,173.6004,1411.94,2443.75,-,-,-,C,-0.33,90.57,[]
Italy,IT,IT,2026-05-28 13:38:43,2015-12-01,2015-12-02,157.7866,643.0000,24.54,0,534,534,173.6004,1411.94,2443.75,-,-,-,C,-0.31,90.89,[]
Italy,IT,IT,2026-05-28 13:38:40,2015-11-30,2015-12-01,158.3206,643.0000,24.62,0,772.8,772.8,173.6004,1411.94,2443.75,-,-,-,C,-0.45,91.2,[]
Italy,IT,IT,2026-05-28 13:38:38,2015-11-29,2015-11-30,159.0934,643.0000,24.74,0,564.6,564.6,173.6004,1411.94,2443.75,-,-,-,C,-0.33,91.64,[]
Italy,IT,IT,2026-05-28 13:38:36,2015-11-28,2015-11-29,159.658,643.0000,24.83,0,591.1,591.1,173.6004,1411.94,2443.75,-,-,-,C,-0.34,91.97,[]
Italy,IT,IT,2026-05-28 13:38:33,2015-11-27,2015-11-28,160.2491,643.0000,24.92,0,651.7,651.7,173.6004,1411.94,2443.75,-,-,-,C,-0.38,92.31,[]
Italy,IT,IT,2026-05-28 13:38:31,2015-11-26,2015-11-27,160.9007,643.0000,25.02,0,853.6,853.6,173.6004,1411.94,2443.75,-,-,-,C,-0.49,92.68,[]
Italy,IT,IT,2026-05-28 13:38:28,2015-11-25,2015-11-26,161.7543,643.0000,25.16,0,544.1,544.1,173.6004,1411.94,2443.75,-,-,-,C,-0.31,93.18,[]
Italy,IT,IT,2026-05-28 13:38:26,2015-11-24,2015-11-25,162.2984,643.0000,25.24,0,562.5,562.5,173.6004,1411.94,2443.75,-,-,-,C,-0.32,93.49,[]
Italy,IT,IT,2026-05-28 13:38:23,2015-11-23,2015-11-24,162.861,643.0000,25.33,0,795.3,795.3,173.6004,1411.94,2443.75,-,-,-,C,-0.46,93.81,[]
Italy,IT,IT,2026-05-28 13:38:21,2015-11-22,2015-11-23,163.6562,643.0000,25.45,0,268.6,268.6,173.6004,1411.94,2443.75,-,-,-,C,-0.15,94.27,[]
Italy,IT,IT,2026-05-28 13:38:19,2015-11-21,2015-11-22,163.9248,643.0000,25.49,0,73.1,73.1,173.6004,1411.94,2443.75,-,-,-,C,-0.04,94.43,[]
Italy,IT,IT,2026-05-28 13:38:16,2015-11-20,2015-11-21,163.998,643.0000,25.51,0,255,255,173.6004,1411.94,2443.75,-,-,-,C,-0.15,94.47,[]
Italy,IT,IT,2026-05-28 13:38:14,2015-11-19,2015-11-20,164.253,643.0000,25.54,0,307.6,307.6,173.6004,1411.94,2443.75,-,-,-,C,-0.18,94.62,[]
