year,region,type,demand_GWh
2016,Lombardia,Fonti tradizionali,24378.428
2016,Lombardia,Saldo import/export,25926.244
2016,Lombardia,Fonti rinnovabili,6143.766868242
2016,Marche,Fonti tradizionali,331.1594
2016,Marche,Saldo import/export,5099.6416
2016,Marche,Fonti rinnovabili,1371.197300493
2016,Molise,Saldo import/export,-853.92
2016,Molise,Fonti rinnovabili,1050.33933269
2016,Molise,Fonti tradizionali,1008.49493
2016,Piemonte,Fonti tradizionali,14464.822
2016,Piemonte,Fonti rinnovabili,3433.108550883
2016,Piemonte,Saldo import/export,916.8786
2016,Puglia,Saldo import/export,-14879.478
2016,Puglia,Fonti rinnovabili,9936.0115866772
2016,Puglia,Fonti tradizionali,23786.162
2016,Sardegna,Fonti rinnovabili,3291.461814195
2016,Sardegna,Fonti tradizionali,7898.37
2016,Sardegna,Saldo import/export,-2816.1338
2016,Sicilia,Fonti tradizionali,14425.876
2016,Sicilia,Saldo import/export,-814.5473
2016,Sicilia,Fonti rinnovabili,4942.387385435
2016,Toscana,Fonti rinnovabili,7460.656775801
2016,Toscana,Fonti tradizionali,8494.856
2016,Toscana,Saldo import/export,3517.6438
2016,Trentino-Alto Adige,Saldo import/export,-3825.1055
2016,Trentino-Alto Adige,Fonti rinnovabili,788.8640006
2016,Trentino-Alto Adige,Fonti tradizionali,1075.3318
2016,Umbria,Saldo import/export,2948.3516
2016,Umbria,Fonti rinnovabili,744.89972416
2016,Umbria,Fonti tradizionali,370.7196
2016,Valle d'Aosta,Saldo import/export,-1953.2026
2016,Valle d'Aosta,Fonti tradizionali,13.678574
2016,Valle d'Aosta,Fonti rinnovabili,41.982348
2016,Veneto,Fonti tradizionali,9594.896
2016,Veneto,Fonti rinnovabili,3747.649972097
2016,Veneto,Saldo import/export,13943.54
2017,Abruzzo,Fonti rinnovabili,1434.79727418
2017,Abruzzo,Saldo import/export,1564.2667
2017,Abruzzo,Fonti tradizionali,1968.188
2017,Basilicata,Saldo import/export,-98.80386
2017,Basilicata,Fonti rinnovabili,2621.24247233
2017,Basilicata,Fonti tradizionali,383.01825
2017,Calabria,Saldo import/export,-11529.647
