DATAFLOW,LAST UPDATE,freq,indic_is,unit,hhtyp,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,ALL_DCH,IT,2019,71.71,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,ALL_DCH,IT,2020,71.61,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,ALL_DCH,IT,2021,77.71,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,ALL_NDCH,IT,2010,36.3,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,ALL_NDCH,IT,2011,35.17,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,ALL_NDCH,IT,2012,38.09,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,ALL_NDCH,IT,2013,46.04,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,ALL_NDCH,IT,2014,47.48,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,ALL_NDCH,IT,2015,48.64,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,ALL_NDCH,IT,2016,51.51,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,ALL_NDCH,IT,2017,52.92,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,ALL_NDCH,IT,2018,56.5,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,ALL_NDCH,IT,2019,57.07,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,ALL_NDCH,IT,2020,57.16,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,ALL_NDCH,IT,2021,61.7,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,A_GE3,IT,2010,54.96,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,A_GE3,IT,2011,51.91,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,A_GE3,IT,2012,57.68,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,A_GE3,IT,2013,68.49,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,A_GE3,IT,2014,68.6,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,A_GE3,IT,2015,70.61,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,A_GE3,IT,2016,72.68,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,A_GE3,IT,2017,72.85,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,A_GE3,IT,2018,75.5,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,A_GE3,IT,2019,75.81,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,A_GE3,IT,2020,74.67,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,A_GE3,IT,2021,77.88,,
