time,time_label,geo,geo_label,mot_nrg,mot_nrg_label,unit,unit_label,freq,freq_label,OBS_VALUE
2013,2013,IT,Italy,ALT,Alternative energy,NR,Number,A,Annual,2769000
2014,2014,IT,Italy,ALT,Alternative energy,NR,Number,A,Annual,2885597
2015,2015,IT,Italy,ALT,Alternative energy,NR,Number,A,Annual,3031171
2016,2016,IT,Italy,ALT,Alternative energy,NR,Number,A,Annual,3134643
2017,2017,IT,Italy,ALT,Alternative energy,NR,Number,A,Annual,3249530
2018,2018,IT,Italy,ALT,Alternative energy,NR,Number,A,Annual,3373396
2019,2019,IT,Italy,ALT,Alternative energy,NR,Number,A,Annual,3568550
2020,2020,IT,Italy,ALT,Alternative energy,NR,Number,A,Annual,3716808
2021,2021,IT,Italy,ALT,Alternative energy,NR,Number,A,Annual,3891296
2022,2022,IT,Italy,ALT,Alternative energy,NR,Number,A,Annual,4036762
2023,2023,IT,Italy,ALT,Alternative energy,NR,Number,A,Annual,4209098
2024,2024,IT,Italy,ALT,Alternative energy,NR,Number,A,Annual,4365090
2013,2013,IT,Italy,DIE,Diesel,NR,Number,A,Annual,14932000
2014,2014,IT,Italy,DIE,Diesel,NR,Number,A,Annual,15240069
2015,2015,IT,Italy,DIE,Diesel,NR,Number,A,Annual,15669276
2016,2016,IT,Italy,DIE,Diesel,NR,Number,A,Annual,16263957
2017,2017,IT,Italy,DIE,Diesel,NR,Number,A,Annual,16900141
2018,2018,IT,Italy,DIE,Diesel,NR,Number,A,Annual,17321593
2019,2019,IT,Italy,DIE,Diesel,NR,Number,A,Annual,17486135
2020,2020,IT,Italy,DIE,Diesel,NR,Number,A,Annual,17426703
2021,2021,IT,Italy,DIE,Diesel,NR,Number,A,Annual,17197765
2022,2022,IT,Italy,DIE,Diesel,NR,Number,A,Annual,17100357
2023,2023,IT,Italy,DIE,Diesel,NR,Number,A,Annual,17039273
2024,2024,IT,Italy,DIE,Diesel,NR,Number,A,Annual,16796038
2013,2013,IT,Italy,DIE_X_HYB,Diesel (excluding hybrids)  ,NR,Number,A,Annual,14930
2014,2014,IT,Italy,DIE_X_HYB,Diesel (excluding hybrids)  ,NR,Number,A,Annual,15237608
2015,2015,IT,Italy,DIE_X_HYB,Diesel (excluding hybrids)  ,NR,Number,A,Annual,15666309
2016,2016,IT,Italy,DIE_X_HYB,Diesel (excluding hybrids)  ,NR,Number,A,Annual,16260625
2017,2017,IT,Italy,DIE_X_HYB,Diesel (excluding hybrids)  ,NR,Number,A,Annual,16896736
2018,2018,IT,Italy,DIE_X_HYB,Diesel (excluding hybrids)  ,NR,Number,A,Annual,17316888
2019,2019,IT,Italy,DIE_X_HYB,Diesel (excluding hybrids)  ,NR,Number,A,Annual,17467776
2020,2020,IT,Italy,DIE_X_HYB,Diesel (excluding hybrids)  ,NR,Number,A,Annual,17385843
2021,2021,IT,Italy,DIE_X_HYB,Diesel (excluding hybrids)  ,NR,Number,A,Annual,17093277
2022,2022,IT,Italy,DIE_X_HYB,Diesel (excluding hybrids)  ,NR,Number,A,Annual,16928077
2023,2023,IT,Italy,DIE_X_HYB,Diesel (excluding hybrids)  ,NR,Number,A,Annual,16777000
2024,2024,IT,Italy,DIE_X_HYB,Diesel (excluding hybrids)  ,NR,Number,A,Annual,16437562
2013,2013,IT,Italy,ELC,Electricity,NR,Number,A,Annual,4500
2014,2014,IT,Italy,ELC,Electricity,NR,Number,A,Annual,3430
2015,2015,IT,Italy,ELC,Electricity,NR,Number,A,Annual,4584
2016,2016,IT,Italy,ELC,Electricity,NR,Number,A,Annual,5743
2017,2017,IT,Italy,ELC,Electricity,NR,Number,A,Annual,7560
