DATAFLOW,LAST UPDATE,freq,tra_infr,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,AL,2013,0,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,AL,2014,0,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,AL,2015,0,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,AL,2016,0,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,AL,2017,0,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,AL,2018,0,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,AL,2019,0,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,AL,2020,21.600,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,AL,2021,24.700,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,AL,2022,24.700,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,AL,2023,24.700,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,AL,2024,49,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,AT,2013,1719,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,AT,2014,1719,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,AT,2015,1719,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,AT,2016,1719,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,AT,2017,1719,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,AT,2018,1743,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,AT,2019,1743,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,AT,2020,1749,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,AT,2021,1749,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,AT,2022,1749,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,AT,2023,1749,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,AT,2024,1749,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,BA,2013,50,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,BA,2014,127,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,BA,2015,127,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,BA,2016,163,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,BA,2017,172,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,BA,2018,198,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,BA,2019,198,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,BA,2020,218,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,BA,2021,218,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,BA,2022,231,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,BA,2023,231,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,BA,2024,242,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,BE,2013,1763,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,BE,2014,1763,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,BE,2015,1763,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,BE,2016,1763,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,BE,2017,1763,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,BE,2018,1763,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,BE,2019,1763,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,BE,2020,1763,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,BE,2021,1763,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,BE,2022,1763,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,BE,2023,1763,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,BE,2024,1763,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,BG,2013,605,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,BG,2014,610,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,BG,2015,734,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,BG,2016,734,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,BG,2017,734,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,BG,2018,757,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,BG,2019,790,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,BG,2020,806,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,BG,2021,806,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,BG,2022,825,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,BG,2023,840,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,BG,2024,845,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,CH,2013,1419,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,CH,2014,1429,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,CH,2015,1440,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,CH,2016,1447,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,CH,2017,1458,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,CH,2018,1462,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,CH,2020,1544,b,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,CH,2021,1544,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,CH,2022,1544,,
