DATAFLOW,LAST UPDATE,freq,tra_type,tra_oper,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_VKM,IT,2011,893.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_VKM,IT,2012,742.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_VKM,IT,2013,939.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_VKM,IT,2014,964.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_VKM,IT,2015,752.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_VKM,IT,2016,772.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_VKM,IT,2017,793.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_VKM,IT,2018,808.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_VKM,IT,2019,905.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_VKM,IT,2020,865.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_VKM,IT,2021,961.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_VKM,IT,2022,1105.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_VKM,IT,2023,975.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_VKM,IT,2024,1005.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,THS_T,IT,1999,26048.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,THS_T,IT,2000,27608.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,THS_T,IT,2001,32882.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,THS_T,IT,2002,35356.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,THS_T,IT,2003,33830.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,THS_T,IT,2004,44193.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,THS_T,IT,2005,46494.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,THS_T,IT,2006,36840.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,THS_T,IT,2007,35026.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,THS_T,IT,2008,36904.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,THS_T,IT,2009,32026.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,THS_T,IT,2010,38034.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,THS_T,IT,2011,23964.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,THS_T,IT,2012,21627.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,THS_T,IT,2013,24161.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,THS_T,IT,2014,24538.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,THS_T,IT,2015,21075.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,THS_T,IT,2016,19292.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,THS_T,IT,2017,20498.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,THS_T,IT,2018,22539.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,THS_T,IT,2019,24406.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,THS_T,IT,2020,24038.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,THS_T,IT,2021,27527.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,THS_T,IT,2022,30430.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,THS_T,IT,2023,26265.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,THS_T,IT,2024,25694.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_TKM,IT,1999,336.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_TKM,IT,2000,269.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_TKM,IT,2001,569.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_TKM,IT,2002,669.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_TKM,IT,2003,541.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_TKM,IT,2004,838.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_TKM,IT,2005,1095.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_TKM,IT,2006,1021.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_TKM,IT,2007,937.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_TKM,IT,2008,1027.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_TKM,IT,2009,660.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_TKM,IT,2010,533.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_TKM,IT,2011,410.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_TKM,IT,2012,359.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_TKM,IT,2013,334.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_TKM,IT,2014,451.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_TKM,IT,2015,403.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_TKM,IT,2016,501.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_TKM,IT,2017,456.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_TKM,IT,2018,594.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_TKM,IT,2019,514.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_TKM,IT,2020,662.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_TKM,IT,2021,673.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_TKM,IT,2022,824.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_TKM,IT,2023,801.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_TKM,IT,2024,816.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_VKM,IT,1999,16.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_VKM,IT,2000,19.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_VKM,IT,2001,32.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_VKM,IT,2002,36.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_VKM,IT,2003,31.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_VKM,IT,2004,50.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_VKM,IT,2005,65.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_VKM,IT,2006,69.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_VKM,IT,2007,55.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_VKM,IT,2008,69.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_VKM,IT,2009,39.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_VKM,IT,2010,35.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_VKM,IT,2011,27.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_VKM,IT,2012,23.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_VKM,IT,2013,21.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_VKM,IT,2014,27.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_VKM,IT,2015,23.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_VKM,IT,2016,33.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_VKM,IT,2017,31.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_VKM,IT,2018,35.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_VKM,IT,2019,32.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_VKM,IT,2020,39.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_VKM,IT,2021,45.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_VKM,IT,2022,46.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_VKM,IT,2023,46.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,MIO_VKM,IT,2024,52.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,THS_T,IT,1999,761.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,THS_T,IT,2000,627.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,THS_T,IT,2001,1153.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,THS_T,IT,2002,1666.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,THS_T,IT,2003,1577.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,THS_T,IT,2004,3108.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,THS_T,IT,2005,3438.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,THS_T,IT,2006,2353.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,THS_T,IT,2007,2957.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,THS_T,IT,2008,3071.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,THS_T,IT,2009,2363.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,THS_T,IT,2010,1884.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,THS_T,IT,2011,1113.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,THS_T,IT,2012,1172.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,THS_T,IT,2013,1070.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,THS_T,IT,2014,1738.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,THS_T,IT,2015,1403.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,THS_T,IT,2016,1958.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,THS_T,IT,2017,1500.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,THS_T,IT,2018,2382.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,THS_T,IT,2019,1541.0,,
