DATAFLOW,LAST UPDATE,freq,regisveh,unit,vehicle,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,EE,2023,244.800,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,EE,2024,257.900,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,ES,2013,2250,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,ES,2014,1715,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,ES,2015,2023,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,ES,2016,2030,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,ES,2017,1292,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,ES,2018,1334,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,ES,2019,1369,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,ES,2020,903,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,ES,2021,1157.230,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,ES,2022,1328,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,ES,2023,1514,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,ES,2024,1627,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,FI,2013,580,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,FI,2014,580,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,FI,2015,580,,
