time,time_label,geo,geo_label,unit,unit_label,siec,siec_label,nrg_bal,nrg_bal_label,freq,freq_label,OBS_VALUE
2017,2017,IT,Italy,TJ,Terajoule,G3000,Natural gas,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,722667.264
2018,2018,IT,Italy,TJ,Terajoule,G3000,Natural gas,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,690796.485
2019,2019,IT,Italy,TJ,Terajoule,G3000,Natural gas,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,675190.385
2020,2020,IT,Italy,TJ,Terajoule,G3000,Natural gas,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,667065.957
2021,2021,IT,Italy,TJ,Terajoule,G3000,Natural gas,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,728722.738
2022,2022,IT,Italy,TJ,Terajoule,G3000,Natural gas,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,626934.757
2023,2023,IT,Italy,TJ,Terajoule,G3000,Natural gas,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,539367.152
2024,2024,IT,Italy,TJ,Terajoule,G3000,Natural gas,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,552090.506
2010,2010,IT,Italy,TJ_GCV,Terajoule (gross calorific value - GCV),G3000,Natural gas,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,0.0
2011,2011,IT,Italy,TJ_GCV,Terajoule (gross calorific value - GCV),G3000,Natural gas,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,0.0
2012,2012,IT,Italy,TJ_GCV,Terajoule (gross calorific value - GCV),G3000,Natural gas,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,0.0
2013,2013,IT,Italy,TJ_GCV,Terajoule (gross calorific value - GCV),G3000,Natural gas,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,0.0
2014,2014,IT,Italy,TJ_GCV,Terajoule (gross calorific value - GCV),G3000,Natural gas,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,0.0
2015,2015,IT,Italy,TJ_GCV,Terajoule (gross calorific value - GCV),G3000,Natural gas,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,790168.0
2016,2016,IT,Italy,TJ_GCV,Terajoule (gross calorific value - GCV),G3000,Natural gas,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,795374.0
2017,2017,IT,Italy,TJ_GCV,Terajoule (gross calorific value - GCV),G3000,Natural gas,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,802963.627
2018,2018,IT,Italy,TJ_GCV,Terajoule (gross calorific value - GCV),G3000,Natural gas,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,767551.65
2019,2019,IT,Italy,TJ_GCV,Terajoule (gross calorific value - GCV),G3000,Natural gas,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,750211.539
2020,2020,IT,Italy,TJ_GCV,Terajoule (gross calorific value - GCV),G3000,Natural gas,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,741184.397
2021,2021,IT,Italy,TJ_GCV,Terajoule (gross calorific value - GCV),G3000,Natural gas,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,809691.931
2022,2022,IT,Italy,TJ_GCV,Terajoule (gross calorific value - GCV),G3000,Natural gas,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,696594.174
2023,2023,IT,Italy,TJ_GCV,Terajoule (gross calorific value - GCV),G3000,Natural gas,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,599296.835
