year,value
2025,58915656
2024,58952704
2023,58984216
2022,59013667
2021,59133173
2020,59438851
2019,59729081
2018,59877221
2017,60002252
2016,60115223
2015,60229605
2014,60320707
2013,60311613
2012,60191247
2011,60026841
2010,59819407
2009,59555454
2008,59211181
2007,58756247
2006,58399861
2005,58166682
2004,57828179
2003,57399184
2002,57089824
2001,56976981
2000,56942108
1999,56916317
1998,56906744
1997,56890372
1996,56860281
1995,56844303
1994,56843400
1993,56831821
1992,56797087
1991,56758521
1990,56719240
1989,56671781
1988,56629288
1987,56601931
1986,56596155
1985,56593071
1984,56576718
1983,56564074
1982,56543548
1981,56501675
1980,56433883
1979,56317749
1978,56155143
1977,55955411
1976,55718260
1975,55441001
1974,55110868
1973,54751406
1972,54381345
1971,54073490
1970,53821850
1969,53537950
1968,53235750
1967,52900500
1966,52519000
1965,52112350
1964,51675350
1963,51252000
1962,50879450
1961,50536350
1960,50199700
