year,value
2025,69.680861801678
2024,69.6047535143071
2023,69.5381540123301
2022,69.4839779766539
2021,69.4812507629394
2020,69.5187492370606
2019,69.5050010681153
2018,69.4800033569336
2017,69.5180784259382
2016,69.5969232525286
2015,69.6100006103516
2014,69.5807638614879
2013,69.3073989916076
2012,68.7608794235259
2011,68.4015073889511
2010,68.2163741829857
2009,68.0494239486665
2008,67.9071958431441
2007,67.7857771296669
2006,67.6812550714834
2005,67.5897169318419
2004,67.5072499739908
2003,67.4299414611787
2002,67.3538786566538
2001,67.27519882288
2000,67.1932283786243
1999,67.1102142532851
1998,67.0286199053679
1997,66.950870776995
1996,66.8793923102889
1995,66.8166099473719
1994,66.7649491303665
1993,66.7268353013949
1992,66.7046939025797
1991,66.7007288477386
1990,66.709368079219
1989,66.7270715012812
1988,66.7512501282587
1987,66.779494034266
1986,66.8093932934176
1985,66.838537979828
1984,66.8645181676116
1983,66.8849239308828
1982,66.8973453437563
1981,66.8957067261538
1980,66.8477133126008
1979,66.7446863920592
1978,66.5946562318235
1977,66.4045486314727
1976,66.1812893905852
1975,65.93180430874
1974,65.6630191855156
1973,65.3818598204908
1972,65.0952520132444
1971,64.8011235401742
1970,64.4584859539895
1969,64.0449439615316
1968,63.5773058850175
1967,63.0678165484433
1966,62.5287207758048
1965,61.9722633910981
1964,61.4106892183191
1963,60.8562430814637
1962,60.3211698045279
1961,59.8108936598119
1960,59.2893774438496
