year,value
2025,43308.6403060733
2024,40429.6224047352
2023,39279.699782164
2022,35653.9042103495
2021,36852.5425414951
2020,32091.4866621366
2019,33812.788724868
2018,35062.3364176949
2017,32844.115660604
2016,31391.5692898108
2015,30639.8829751432
2014,36028.3494022349
2013,35701.6746002376
2012,34854.3949441965
2011,38432.3742820019
2010,35856.8625485539
2009,37099.6133958219
2008,40828.5795580937
2007,37826.1754554823
2006,33537.1286994269
2005,32062.723833669
2004,31348.1901841445
2003,27577.5700319855
2002,22451.3964379368
2001,20570.4385917862
2000,20190.0035636084
1999,22049.9990620261
1998,22365.1837644545
1997,21883.9872666651
1996,23122.9337219116
1995,20712.1798690324
1994,19382.2002150155
1993,18781.9529427137
1992,23297.0460325456
1991,22007.1350964074
1990,20873.7834092719
1989,16424.4301587005
1988,15780.9495122174
1987,14267.5368168757
1986,11341.0939892903
1985,8009.10347642127
1984,7757.55374836822
1983,7850.62789042275
1982,7573.93967597775
1981,7640.40241250516
1980,8476.41045000836
1979,7006.39699054556
1978,5623.42917622719
1977,4614.21004931651
1976,4042.39482463789
1975,4116.45964933054
1974,3629.49182319594
1973,3212.63949627574
1972,2677.29372999774
1971,2310.92376058816
1970,2111.71986404332
1969,1886.45002730465
1968,1718.49646427147
1967,1595.48578129215
1966,1458.94713889011
1965,1357.0106162201
1964,1271.80119301518
1963,1171.3869628098
1962,1030.15800343763
1961,923.08778375214
1960,836.905850281885
