dataset,source_csv,has_italy,rows,country_col,status,out
20th century deaths in US - CDC,20th century deaths in US - CDC.csv,False,0,Entity,ok,
A Century of Work and Leisure - Ramey and Francis (2009),A Century of Work and Leisure - Ramey and Francis (2009).csv,False,0,Entity,ok,
Absolute deaths from ambient PM2.5 air pollution- State of Global Air,Absolute deaths from ambient PM2.5 air pollution- State of Global Air.csv,True,6,Entity,ok,sources/owid-datasets/italy/Absolute_deaths_from_ambient_PM2_5_air_pollution-_State_of_Global_Air_6dd40b16.csv
Absolute population change - OWID based on HYDE & UN,Absolute population change - OWID based on HYDE & UN.csv,False,0,Entity,ok,
Access to financial account or services (%) - World Bank (2014),Access to financial account or services (%) - World Bank (2014).csv,False,0,,read_fail: No columns to parse from file,
Adult literacy proficiency - World Bank EdStats and STEP Skills Measurement Program,Adult literacy proficiency - World Bank EdStats and STEP Skills Measurement Program.csv,True,1,Entity,ok,sources/owid-datasets/italy/Adult_literacy_proficiency_-_World_Bank_EdStats_and_STEP_Skills_Measurement_Program_b87d44cf.csv
Adult obesity by region - FAO (2017),Adult obesity by region - FAO (2017).csv,False,0,Entity,ok,
"Agricultural policy support - (Agrimonitor, 2017)","Agricultural policy support - (Agrimonitor, 2017).csv",False,0,Entity,ok,
Agricultural total factor productivity (USDA),Agricultural total factor productivity (USDA).csv,True,59,Entity,ok,sources/owid-datasets/italy/Agricultural_total_factor_productivity_USDA_13d513ed.csv
Air Pollutant Emissions - OECD,Air Pollutant Emissions - OECD.csv,True,26,Entity,ok,sources/owid-datasets/italy/Air_Pollutant_Emissions_-_OECD_f00a2fb7.csv
Air pollution by city - Fouquet and DPCC (2011),Air pollution by city - Fouquet and DPCC (2011).csv,False,0,Entity,ok,
"Air pollution emissions by fuel (CEDS, 2022)","Air pollution emissions by fuel (CEDS, 2022).csv",True,270,Entity,ok,sources/owid-datasets/italy/Air_pollution_emissions_by_fuel_CEDS_2022_c999eb07.csv
"Air pollution emissions by fuel per capita (CEDS, 2022)","Air pollution emissions by fuel per capita (CEDS, 2022).csv",True,225,Entity,ok,sources/owid-datasets/italy/Air_pollution_emissions_by_fuel_per_capita_CEDS_2022_d41fb5f4.csv
Air pollution sources in the UK - DEFRA,Air pollution sources in the UK - DEFRA.csv,False,0,Entity,ok,
"Air travel trips per capita (Airbus, 2019)","Air travel trips per capita (Airbus, 2019).csv",True,2,Entity,ok,sources/owid-datasets/italy/Air_travel_trips_per_capita_Airbus_2019_594374a4.csv
Airline hijacking - Aviation Safety Network,Airline hijacking - Aviation Safety Network.csv,False,0,Entity,ok,
"Alcohol consumption by type since 1890 (Alexander & Holmes, 2017)","Alcohol consumption by type since 1890 (Alexander & Holmes, 2017).csv",True,5,Entity,ok,sources/owid-datasets/italy/Alcohol_consumption_by_type_since_1890_Alexander_Holmes_2017_755aefce.csv
Alcohol consumption in USA since 1850 — NIAAA,Alcohol consumption in USA since 1850 — NIAAA.csv,False,0,Entity,ok,
"Alcohol consumption since 1890 (Alexander & Holmes, 2017)","Alcohol consumption since 1890 (Alexander & Holmes, 2017).csv",True,8,Entity,ok,sources/owid-datasets/italy/Alcohol_consumption_since_1890_Alexander_Holmes_2017_ea6c4f1a.csv
"Alcohol expenditure in the USA long-term (USDA, 2018)","Alcohol expenditure in the USA long-term (USDA, 2018).csv",False,0,Entity,ok,
"Annual share of CO2 emissions (OWID based on GCP, 2017)","Annual share of CO2 emissions (OWID based on GCP, 2017).csv",True,266,Entity,ok,sources/owid-datasets/italy/Annual_share_of_CO2_emissions_OWID_based_on_GCP_2017_d384ce02.csv
Annual world population growth rate - OWID,Annual world population growth rate - OWID.csv,False,0,Entity,ok,
Antibiotic use in livestock - European Commission & Van Boeckel et al.,Antibiotic use in livestock - European Commission & Van Boeckel et al..csv,True,6,Entity,ok,sources/owid-datasets/italy/Antibiotic_use_in_livestock_-_European_Commission_Van_Boeckel_et_al_b5bb9f42.csv
Antibiotic use in livestock 2030 - Boeckel et al. (2017),Antibiotic use in livestock 2030 - Boeckel et al. (2017).csv,False,0,Entity,ok,
"Arable land per crop output (PIN) (FAO, 2019)","Arable land per crop output (PIN) (FAO, 2019).csv",True,54,Entity,ok,sources/owid-datasets/italy/Arable_land_per_crop_output_PIN_FAO_2019_ba4b8e98.csv
Archaeological land use (Stephens et al. 2019),Archaeological land use (Stephens et al. 2019).csv,False,0,Entity,ok,
Armed forces personnel as a share of the total population (OWID based on World Bank),Armed forces personnel as a share of the total population (OWID based on World Bank).csv,True,57,Entity,ok,sources/owid-datasets/italy/Armed_forces_personnel_as_a_share_of_the_total_population_OWID_based_on_World_Bank_42538f4e.csv
Attainable yields (Mueller et al. 2012),Attainable yields (Mueller et al. 2012).csv,True,58,Entity,ok,sources/owid-datasets/italy/Attainable_yields_Mueller_et_al_2012_27bf17c7.csv
Attitudes to Vaccines - Wellcome Trust (2019),Attitudes to Vaccines - Wellcome Trust (2019).csv,True,1,Entity,ok,sources/owid-datasets/italy/Attitudes_to_Vaccines_-_Wellcome_Trust_2019_e35f7c5b.csv
"Average harmonised learning outcome score (2005-2015) - Altinok, Angrist, and Patrinos (2018)","Average harmonised learning outcome score (2005-2015) - Altinok, Angrist, and Patrinos (2018).csv",True,1,Entity,ok,sources/owid-datasets/italy/Average_harmonised_learning_outcome_score_2005-2015_-_Altinok_Angrist_and_Patrinos_2018_c017d50c.csv
"Aviation accidents and fatalities by flight phase (ASN, 2019)","Aviation accidents and fatalities by flight phase (ASN, 2019).csv",False,0,Entity,ok,
Aviation passenger kilometres and CO2 emissions (ICCT),Aviation passenger kilometres and CO2 emissions (ICCT).csv,True,1,Entity,ok,sources/owid-datasets/italy/Aviation_passenger_kilometres_and_CO2_emissions_ICCT_a1f67b69.csv
Basic reading and maths skills - World Development Report (2018),Basic reading and maths skills - World Development Report (2018).csv,False,0,Entity,ok,
Biodiversity habitat loss (Williams et al. 2021),Biodiversity habitat loss (Williams et al. 2021).csv,True,1,Entity,ok,sources/owid-datasets/italy/Biodiversity_habitat_loss_Williams_et_al_2021_d8167468.csv
"Biological and chemical weapons proliferation – OWID based on Arms Control Association (2022), Nucle","Biological and chemical weapons proliferation – OWID based on Arms Control Association (2022), Nucle.csv",True,1,Entity,ok,sources/owid-datasets/italy/Biological_and_chemical_weapons_proliferation_OWID_based_on_Arms_Control_Association_2022_Nucle_6524d1bc.csv
Biomass and taxa abundance (Bar-On et al. 2018),Biomass and taxa abundance (Bar-On et al. 2018).csv,False,0,Entity,ok,
Births outside of marriage,Births outside of marriage.csv,True,54,Entity,ok,sources/owid-datasets/italy/Births_outside_of_marriage_a3898191.csv
Books - Buringh and Van Zanden (2009),Books - Buringh and Van Zanden (2009).csv,True,17,Entity,ok,sources/owid-datasets/italy/Books_-_Buringh_and_Van_Zanden_2009_be8f5980.csv
Bourguignon and Morrison (2002) and World Bank (PovcalNet) (2015),Bourguignon and Morrison (2002) and World Bank (PovcalNet) (2015).csv,False,0,Entity,ok,
"CFC-11 expected and measured concentrations (Montzka et al., 2018)","CFC-11 expected and measured concentrations (Montzka et al., 2018).csv",False,0,,read_fail: No columns to parse from file,
"CFC-11 expected and measured rate of change (Montzka et al., 2018)","CFC-11 expected and measured rate of change (Montzka et al., 2018).csv",False,0,,read_fail: No columns to parse from file,
CO2 Footprint Breakdown Per Capita - Goodall (2011),CO2 Footprint Breakdown Per Capita - Goodall (2011).csv,False,0,Entity,ok,
CO2 emission factors - IPCC (2006),CO2 emission factors - IPCC (2006).csv,False,0,,read_fail: No columns to parse from file,
CO2 emissions by city - C40 Cities (2018),CO2 emissions by city - C40 Cities (2018).csv,False,0,Entity,ok,
"CO2 emissions by sector (CAIT, 2020)","CO2 emissions by sector (CAIT, 2020).csv",True,27,Entity,ok,sources/owid-datasets/italy/CO2_emissions_by_sector_CAIT_2020_af62b0e3.csv
"CO2 emissions by sector (CAIT, 2021)","CO2 emissions by sector (CAIT, 2021).csv",True,29,Entity,ok,sources/owid-datasets/italy/CO2_emissions_by_sector_CAIT_2021_78c5a7ed.csv
CO2 emissions by source - CDIAC (2016),CO2 emissions by source - CDIAC (2016).csv,True,154,Entity,ok,sources/owid-datasets/italy/CO2_emissions_by_source_-_CDIAC_2016_847116d3.csv
CO2 emissions in trade as % production - Global Carbon Project (2014),CO2 emissions in trade as % production - Global Carbon Project (2014).csv,True,25,Entity,ok,sources/owid-datasets/italy/CO2_emissions_in_trade_as_production_-_Global_Carbon_Project_2014_b64f500e.csv
CO2 from cement - CDIAC (2017),CO2 from cement - CDIAC (2017).csv,False,0,Entity,ok,
CO2 from flaring - CDIAC (2017),CO2 from flaring - CDIAC (2017).csv,False,0,Entity,ok,
CO2 from gas - CDIAC (2017),CO2 from gas - CDIAC (2017).csv,False,0,Entity,ok,
CO2 from liquid - CDIAC (2017),CO2 from liquid - CDIAC (2017).csv,False,0,Entity,ok,
CO2 from solid fuel - CDIAC (2017),CO2 from solid fuel - CDIAC (2017).csv,False,0,Entity,ok,
CO2 intensity of transport by mode (UK BEIS),CO2 intensity of transport by mode (UK BEIS).csv,False,0,Entity,ok,
"CO2 mitigation curves for 1.5C (Andrews & GCP, 2019)","CO2 mitigation curves for 1.5C (Andrews & GCP, 2019).csv",False,0,Entity,ok,
"CO2 mitigation curves for 2C (Andrews & GCP, 2019)","CO2 mitigation curves for 2C (Andrews & GCP, 2019).csv",False,0,Entity,ok,
CO2 per year by region - CDIAC (2017),CO2 per year by region - CDIAC (2017).csv,False,0,Entity,ok,
CO2-GDP Coupling - OWID based on World Bank,CO2-GDP Coupling - OWID based on World Bank.csv,True,26,Entity,ok,sources/owid-datasets/italy/CO2-GDP_Coupling_-_OWID_based_on_World_Bank_0597e298.csv
COVID Government Response (OxBSG),COVID Government Response (OxBSG).csv,True,654,Entity,ok,sources/owid-datasets/italy/COVID_Government_Response_OxBSG_f6289b8a.csv
COVID testing time series data,COVID testing time series data.csv,True,375,Entity,ok,sources/owid-datasets/italy/COVID_testing_time_series_data_8e4b8f60.csv
COVID-2019 - ECDC (2020),COVID-2019 - ECDC (2020).csv,True,303,Entity,ok,sources/owid-datasets/italy/COVID-2019_-_ECDC_2020_a7896f92.csv
COVID-2019 - Hospital & ICU,COVID-2019 - Hospital & ICU.csv,True,673,Entity,ok,sources/owid-datasets/italy/COVID-2019_-_Hospital_ICU_417f4de3.csv
"Calories lost by food group and region (WRI, 2013)","Calories lost by food group and region (WRI, 2013).csv",False,0,Entity,ok,
Cancer death rates in the US over the long-term - American Cancer Society,Cancer death rates in the US over the long-term - American Cancer Society.csv,False,0,Entity,ok,
Cancer deaths grouped - OWID based on IHME,Cancer deaths grouped - OWID based on IHME.csv,True,27,Entity,ok,sources/owid-datasets/italy/Cancer_deaths_grouped_-_OWID_based_on_IHME_5691260d.csv
Capital city population - UN Urbanization Prospects (2018),Capital city population - UN Urbanization Prospects (2018).csv,True,1,Entity,ok,sources/owid-datasets/italy/Capital_city_population_-_UN_Urbanization_Prospects_2018_f4becd91.csv
"Carbon intensity (kgCO2!$) - Madisson, World Bank, CDIAC","Carbon intensity (kgCO2!$) - Madisson, World Bank, CDIAC.csv",False,0,Entity,ok,
Causes of child mortality – IHME Global Burden of Disease study (2017),Causes of child mortality – IHME Global Burden of Disease study (2017).csv,False,0,Entity,ok,
Causes of death vs. media coverage (Shen et al. 2018),Causes of death vs. media coverage (Shen et al. 2018).csv,False,0,Entity,ok,
Causes of death vs. media coverage - Shen,Causes of death vs. media coverage - Shen.csv,False,0,Entity,ok,
"Causes of infant death in boys and girls (IHME, 2018)","Causes of infant death in boys and girls (IHME, 2018).csv",False,0,Entity,ok,
"Cereal allocation to food, feed, fuel (OWID based on FAO)","Cereal allocation to food, feed, fuel (OWID based on FAO).csv",True,57,Entity,ok,sources/owid-datasets/italy/Cereal_allocation_to_food_feed_fuel_OWID_based_on_FAO_23e9a4a1.csv
Cereal yield index - (World Bank (2017) & OWID),Cereal yield index - (World Bank (2017) & OWID).csv,True,54,Entity,ok,sources/owid-datasets/italy/Cereal_yield_index_-_World_Bank_2017_OWID_4c56b7c5.csv
"Change in Global Hunger Index, 1992-2017 (listed 2017) (Global Hunger Index 2017)","Change in Global Hunger Index, 1992-2017 (listed 2017) (Global Hunger Index 2017).csv",False,0,Entity,ok,
"Chartbook of Economic Inequality, Gini (2016)","Chartbook of Economic Inequality, Gini (2016).csv",True,36,Entity,ok,sources/owid-datasets/italy/Chartbook_of_Economic_Inequality_Gini_2016_8159e270.csv
Child Labor (World 1950-1995) - Basu (1999),Child Labor (World 1950-1995) - Basu (1999).csv,False,0,Entity,ok,
Child Labor (World ILO) - ILO (2017),Child Labor (World ILO) - ILO (2017).csv,False,0,Entity,ok,
"Child Labor Italy (historic) - Toniolo, G., & Vecchi, G. (2007)","Child Labor Italy (historic) - Toniolo, G., & Vecchi, G. (2007).csv",True,8,Entity,ok,sources/owid-datasets/italy/Child_Labor_Italy_historic_-_Toniolo_G_Vecchi_G_2007_b2818043.csv
"Child Labor UK (historic) - Cunningham, H. and Viazzo, P.P. (1996)","Child Labor UK (historic) - Cunningham, H. and Viazzo, P.P. (1996).csv",False,0,Entity,ok,
Child Labor in US - Economic History Association (2017),Child Labor in US - Economic History Association (2017).csv,False,0,Entity,ok,
Child Labor in US - Long (1958),Child Labor in US - Long (1958).csv,False,0,Entity,ok,
Child Marriage – UNICEF (2017),Child Marriage – UNICEF (2017).csv,False,0,,read_fail: No columns to parse from file,
Child Mortality Estimates - CME Info (2018),Child Mortality Estimates - CME Info (2018).csv,True,68,Entity,ok,sources/owid-datasets/italy/Child_Mortality_Estimates_-_CME_Info_2018_5d02bcca.csv
"Child Mortality Rates (Complete Gapminder, v10) (2017)","Child Mortality Rates (Complete Gapminder, v10) (2017).csv",True,301,Entity,ok,sources/owid-datasets/italy/Child_Mortality_Rates_Complete_Gapminder_v10_2017_df0a2813.csv
"Child Mortality Rates (Selected Gapminder, v10) (2017)","Child Mortality Rates (Selected Gapminder, v10) (2017).csv",True,154,Entity,ok,sources/owid-datasets/italy/Child_Mortality_Rates_Selected_Gapminder_v10_2017_d5cd81a9.csv
Child deaths by life stage (OWID based on UN IGME),Child deaths by life stage (OWID based on UN IGME).csv,True,57,Entity,ok,sources/owid-datasets/italy/Child_deaths_by_life_stage_OWID_based_on_UN_IGME_189e23b3.csv
