year,region,province,activity,class,consumption_GWh
2015,Basilicata,Matera,Manifatturiera non di base,Lavorazione plastica e gomma,7.317605
2015,Basilicata,Matera,Manifatturiera di base,Metalli non ferrosi,0.452096
2015,Basilicata,Matera,Energia ed acqua,Estrazione combustibili,3.028552
2015,Basilicata,Matera,Energia ed acqua,Raffinazione e cokerie,0.102316
2015,Basilicata,Matera,Manifatturiera non di base,Mezzi di trasporto,3.941786
2015,Basilicata,Matera,Manifatturiera di base,Materiali da costruzione,11.325205
2015,Basilicata,Matera,Manifatturiera non di base,"Tessile, abbigl. e calzature",58.486591
2015,Basilicata,Matera,Manifatturiera di base,Siderurgica,0.977746
2015,Basilicata,Matera,Manifatturiera di base,Cartaria,0.894734
2015,Basilicata,Matera,Manifatturiera di base,Chimica,36.53229
2015,Basilicata,Matera,Manifatturiera non di base,Altre manifatturiere,12.172832
2015,Basilicata,Matera,Energia ed acqua,Elettricità e gas,5.14665
2015,Basilicata,Matera,Energia ed acqua,Acquedotti,15.386169
2015,Basilicata,Matera,,,0.0
2015,Basilicata,Matera,Manifatturiera non di base,Meccanica,5.40193
2015,Basilicata,Matera,,,3.204922
2015,Basilicata,Matera,Manifatturiera non di base,Legno e mobilio,6.099314
2015,Basilicata,Potenza,,,0.0
2015,Basilicata,Potenza,Energia ed acqua,Estrazione combustibili,192.405308
2015,Basilicata,Potenza,Energia ed acqua,Elettricità e gas,2.450738
2015,Basilicata,Potenza,Manifatturiera di base,Materiali da costruzione,75.092651
2015,Basilicata,Potenza,Manifatturiera di base,Chimica,45.381784
2015,Basilicata,Potenza,Manifatturiera non di base,Altre manifatturiere,13.250112
2015,Basilicata,Potenza,Manifatturiera non di base,"Tessile, abbigl. e calzature",0.69642
2015,Basilicata,Potenza,,,6.559628
2015,Basilicata,Potenza,Manifatturiera non di base,Meccanica,40.82991
2015,Basilicata,Potenza,Manifatturiera di base,Metalli non ferrosi,1.795659
2015,Basilicata,Potenza,Manifatturiera di base,Cartaria,3.805268
2015,Basilicata,Potenza,Manifatturiera di base,Siderurgica,297.702534
2015,Basilicata,Potenza,Energia ed acqua,Raffinazione e cokerie,0.572004
2015,Basilicata,Potenza,Energia ed acqua,Acquedotti,113.882642
2015,Basilicata,Potenza,Manifatturiera non di base,Legno e mobilio,2.92085
2015,Basilicata,Potenza,Manifatturiera non di base,Lavorazione plastica e gomma,15.014486
2015,Basilicata,Potenza,Manifatturiera non di base,Mezzi di trasporto,257.362008
2015,Basilicata,Potenza,Manifatturiera non di base,Alimentare,120.186666
2015,Calabria,Catanzaro,Manifatturiera di base,Metalli non ferrosi,0.277909
2015,Calabria,Catanzaro,Energia ed acqua,Raffinazione e cokerie,0.344802
2015,Calabria,Catanzaro,Energia ed acqua,Acquedotti,67.664506
2015,Calabria,Catanzaro,Energia ed acqua,Elettricità e gas,1.972042
2015,Calabria,Catanzaro,Manifatturiera non di base,Alimentare,17.042026
2015,Calabria,Catanzaro,,,5.104325
2015,Calabria,Catanzaro,Manifatturiera non di base,Lavorazione plastica e gomma,1.245728
2015,Calabria,Catanzaro,Manifatturiera di base,Cartaria,7.918032
2015,Calabria,Catanzaro,Manifatturiera di base,Chimica,1.10791
2015,Calabria,Catanzaro,Manifatturiera non di base,Legno e mobilio,2.666749
2015,Calabria,Catanzaro,Manifatturiera di base,Siderurgica,0.261117
2015,Calabria,Catanzaro,Manifatturiera non di base,Mezzi di trasporto,2.07862
2015,Calabria,Catanzaro,Energia ed acqua,Estrazione combustibili,0.044634
2015,Calabria,Catanzaro,Manifatturiera non di base,Altre manifatturiere,2.334349
2015,Calabria,Catanzaro,Manifatturiera di base,Materiali da costruzione,25.92823
2015,Calabria,Catanzaro,,,0.0
2015,Calabria,Catanzaro,Manifatturiera non di base,"Tessile, abbigl. e calzature",0.745875
2015,Calabria,Catanzaro,Manifatturiera non di base,Meccanica,10.398178
2015,Calabria,Cosenza,Energia ed acqua,Estrazione combustibili,0.276984
2015,Calabria,Cosenza,Manifatturiera non di base,Lavorazione plastica e gomma,9.083056
2015,Calabria,Cosenza,Manifatturiera non di base,Legno e mobilio,15.654882
2015,Calabria,Cosenza,Manifatturiera di base,Chimica,0.661897
2015,Calabria,Cosenza,Energia ed acqua,Elettricità e gas,3.234596
2015,Calabria,Cosenza,Energia ed acqua,Raffinazione e cokerie,0.794138
2015,Calabria,Cosenza,Manifatturiera non di base,Alimentare,61.478723
2015,Calabria,Cosenza,Manifatturiera di base,Siderurgica,4.200584
2015,Calabria,Cosenza,Manifatturiera non di base,Altre manifatturiere,3.880543
2015,Calabria,Cosenza,Manifatturiera di base,Materiali da costruzione,110.213012
2015,Calabria,Cosenza,,,0.0
2015,Calabria,Cosenza,,,13.814073
2015,Calabria,Cosenza,Manifatturiera non di base,Meccanica,12.967986
2015,Calabria,Cosenza,Manifatturiera di base,Cartaria,4.870321
2015,Calabria,Cosenza,Manifatturiera non di base,"Tessile, abbigl. e calzature",1.157526
2015,Calabria,Cosenza,Manifatturiera di base,Metalli non ferrosi,0.733356
2015,Calabria,Cosenza,Energia ed acqua,Acquedotti,52.710856
2015,Calabria,Cosenza,Manifatturiera non di base,Mezzi di trasporto,2.233983
2015,Calabria,Crotone,Energia ed acqua,Raffinazione e cokerie,0.099864
2015,Calabria,Crotone,Manifatturiera di base,Chimica,0.353079
2015,Calabria,Crotone,Manifatturiera non di base,Mezzi di trasporto,0.73508
2015,Calabria,Crotone,Manifatturiera non di base,Alimentare,6.828884
2015,Calabria,Crotone,Manifatturiera di base,Cartaria,0.203071
2015,Calabria,Crotone,Energia ed acqua,Acquedotti,23.272392
2015,Calabria,Crotone,,,0.0
2015,Calabria,Crotone,Manifatturiera non di base,Legno e mobilio,2.534497
2015,Calabria,Crotone,Manifatturiera non di base,Meccanica,5.11657
2015,Calabria,Crotone,Manifatturiera non di base,"Tessile, abbigl. e calzature",0.699518
2015,Calabria,Crotone,Manifatturiera di base,Metalli non ferrosi,0.553656
2015,Calabria,Crotone,Energia ed acqua,Elettricità e gas,8.687123
2015,Calabria,Crotone,Energia ed acqua,Estrazione combustibili,0.017919
2015,Calabria,Crotone,Manifatturiera di base,Siderurgica,0.029042
2015,Calabria,Crotone,Manifatturiera non di base,Altre manifatturiere,0.382409
2015,Calabria,Crotone,Manifatturiera di base,Materiali da costruzione,2.02986
2015,Calabria,Crotone,,,3.689939
2015,Calabria,Crotone,Manifatturiera non di base,Lavorazione plastica e gomma,0.092836
