zone,eic,datetime,price_eur_mwh
IT-North,10Y1001A1001A73I,2026-04-25 10:15:00+02:00,33.0
IT-North,10Y1001A1001A73I,2026-04-25 10:30:00+02:00,30.0
IT-North,10Y1001A1001A73I,2026-04-25 10:45:00+02:00,16.0
IT-North,10Y1001A1001A73I,2026-04-25 11:00:00+02:00,6.0
IT-North,10Y1001A1001A73I,2026-04-25 11:15:00+02:00,11.0
IT-North,10Y1001A1001A73I,2026-04-25 11:30:00+02:00,6.0
IT-North,10Y1001A1001A73I,2026-04-25 11:45:00+02:00,5.0
IT-North,10Y1001A1001A73I,2026-04-25 12:00:00+02:00,5.0
IT-North,10Y1001A1001A73I,2026-04-25 12:15:00+02:00,11.0
IT-North,10Y1001A1001A73I,2026-04-25 12:30:00+02:00,10.0
IT-North,10Y1001A1001A73I,2026-04-25 12:45:00+02:00,11.0
IT-North,10Y1001A1001A73I,2026-04-25 13:00:00+02:00,12.5
IT-North,10Y1001A1001A73I,2026-04-25 13:15:00+02:00,12.5
IT-North,10Y1001A1001A73I,2026-04-25 13:30:00+02:00,12.5
IT-North,10Y1001A1001A73I,2026-04-25 13:45:00+02:00,12.5
IT-North,10Y1001A1001A73I,2026-04-25 14:00:00+02:00,3.0
IT-North,10Y1001A1001A73I,2026-04-25 14:15:00+02:00,11.86
IT-North,10Y1001A1001A73I,2026-04-25 14:30:00+02:00,11.86
IT-North,10Y1001A1001A73I,2026-04-25 14:45:00+02:00,11.86
IT-North,10Y1001A1001A73I,2026-04-25 15:00:00+02:00,11.86
IT-North,10Y1001A1001A73I,2026-04-25 15:15:00+02:00,12.0
IT-North,10Y1001A1001A73I,2026-04-25 15:30:00+02:00,5.0
IT-North,10Y1001A1001A73I,2026-04-25 15:45:00+02:00,11.0
IT-North,10Y1001A1001A73I,2026-04-25 16:00:00+02:00,11.0
IT-North,10Y1001A1001A73I,2026-04-25 16:15:00+02:00,15.0
IT-North,10Y1001A1001A73I,2026-04-25 16:30:00+02:00,19.6
IT-North,10Y1001A1001A73I,2026-04-25 16:45:00+02:00,40.0
IT-North,10Y1001A1001A73I,2026-04-25 17:00:00+02:00,61.8
IT-North,10Y1001A1001A73I,2026-04-25 17:15:00+02:00,97.41
IT-North,10Y1001A1001A73I,2026-04-25 17:30:00+02:00,114.33
IT-North,10Y1001A1001A73I,2026-04-25 17:45:00+02:00,138.72
IT-North,10Y1001A1001A73I,2026-04-25 18:00:00+02:00,107.59
IT-North,10Y1001A1001A73I,2026-04-25 18:15:00+02:00,142.84
