Società,Partita IVA,Sede Legale,Settori Attività
A.S.S.M. S.P.A. - TOLENTINO,01210690432,Via Roma 36 - 62029 Tolentino (Macerata), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; Acquedotto - Captazione; Acquedotto - Potabilizzazione; Acquedotto - Adduzione; Depurazione - Depurazione; Acquedotto - Distribuzione; Acquedotto - Misura; Fognatura - Nera e mista; Fognatura - Misura; Altre attività idriche - Attività idriche diverse; Altre attività idriche - Riscossione
A.S.SE.M. SPA,01210650436,Località COLOTTO 11 - 62027 San Severino Marche (Macerata)," a) produzione dell'energia elettrica - (   ) ; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; Acquedotto - Captazione; Acquedotto - Potabilizzazione; Acquedotto - Adduzione; Depurazione - Depurazione; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Attività diverse - gestione, manutenzione e sviluppo di infrastrutture semaforiche e di illuminazione pubblica; Acquedotto - Distribuzione; Acquedotto - Misura; Fognatura - Nera e mista; Altre attività idriche - Attività idriche diverse"
AcegasApsAmga S.p.A.,00930530324,Via del Teatro 5 - 34121 Trieste (Trieste)," a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; Acquedotto - Captazione; Acquedotto - Potabilizzazione; Acquedotto - Adduzione; Depurazione - Depurazione; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Attività diverse - gestione, manutenzione e sviluppo di infrastrutture semaforiche e di illuminazione pubblica; Attività diverse - servizi prestati ad altre imprese ed enti, inclusi quelli prestati ad imprese rientranti nei settori del gas naturale e dell'energia elettrica (comma 26.2, lettera b) TIU); Attività diverse - altro; Acquedotto - Distribuzione; Acquedotto - Misura; Fognatura - Bianca; Fognatura - Nera e mista; Fognatura - Misura; Altre attività idriche - Attività idriche diverse; Altre attività idriche - Riscossione; Raccolta e trasporto dei rifiuti urbani; Spazzamento e lavaggio delle strade; Gestione tariffe e rapporto con gli utenti"
AIR AZIENDA INTERCOMUNALE ROTALIANA S.P.A. SOCIETÀ BENEFIT,01579450220,Via Milano 10 - 38017 Mezzolombardo (Trento)," a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; Acquedotto - Captazione; Acquedotto - Potabilizzazione; Acquedotto - Adduzione; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Attività diverse - gestione, manutenzione e sviluppo di infrastrutture semaforiche e di illuminazione pubblica; Attività diverse - altro; Acquedotto - Distribuzione; Acquedotto - Misura; Fognatura - Bianca; Fognatura - Nera e mista; Altre attività idriche - Attività idriche diverse"
ALTO GARDA SERVIZI SPA,01581060223,Via ARDARO 27 - 38066 Riva del Garda (Trento)," a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; Acquedotto - Captazione; Acquedotto - Potabilizzazione; Acquedotto - Adduzione; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Attività diverse - gestione, manutenzione e sviluppo di infrastrutture semaforiche e di illuminazione pubblica; Acquedotto - Distribuzione; Acquedotto - Misura; Fognatura - Bianca; Fognatura - Nera e mista; Fognatura - Misura; Altre attività idriche - Attività idriche diverse; Altre attività idriche - Riscossione; Distribuzione di energia termica; Misura di energia termica; Acquisto e vendita di energia termica"
AMEA S.P.A.,02066710605,Viale San Francesco d'Assisi 15/C - 03018 Paliano (Frosinone)," d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; Acquedotto - Captazione; Acquedotto - Potabilizzazione; Acquedotto - Adduzione; Depurazione - Depurazione; h) vendita di energia elettrica ai clienti finali in maggior tutela; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Acquedotto - Distribuzione; Acquedotto - Misura; Fognatura - Nera e mista; Altre attività idriche - Attività idriche diverse"
AMET S.P.A.,04938250729,Piazza Plebiscito 20 - 76125 Trani (Barletta-Andria-Trani)," d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Attività diverse - gestione, manutenzione e sviluppo di infrastrutture semaforiche e di illuminazione pubblica"
AMIAS SERVIZI SRL,02127560163,Corso MILANO  19 - 24020 Selvino (Bergamo)," a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; Attività diverse - altro - ( gestione, manutenzioni servizio di Illuminazione pubblica - gestione, manutenzione e sviluppo acquedotto e fognatura - prestazioni rese all'amministrazione comunale: spazzamento stradale, gestione verde pubblico e parchi, manutenzioni stradali - servizi cimiteriali - spazzamento neve ) ; Spazzamento e lavaggio delle strade"
ARETI SpA,05816611007,Piazzale Ostiense 2 - 00154 Roma (Roma)," d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; Attività diverse - gestione, esercizio, manutenzione, e sviluppo di impianti cimiteriali; Attività diverse - servizi prestati ad altre imprese ed enti, inclusi quelli prestati ad imprese rientranti nei settori del gas naturale e dell'energia elettrica (comma 26.2, lettera b) TIU)"
ASM Bressanone SpA,01717730210,Via Alfred Ammon 24 - 39042 Bressanone/Brixen (Bolzano/Bozen)," a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; Acquedotto - Captazione; Acquedotto - Potabilizzazione; Acquedotto - Adduzione; h) vendita di energia elettrica ai clienti finali in maggior tutela; i) vendita ai clienti liberi dell'energia elettrica; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Attività diverse - gestione, manutenzione e sviluppo di infrastrutture semaforiche e di illuminazione pubblica; Attività diverse - servizi prestati ad altre imprese ed enti, inclusi quelli prestati ad imprese rientranti nei settori del gas naturale e dell'energia elettrica (comma 26.2, lettera b) TIU); Acquedotto - Distribuzione; Acquedotto - Misura; Fognatura - Bianca; Fognatura - Nera e mista; Fognatura - Misura; Altre attività idriche - Attività idriche diverse; Altre attività idriche - Riscossione; Produzione di energia termica; Distribuzione di energia termica; Misura di energia termica; Acquisto e vendita di energia termica; Spedizione transfrontaliera; Raccolta e trasporto dei rifiuti urbani; Spazzamento e lavaggio delle strade; Gestione tariffe e rapporto con gli utenti"
