Società,Partita IVA,Sede Legale,Settori Attività
AMC Reti Gas,02796070064,Via Orti 2 - 15033 Casale Monferrato (Alessandria)," p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - altro - ( La Società AMC Reti Gas S.r.l. è stata costituita in data 29/12/2025 con iscrizione in CCIAA il 30/12/2025, al momento inattiva. Essa svolgerà le attività di distribuzione e misura gas naturale che verranno flaggate con data decorrenza al momento di piena operatività. ) "
AMEA S.P.A.,02066710605,Viale San Francesco d'Assisi 15/C - 03018 Paliano (Frosinone)," d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; Acquedotto - Captazione; Acquedotto - Potabilizzazione; Acquedotto - Adduzione; Depurazione - Depurazione; h) vendita di energia elettrica ai clienti finali in maggior tutela; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Acquedotto - Distribuzione; Acquedotto - Misura; Fognatura - Nera e mista; Altre attività idriche - Attività idriche diverse"
AMG ENERGIA SPA,04797170828,Via TIRO A SEGNO 5 - 90123 Palermo (Palermo)," p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - gestione, manutenzione e sviluppo di infrastrutture semaforiche e di illuminazione pubblica; Attività diverse - servizi prestati ad altre imprese ed enti, inclusi quelli prestati ad imprese rientranti nei settori del gas naturale e dell'energia elettrica (comma 26.2, lettera b) TIU); Attività diverse - altro - ( L'ttività altro comprende: ""gestione del servizio energia negli edifici di proprietà e/o pertinenza del Comune di Palermo"". ) "
AMGAS S.P.A.,02361300714,Via VIALE MANFREDI snc - 71100 Foggia (Foggia), p) distribuzione del gas naturale; q) misura del gas naturale
Amiternum Servizi Srl,01676150665,Viale Aldo Moro 8 - 67019 Scoppito (L'Aquila), p) distribuzione del gas naturale; q) misura del gas naturale
ANGIZIA MULTISERVICES S.R.L.,01605360666,Via Pietro Mascagni 11 - 67056 Luco dei Marsi (L'Aquila), p) distribuzione del gas naturale; q) misura del gas naturale
AP Reti Gas Next Grids S.p.A.,01584260192,Via Verizzo 1030 - 31053 Pieve di Soligo (Treviso)," p) distribuzione del gas naturale; q) misura del gas naturale; u) distribuzione, misura e vendita di altri gas a mezzo di reti canalizzate"
AP Reti Gas Nord Ovest S.p.A.,12060630964,Via VERIZZO 1030 - 31053 Pieve di Soligo (Treviso)," p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - servizi prestati ad altre imprese ed enti, inclusi quelli prestati ad imprese rientranti nei settori del gas naturale e dell'energia elettrica (comma 26.2, lettera b) TIU)"
AP Reti Gas North,04665260982,Via Verizzo 1030 - 31053 Pieve di Soligo (Treviso)," p) distribuzione del gas naturale; q) misura del gas naturale; u) distribuzione, misura e vendita di altri gas a mezzo di reti canalizzate"
AP Reti Gas S.p.A.,04802420267,Via VERIZZO 1030 - 31053 Pieve di Soligo (Treviso)," a) produzione dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - servizi prestati ad altre imprese ed enti, inclusi quelli prestati ad imprese rientranti nei settori del gas naturale e dell'energia elettrica (comma 26.2, lettera b) TIU); Attività diverse - altro - ( altro ) "
AS RETIGAS SRL,03167510365,Via Maestri del Lavoro 38 - 41037 Mirandola (Modena), p) distribuzione del gas naturale; q) misura del gas naturale
Ascoli Reti Gas S.r.l.,01746150448,Via Piceno Aprutina 114 - 63100 Ascoli Piceno (Ascoli Piceno)," p) distribuzione del gas naturale; q) misura del gas naturale; u) distribuzione, misura e vendita di altri gas a mezzo di reti canalizzate"
ASM VERCELLI SPA,01938630025,Corso PALESTRO 130 - 13100 Vercelli (Vercelli)," a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; Acquedotto - Captazione; Acquedotto - Potabilizzazione; Acquedotto - Adduzione; Depurazione - Depurazione; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Attività diverse - gestione, manutenzione e sviluppo di infrastrutture semaforiche e di illuminazione pubblica; Attività diverse - servizi prestati ad altre imprese ed enti, inclusi quelli prestati ad imprese rientranti nei settori del gas naturale e dell'energia elettrica (comma 26.2, lettera b) TIU); Attività diverse - proprietari non utilizzatori di immobilizzazioni (art. 17 TIU); Attività diverse - altro - ( GESTIONE, MANUTENZIONE E SVILUPPO IMPIANTI DI ILLUMINAZIONE CIMITERIALE ) ; Acquedotto - Distribuzione; Acquedotto - Misura; Fognatura - Nera e mista; Fognatura - Misura; Altre attività idriche - Attività idriche diverse; Raccolta e trasporto dei rifiuti urbani; Spazzamento e lavaggio delle strade; Trattamento e recupero dei rifiuti urbani; Trattamento e smaltimento dei rifiuti urbani"
ASP - AZIENDA SERVIZI POLVERIGI S.R.L.,02062980426,Via VIA MARCONI  51 - 60020 Polverigi (Ancona), p) distribuzione del gas naturale; q) misura del gas naturale
ASPM SORESINA SERVIZI SRL,01300290192,Via Cairoli 17 - 26015 Soresina (Cremona), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; h) vendita di energia elettrica ai clienti finali in maggior tutela
ASSISI GESTIONI SERVIZI SRL,02300680549,Via C/O Casa Municipale snc - 06081 Assisi (Perugia), p) distribuzione del gas naturale; q) misura del gas naturale
