Società,Partita IVA,Sede Legale,Settori Attività
GROSSETO ENERGIA RETI GAS S.P.A.,01217720539,Via SMERALDO 20 - 58100 Grosseto (Grosseto)," p) distribuzione del gas naturale; q) misura del gas naturale; u) distribuzione, misura e vendita di altri gas a mezzo di reti canalizzate; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti"
INRETE Distribuzione energia,03479071205,Viale Carlo Berti Pichat 2/4 - 40127 Bologna (Bologna)," d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti"
INTERLAGA SRL,01041810670,Via GIORGIO ROMANI SNC - 64010 Torricella Sicura (Teramo), p) distribuzione del gas naturale; q) misura del gas naturale
IRETI GAS S.P.A.,02837570999,Strada SANTA MARGHERITA 6/A - 43123 Parma (Parma)," a) produzione dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; u) distribuzione, misura e vendita di altri gas a mezzo di reti canalizzate; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti"
Italgas Reti S.p.A.,00489490011,Largo Regio Parco 11 - 10153 Torino (Torino)," a) produzione dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; u) distribuzione, misura e vendita di altri gas a mezzo di reti canalizzate; Attività diverse - altro"
ITALIMPIANTI SRL,00981490055,Via Valtiglione 31/Bis - 14057 Isola d'Asti (Asti)," p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - altro - ( Albergo, centro estetico, locazioni di beni immobili. ) "
JULIA RETE SOCIETA' UNIPERSONALE ,01534840671,Corso GARIBALDI  119 - 64021 Giulianova (Teramo), p) distribuzione del gas naturale; q) misura del gas naturale
LENERGIE SPA,00010200186,Via Savonarola 28/30B - 27054 Montebello della Battaglia (Pavia)," p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - servizi prestati ad altre imprese ed enti, inclusi quelli prestati ad imprese rientranti nei settori del gas naturale e dell'energia elettrica (comma 26.2, lettera b) TIU); Attività diverse - altro"
Lereti S.p.A. ,07063880962,Via P. Stazzi 2 - 22100 Como (Como)," p) distribuzione del gas naturale; q) misura del gas naturale; Acquedotto - Captazione; Acquedotto - Potabilizzazione; Acquedotto - Adduzione; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Acquedotto - Distribuzione; Acquedotto - Misura; Altre attività idriche - Attività idriche diverse; Altre attività idriche - Riscossione"
LG IMPIANTI 2023,02141370672,Via RISORGIMENTO 38 - 64030 Montefino (Teramo)," p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti"
LIGURIA GAS S.R.L.,00187970090,Via DELLA RESISTENZA 34 - 17014 Cairo Montenotte (Savona)," p) distribuzione del gas naturale; q) misura del gas naturale; u) distribuzione, misura e vendita di altri gas a mezzo di reti canalizzate"
LIQUIGAS SPA,03316690175,Corso Zanardelli 32 - 25121 Brescia (Brescia)," p) distribuzione del gas naturale; q) misura del gas naturale; u) distribuzione, misura e vendita di altri gas a mezzo di reti canalizzate"
M RETI SPA,02954140618,Via XXV Aprile 57 - 81025 Marcianise (Caserta)," p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti"
Magis S.p.A.,02770130231,Via LUNGADIGE GALTAROSSA 8 - 37133 Verona (Verona)," a) produzione dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Attività diverse - gestione, manutenzione e sviluppo di infrastrutture semaforiche e di illuminazione pubblica; Attività diverse - proprietari non utilizzatori di immobilizzazioni (art. 17 TIU); Raccolta e trasporto dei rifiuti urbani; Spazzamento e lavaggio delle strade; Gestione tariffe e rapporto con gli utenti; Trattamento e recupero dei rifiuti urbani; Trattamento e smaltimento dei rifiuti urbani"
Marche Multiservizi S.p.A.,02059030417,Via DEI CANONICI 144 - 61122 Pesaro (Pesaro e Urbino)," a) produzione dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; Acquedotto - Captazione; Acquedotto - Potabilizzazione; Acquedotto - Adduzione; Depurazione - Depurazione; u) distribuzione, misura e vendita di altri gas a mezzo di reti canalizzate; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Attività diverse - gestione, manutenzione e sviluppo di infrastrutture semaforiche e di illuminazione pubblica; Attività diverse - servizi prestati ad altre imprese ed enti, inclusi quelli prestati ad imprese rientranti nei settori del gas naturale e dell'energia elettrica (comma 26.2, lettera b) TIU); Acquedotto - Distribuzione; Acquedotto - Misura; Fognatura - Nera e mista; Altre attività idriche - Attività idriche diverse; Altre attività idriche - Riscossione; Produzione di energia termica; Distribuzione di energia termica; Misura di energia termica; Acquisto e vendita di energia termica; Raccolta e trasporto dei rifiuti urbani; Spazzamento e lavaggio delle strade; Trattamento e recupero dei rifiuti urbani; Trattamento e smaltimento dei rifiuti urbani"
MARTESANA RETI S.R.L.,05941330960,Via Martiri della Libertà 18 - 20066 Melzo (Milano), p) distribuzione del gas naturale; q) misura del gas naturale
MEDITERRANEA ENERGIA ,03765640408,Via Luigi Galvani 17/B - 47122 Forlì (Forlì-Cesena)," p) distribuzione del gas naturale; q) misura del gas naturale; u) distribuzione, misura e vendita di altri gas a mezzo di reti canalizzate"
MEDITERRANEA ENERGIA AMBIENTE S.P.A (IN SIGLA MEDEA S.P.A),01854250907,Via Torres 4 - 07100 Sassari (Sassari)," a) produzione dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; u) distribuzione, misura e vendita di altri gas a mezzo di reti canalizzate; Attività diverse - altro"
MELEGNANO ENERGIA AMBIENTE S.P.A.,11744720159,Via Sandro Pertini 11 - 20077 Melegnano (Milano)," p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Attività diverse - servizi prestati ad altre imprese ed enti, inclusi quelli prestati ad imprese rientranti nei settori del gas naturale e dell'energia elettrica (comma 26.2, lettera b) TIU)"
METAEDIL S.R.L.,01868640648,Via Francesco Tedesco 61 - 83100 Avellino (Avellino)," a) produzione dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Attività diverse - altro - ( EDILIZIA ) "
METAGAS SRL,02866300656,Via PRIMO BARATTA 24 - 84091 Battipaglia (Salerno), p) distribuzione del gas naturale; q) misura del gas naturale
METANO SANT'ANGELO LODIGIANO S.p.A.,00757920152,Via Morzenti 22/A - 26866 Sant'Angelo Lodigiano (Lodi), p) distribuzione del gas naturale; q) misura del gas naturale
Metanodotti del Friuli,01751500305,Via Gallerio 4 - 33019 Tricesimo (Udine), p) distribuzione del gas naturale; q) misura del gas naturale
METEMA GESTIONI SRL,00886010438,Via LOCALITA' TORRE DEL PARCO SN - 62032 Camerino (Macerata), p) distribuzione del gas naturale; q) misura del gas naturale
MOLISE GESTIONI S.R.L.,00825150709,Via Vittorio Emanuele II 4/28 - 25030 Roncadelle (Brescia), p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - altro
MONTELUPONE ARCALGAS S.R.L.,00291460434,Via Santa Caterina 22 - 62010 Montelupone (Macerata), p) distribuzione del gas naturale; q) misura del gas naturale
MONTI AZZURRI SERVIZI TECNOLOGICI,01528530437,Via Carlo Urbani 9 - 62020 Belforte del Chienti (Macerata), p) distribuzione del gas naturale; q) misura del gas naturale
Multiservizi Azzanese S.U. a R.L. in Liquidazione,01472860939,Piazza Liberta' 1 - 33082 Azzano Decimo (Pordenone), p) distribuzione del gas naturale; q) misura del gas naturale
MULTISERVIZI LAMA SRL,01745790442,Via CARRAFO 22 - 63082 Castel di Lama (Ascoli Piceno), p) distribuzione del gas naturale; q) misura del gas naturale
NED Reti Distribuzione Gas Srl,03757660968,Viale De Gasperi 113/115 - 20017 Rho (Milano), p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - altro - ( ATTIVITA' DI  PRESTAZIONE SERVIZI NEI CONFRONTI DI SOCIETA' PARTECIPATA DA COMUNI SOCI ) 
NEW ENERGY SRL,10928001212,Via benedetto brin 41 - 80142 Napoli (Napoli), p) distribuzione del gas naturale
NOVARETI SPA,01405600220,Via Manzoni  24 - 38068 Rovereto (Trento), a) produzione dell'energia elettrica; e) misura dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; Acquedotto - Captazione; Acquedotto - Potabilizzazione; Acquedotto - Adduzione; Acquedotto - Distribuzione; Acquedotto - Misura; Fognatura - Bianca; Fognatura - Nera e mista; Gestione di RIU; Produzione di energia termica; Distribuzione di energia termica; Misura di energia termica
PEDEMONTANA PATRIMONIO E SERVIZI SRL,00171760242,Via PADRE ROBERTO DA NOVE 50 - 36055 Nove (Vicenza)," p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Attività diverse - proprietari non utilizzatori di immobilizzazioni (art. 17 TIU)"
POLLINO GESTIONE IMPIANTI S.R.L.,02534750787,Via MULETTA ZONA PIP SNC - 87012 Castrovillari (Cosenza)," p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti"
POMILIA RETI GAS S.R.L.,07231501219,Via CARMINE GUADAGNO 85 - 80038 Pomigliano d'Arco (Napoli), p) distribuzione del gas naturale; q) misura del gas naturale
PREALPI GAS S.R.L.,02239280023,Via MARCO POLO 12 - 21052 Busto Arsizio (Varese), a) produzione dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale
PROTOS SRL,01355900448,Via Vecchiotti 20 - 63900 Fermo (Fermo), p) distribuzione del gas naturale; q) misura del gas naturale
PUBLIRETI S.R.L.,02034930699,Piazza Municipio 1 - 66041 Atessa (Chieti), p) distribuzione del gas naturale; q) misura del gas naturale
RANTON S.r.l.,01215280684,Via Trieste 88 - 65122 Pescara (Pescara), p) distribuzione del gas naturale; q) misura del gas naturale
RETE MORENICA SRL,03404300232,Via VIALE DEI CIPRESSI   2 - 37069 Villafranca di Verona (Verona), p) distribuzione del gas naturale; q) misura del gas naturale
RETI DI. VOGHERA S.R.L.,02722240187,Via Pozzoni 2 - 27058 Voghera (Pavia)," d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti"
RETI DISTRIBUZIONE S.R.L.,08549940016,Via Cappuccini 22/a - 10015 Ivrea (Torino)," p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - altro - ( Gestione centrali: trigenerative, frigorifere e termiche
Commercio ed installazione di articoli finalizzati alla sicurezza degli impianti
Servizi di manutenzione e di assistenza tecnica relativa agli impianti
Gestione di reti di teleriscaldamento
 ) "
Reti Metano Territorio S.r.l.,03666520048,Via Vivaro 4/B - 12051 Alba (Cuneo)," p) distribuzione del gas naturale; q) misura del gas naturale; u) distribuzione, misura e vendita di altri gas a mezzo di reti canalizzate"
Reti Padova S.r.l,14525740966,Via Verizzo 1030 - 31053 Pieve di Soligo (Treviso), p) distribuzione del gas naturale; q) misura del gas naturale
reti s.r.l.,02347450062,Via Altiero Spinelli snc - 15067 Novi Ligure (Alessandria), p) distribuzione del gas naturale; q) misura del gas naturale
RETI VALTELLINA VALCHIAVENNA S.R.L. UNIPERSONALE,01017590140,Via RAGAZZI DEL '99 19 - 23100 Sondrio (Sondrio)," d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Attività diverse - gestione, manutenzione e sviluppo di infrastrutture semaforiche e di illuminazione pubblica; Attività diverse - servizi prestati ad altre imprese ed enti, inclusi quelli prestati ad imprese rientranti nei settori del gas naturale e dell'energia elettrica (comma 26.2, lettera b) TIU)"
RetiPiù Srl,04152790962,Via Giusti 38 - 20832 Desio (Monza e della Brianza)," d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; u) distribuzione, misura e vendita di altri gas a mezzo di reti canalizzate; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Attività diverse - gestione, manutenzione e sviluppo di infrastrutture semaforiche e di illuminazione pubblica; Attività diverse - servizi prestati ad altre imprese ed enti, inclusi quelli prestati ad imprese rientranti nei settori del gas naturale e dell'energia elettrica (comma 26.2, lettera b) TIU)"
S.G.M. DISTRIBUZIONE PAVESE S.R.L.,03097100154,Viale BRIANZA 99 - 20821 Meda (Monza e della Brianza), p) distribuzione del gas naturale; q) misura del gas naturale
S.I.DI.GAS SPA,00573180643,Via Ammaturo 124 15 - 83100 Avellino (Avellino), p) distribuzione del gas naturale; q) misura del gas naturale
SADORI RETI S.R.L.,00517310421,Via Lorenzo Lotto  10 - 60019 Senigallia (Ancona)," p) distribuzione del gas naturale; q) misura del gas naturale; u) distribuzione, misura e vendita di altri gas a mezzo di reti canalizzate"
SAF ENERGY,09071380720,Via Mimmo Conenna 29 - 70126 Bari (Bari), a) produzione dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale
SANGROGEST S.R.L.,02029550692,Via G.MARCONI 38 - 66040 Quadri (Chieti), p) distribuzione del gas naturale; q) misura del gas naturale
SEAB - SERVIZI ENERGIA AMBIENTE BOLZANO S.P.A. / SEAB - ENERGIE- UMWELTBETRIEBE BOZEN A.G.,02231010212,Via LANCIA 4/A - 39100 Bolzano/Bozen (Bolzano/Bozen), p) distribuzione del gas naturale; q) misura del gas naturale; Acquedotto - Captazione; Acquedotto - Potabilizzazione; Acquedotto - Adduzione; Acquedotto - Distribuzione; Acquedotto - Misura; Fognatura - Bianca; Fognatura - Nera e mista; Raccolta e trasporto dei rifiuti urbani; Spazzamento e lavaggio delle strade; Gestione tariffe e rapporto con gli utenti
SEI SERVIZI ENERGETICI INTEGRATI S.R.L.,02169270200,Via Taliercio 3 - 46100 Mantova (Mantova)," a) produzione dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Attività diverse - trasporto, distribuzione e vendita di energia termica; Attività diverse - gestione, manutenzione e sviluppo di infrastrutture semaforiche e di illuminazione pubblica; Produzione di energia termica; Distribuzione di energia termica; Misura di energia termica; Acquisto e vendita di energia termica"
SERVER SRL,02315390985,Piazza LIBERTA' 39 - 25028 Verolanuova (Brescia), p) distribuzione del gas naturale; q) misura del gas naturale
SERVIZI DISTRIBUZIONE SRL,01732240443,Piazza KENNEDY 5 - 63078 Spinetoli (Ascoli Piceno), p) distribuzione del gas naturale; q) misura del gas naturale
SES RETI S.P.A.,01113750754,Via FRATELLI RUFFINI 3 - 20123 Milano (Milano), p) distribuzione del gas naturale; q) misura del gas naturale
SG DISTRIBUZIONE S.R.L.,03000750343,Via GIORGIO PERLASCA 20/C - 43036 Fidenza (Parma)," p) distribuzione del gas naturale; q) misura del gas naturale; u) distribuzione, misura e vendita di altri gas a mezzo di reti canalizzate"
SGDS MULTISERVIZI SRL,01780530448,Via Largo Carducci 8 - 63822 Porto San Giorgio (Fermo), p) distribuzione del gas naturale; q) misura del gas naturale; Raccolta e trasporto dei rifiuti urbani; Spazzamento e lavaggio delle strade
SGL multiservizi,03521030233,Via San Sebastiano 6 int. 2 - 37057 San Giovanni Lupatoto (Verona), p) distribuzione del gas naturale; q) misura del gas naturale
SI GAS DISTRIBUZIONE SRL,02070820838,Via Mancini 15 - 98071 Capo d'Orlando (Messina), p) distribuzione del gas naturale; q) misura del gas naturale
Sistemi Salerno - Reti Gas S.p.A.,04080690656,Via Stefano Passaro 1 - 84127 Salerno (Salerno)," p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Attività diverse - servizi prestati ad altre imprese ed enti, inclusi quelli prestati ad imprese rientranti nei settori del gas naturale e dell'energia elettrica (comma 26.2, lettera b) TIU)"
SO.GAS SPA,01156370056,Via VIA DEL LAVORO  23 - 14100 Asti (Asti), p) distribuzione del gas naturale; q) misura del gas naturale
SOCIETA' DISTRIBUZIONE GAS E SERVIZI MONTE URANO S.R.L.,01754300448,Via L. SPAGNOLINI  7 - 63015 Monte Urano (Fermo)," p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti"
SOCIETA' INTERCOMUNALE GAS SPA,01671350682,Viale RINGA 84 - 65017 Penne (Pescara), p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - altro
SOCIETA' METANODOTTI VALLETANARO SRL,00608810057,Via G.TESTORE 12 - 14055 Costigliole d'Asti (Asti)," a) produzione dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Attività diverse - servizi prestati ad altre imprese ed enti, inclusi quelli prestati ad imprese rientranti nei settori del gas naturale e dell'energia elettrica (comma 26.2, lettera b) TIU)"
SOGIP S.R.L.,04015810874,Via San Francesco di Paola 21 - 95024 Acireale (Catania), p) distribuzione del gas naturale; q) misura del gas naturale; Acquedotto - Captazione; Acquedotto - Potabilizzazione; Acquedotto - Adduzione; Depurazione - Depurazione; Acquedotto - Distribuzione; Acquedotto - Misura; Fognatura - Nera e mista; Altre attività idriche - Attività idriche diverse
SOLDO FRANCESCO S.R.L.,01138580772,Piazza San Rocco 5 - 75017 Salandra (Matera), p) distribuzione del gas naturale; q) misura del gas naturale
SVILUPPO ENERGIA ,02940590785,Viale UMBERTO CALDORA 23 - 87012 Castrovillari (Cosenza)," p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - servizi prestati ad altre imprese ed enti, inclusi quelli prestati ad imprese rientranti nei settori del gas naturale e dell'energia elettrica (comma 26.2, lettera b) TIU)"
Südtirolgas SpA,01396650218,Via Josef Ressel 2 - 39100 Bolzano/Bozen (Bolzano/Bozen), p) distribuzione del gas naturale; q) misura del gas naturale
t.f. logistic srl,17757721000,Via MELIBEO 86 - 00155 Roma (Roma), p) distribuzione del gas naturale
TECNICONSUL SRL - COSTRUZIONI E GESTIONI,01267200358,Via VIA GANDHI   22 - 42123 Reggio nell'Emilia (Reggio nell'Emilia), p) distribuzione del gas naturale; q) misura del gas naturale
Tenna Retigas Srl,02341390447,Via Medaglie D'oro 124 - 63900 Fermo (Fermo)," p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti"
TERZIGNO GAS,03828120406,Via Luigi Galvani 17/B - 47122 Forlì (Forlì-Cesena), p) distribuzione del gas naturale; q) misura del gas naturale
TISGA S.R.L.,01472270709,Contrada MALECOSTE 1 - 86034 Guglionesi (Campobasso)," p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti"
TOSCANA ENERGIA S.P.A.,05608890488,Piazza Enrico Mattei 3 - 50127 Firenze (Firenze), a) produzione dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale
TRESCORE INFRASTRUTTURE S.R.L.,03002820169,Via Locatelli 65 - 24069 Trescore Balneario (Bergamo), p) distribuzione del gas naturale; q) misura del gas naturale
UMBRIA DISTRIBUZIONE GAS S.P.A.,01356930550,Via Bruno Capponi 100 - 05100 Terni (Terni), p) distribuzione del gas naturale; q) misura del gas naturale
UNARETI SPA,12883450152,Via Lamarmora 230 - 25124 Brescia (Brescia)," d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - altro - ( prestazioni diverse per la società del gruppo A2A (manutenzioni, collaudi) ) "
UNIGAS S.R.L.,01580820676,Corso Zona Ind. Colleranesco n. 5  5 - 64021 Giulianova (Teramo), p) distribuzione del gas naturale; q) misura del gas naturale
UNISERVIZI S.P.A.,03360110237,Via VIA L. PIRANDELLO 3/N 3/N - 37047 San Bonifacio (Verona), p) distribuzione del gas naturale; q) misura del gas naturale
V-RETI GAS S.R.L.,03855710541,Viale PALOMBARO 13 - 06034 Foligno (Perugia), p) distribuzione del gas naturale; q) misura del gas naturale
V-RETI S.P.A.,03178060236,Contrà Pedemuro San Biagio 72 - 36100 Vicenza (Vicenza)," d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - servizi prestati ad altre imprese ed enti, inclusi quelli prestati ad imprese rientranti nei settori del gas naturale e dell'energia elettrica (comma 26.2, lettera b) TIU)"
Val Chisone Rete Gas,10634340011,Via BARDONECCHIA 5 - 10139 Torino (Torino), p) distribuzione del gas naturale; q) misura del gas naturale
VALENZA RETE GAS S.P.A.,02360870063,Strada Vecchia Pontecurone 1 - 15048 Valenza (Alessandria), p) distribuzione del gas naturale; q) misura del gas naturale
VALNERINA SERVIZI S.C.P.A.,01860740545,Via VESPASIA POLLA 1 - 06046 Norcia (Perugia)," p) distribuzione del gas naturale; q) misura del gas naturale; u) distribuzione, misura e vendita di altri gas a mezzo di reti canalizzate"
Vent s.r.l.,01612730554,Via Studiosi 18 - 05022 Amelia (Terni), p) distribuzione del gas naturale; q) misura del gas naturale; t) vendita di gas naturale ai clienti finali a condizioni di libero mercato
VERDUCCI DISTRIBUZIONE S.R.L.,01501970675,Via S.S. 553 PER ATRI - KM. 13+400 - ZONA INDUSTRIALE SNC - 64024 Notaresco (Teramo), p) distribuzione del gas naturale; q) misura del gas naturale
VERGAS SRL,00742620834,Via Nazionale snc - 98070 Capri Leone (Messina), p) distribuzione del gas naturale
VIGEVANO DISTRIBUZIONE GAS SRL,02779850185,Viale Petrarca 68 - 27029 Vigevano (Pavia), p) distribuzione del gas naturale; q) misura del gas naturale
