ANNO,CODICE_MESE,NOME_MESE,CODICE_PRODOTTO,NOME_PRODOTTO,PREZZO,IVA,ACCISA,NETTO
2023,12,Dicembre,13,GNL,"1.430,96","258,04","4,66","1.168,26"
2024,1,Gennaio,13,GNL,"1.327,8","239,44","4,66","1.083,7"
2024,2,Febbraio,13,GNL,"1.234,9","222,69","4,66","1.007,55"
2024,3,Marzo,13,GNL,"1.151,06","207,57","4,66","938,83"
2024,4,Aprile,13,GNL,"1.133,76","204,45","4,66","924,65"
2024,5,Maggio,13,GNL,"1.169,3","210,86","4,66","953,78"
2024,6,Giugno,13,GNL,"1.200,78","216,53","4,66","979,59"
2024,7,Luglio,13,GNL,"1.236,43","222,96","4,66","1.008,81"
2024,8,Agosto,13,GNL,"1.236,27","222,93","4,66","1.008,68"
2024,9,Settembre,13,GNL,"1.289,11","232,46","4,66","1.051,99"
2024,10,Ottobre,13,GNL,"1.283,01","231,36","4,66","1.046,99"
2024,11,Novembre,13,GNL,"1.314,77","237,09","4,66","1.073,02"
2024,12,Dicembre,13,GNL,"1.372,43","247,49","4,66","1.120,28"
2025,1,Gennaio,13,GNL,"1.441,26","259,9","4,66","1.176,7"
2025,2,Febbraio,13,GNL,"1.490,13","268,71","4,66","1.216,76"
2025,3,Marzo,13,GNL,"1.489,21","268,55","4,66",1.216
2025,4,Aprile,13,GNL,"1.428,15","257,53","4,66","1.165,96"
2025,5,Maggio,13,GNL,"1.317,65","237,61","4,66","1.075,38"
2025,6,Giugno,13,GNL,"1.261,31","227,45","4,66","1.029,2"
2025,7,Luglio,13,GNL,"1.256,07","226,5","4,66","1.024,91"
2025,8,Agosto,13,GNL,"1.229,47","221,71","4,66","1.003,1"
2025,9,Settembre,13,GNL,"1.209,7","218,14","4,66","986,9"
2025,10,Ottobre,13,GNL,"1.205,82","217,44","4,66","983,72"
2025,11,Novembre,13,GNL,"1.197,24","215,89","4,66","976,69"
2025,12,Dicembre,13,GNL,"1.190,74","214,72","4,66","971,36"
2026,1,Gennaio,13,GNL,"1.189,14","214,43","4,66","970,05"
2026,2,Febbraio,13,GNL,"1.225,31","220,96","4,66","999,69"
2026,3,Marzo,13,GNL,"1.242,04","223,98","4,66","1.013,4"
2026,4,Aprile,13,GNL,"1.497,37","270,02","4,66","1.222,69"
2026,5,Maggio,13,GNL,"1.472,85","265,6","4,66","1.202,59"
2026,6,Giugno,13,GNL,"1.456,83","262,71","4,66","1.189,46"
