ANNO,CODICE_MESE,NOME_MESE,CODICE_PRODOTTO,NOME_PRODOTTO,PREZZO,IVA,ACCISA,NETTO
1996,1,Gennaio,8,O.C. denso BTZ,"149,74",0,"23,24","126,5"
1996,2,Febbraio,8,O.C. denso BTZ,"147,93",0,"23,24","124,69"
1996,3,Marzo,8,O.C. denso BTZ,"148,88",0,"23,24","125,64"
1996,4,Aprile,8,O.C. denso BTZ,"154,23",0,"23,24","130,99"
1996,5,Maggio,8,O.C. denso BTZ,"150,91",0,"23,24","127,67"
1996,6,Giugno,8,O.C. denso BTZ,"140,08",0,"23,24","116,84"
1996,7,Luglio,8,O.C. denso BTZ,"139,99",0,"23,24","116,75"
1996,8,Agosto,8,O.C. denso BTZ,"141,46",0,"23,24","118,22"
1996,9,Settembre,8,O.C. denso BTZ,"146,08",0,"23,24","122,84"
1996,10,Ottobre,8,O.C. denso BTZ,"152,01",0,"23,24","128,77"
1996,11,Novembre,8,O.C. denso BTZ,"151,35",0,"23,24","128,11"
1996,12,Dicembre,8,O.C. denso BTZ,"154,94",0,"23,24","131,7"
1997,1,Gennaio,8,O.C. denso BTZ,"151,98",0,"23,24","128,74"
1997,2,Febbraio,8,O.C. denso BTZ,"142,03",0,"23,24","118,79"
1997,3,Marzo,8,O.C. denso BTZ,"141,14",0,"23,24","117,9"
1997,4,Aprile,8,O.C. denso BTZ,"137,11",0,"23,24","113,87"
1997,5,Maggio,8,O.C. denso BTZ,"134,73",0,"23,24","111,49"
1997,6,Giugno,8,O.C. denso BTZ,"137,3",0,"23,24","114,06"
1997,7,Luglio,8,O.C. denso BTZ,"137,99",0,"23,24","114,75"
1997,8,Agosto,8,O.C. denso BTZ,"144,06",0,"23,24","120,82"
1997,9,Settembre,8,O.C. denso BTZ,"142,26",0,"23,24","119,02"
1997,10,Ottobre,8,O.C. denso BTZ,"145,86",0,"23,24","122,62"
1997,11,Novembre,8,O.C. denso BTZ,"154,75",0,"23,24","131,51"
1997,12,Dicembre,8,O.C. denso BTZ,"147,74",0,"23,24","124,5"
1998,1,Gennaio,8,O.C. denso BTZ,"139,79",0,"23,24","116,55"
1998,2,Febbraio,8,O.C. denso BTZ,"129,1",0,"23,24","105,86"
1998,3,Marzo,8,O.C. denso BTZ,"122,15",0,"23,24","98,91"
1998,4,Aprile,8,O.C. denso BTZ,"128,17",0,"23,24","104,93"
1998,5,Maggio,8,O.C. denso BTZ,"127,63",0,"23,24","104,39"
1998,6,Giugno,8,O.C. denso BTZ,"123,45",0,"23,24","100,21"
1998,7,Luglio,8,O.C. denso BTZ,"124,34",0,"23,24","101,1"
1998,8,Agosto,8,O.C. denso BTZ,"118,68",0,"23,24","95,44"
1998,9,Settembre,8,O.C. denso BTZ,"117,03",0,"23,24","93,79"
1998,10,Ottobre,8,O.C. denso BTZ,"118,38",0,"23,24","95,14"
1998,11,Novembre,8,O.C. denso BTZ,"113,26",0,"23,24","90,02"
1998,12,Dicembre,8,O.C. denso BTZ,"108,08",0,"23,24","84,84"
1999,1,Gennaio,8,O.C. denso BTZ,"119,66",0,"26,92","92,74"
1999,2,Febbraio,8,O.C. denso BTZ,"120,66",0,"31,39","89,27"
1999,3,Marzo,8,O.C. denso BTZ,"121,47",0,"31,39","90,08"
1999,4,Aprile,8,O.C. denso BTZ,"127,42",0,"31,39","96,03"
1999,5,Maggio,8,O.C. denso BTZ,"133,98",0,"31,39","102,59"
1999,6,Giugno,8,O.C. denso BTZ,"136,05",0,"31,39","104,66"
1999,7,Luglio,8,O.C. denso BTZ,"149,01",0,"31,39","117,63"
1999,8,Agosto,8,O.C. denso BTZ,"162,18",0,"31,39","130,79"
1999,9,Settembre,8,O.C. denso BTZ,"171,68",0,"31,39","140,29"
