ANNO,CODICE_MESE,NOME_MESE,CODICE_PRODOTTO,NOME_PRODOTTO,PREZZO,IVA,ACCISA,NETTO
2023,12,Dicembre,12,Metano,"1.413,53","254,9","4,66","1.153,97"
2024,1,Gennaio,12,Metano,"1.393,1","251,21","4,66","1.137,23"
2024,2,Febbraio,12,Metano,"1.357,59","244,81","4,66","1.108,12"
2024,3,Marzo,12,Metano,"1.317,64","237,61","4,66","1.075,37"
2024,4,Aprile,12,Metano,"1.301,59","234,71","4,66","1.062,22"
2024,5,Maggio,12,Metano,"1.304,1","235,16","4,66","1.064,28"
2024,6,Giugno,12,Metano,"1.306,92","235,68","4,66","1.066,58"
2024,7,Luglio,12,Metano,"1.311,44","236,49","4,66","1.070,29"
2024,8,Agosto,12,Metano,"1.314,95","237,12","4,66","1.073,17"
2024,9,Settembre,12,Metano,"1.331,03","240,02","4,66","1.086,35"
2024,10,Ottobre,12,Metano,"1.334,42","240,63","4,66","1.089,13"
2024,11,Novembre,12,Metano,"1.356,24","244,57","4,66","1.107,01"
2024,12,Dicembre,12,Metano,"1.406,28","253,59","4,66","1.148,03"
2025,1,Gennaio,12,Metano,"1.456,37","262,62","4,66","1.189,09"
2025,2,Febbraio,12,Metano,"1.519,06","273,93","4,66","1.240,47"
2025,3,Marzo,12,Metano,"1.513,37","272,9","4,66","1.235,81"
2025,4,Aprile,12,Metano,"1.478,96","266,7","4,66","1.207,6"
2025,5,Maggio,12,Metano,"1.439,86","259,65","4,66","1.175,55"
2025,6,Giugno,12,Metano,"1.421,77","256,38","4,66","1.160,73"
2025,7,Luglio,12,Metano,"1.418,3","255,76","4,66","1.157,88"
2025,8,Agosto,12,Metano,"1.407,68","253,84","4,66","1.149,18"
2025,9,Settembre,12,Metano,"1.401,96","252,81","4,66","1.144,49"
2025,10,Ottobre,12,Metano,"1.392,92","251,18","4,66","1.137,08"
2025,11,Novembre,12,Metano,"1.384,58","249,68","4,66","1.130,24"
2025,12,Dicembre,12,Metano,"1.377,69","248,44","4,66","1.124,59"
2026,1,Gennaio,12,Metano,"1.383,56","249,5","4,66","1.129,4"
2026,2,Febbraio,12,Metano,"1.389,39","250,55","4,66","1.134,18"
2026,3,Marzo,12,Metano,"1.474,39","265,87","4,66","1.203,86"
2026,4,Aprile,12,Metano,"1.561,56","281,59","4,66","1.275,31"
2026,5,Maggio,12,Metano,"1.545,75","278,74","4,66","1.262,35"
2026,6,Giugno,12,Metano,"1.544,62","278,54","4,66","1.261,42"
