DATA_RILEVAZIONE,BENZINA,GASOLIO_AUTO,GPL,METANO,GNL,GASOLIO_RISCALDAMENTO,O.C._FLUIDO_BTZ,O.C._DENSO_BTZ
2005-07-18,"1,52","1,4",0,,,"-9,03","-2,72","-4,08"
2005-07-25,"-1,97","-1,24",0,,,"-15,97","2,1","-6,26"
2005-08-01,"0,56",0,0,,,"5,98","-7,83","2,63"
2005-08-08,0,"0,69",0,,,"2,64","9,85","-0,14"
2005-08-22,"29,34","24,44","1,72",,,"22,42","-2,44","4,65"
2005-08-29,"1,45","0,64",0,,,"23,8","18,24","3,07"
2005-09-05,"29,84","21,23",0,,,"36,7","23,68","30,14"
2005-09-12,"22,95","27,77","23,06",,,"-26,52","-11,76","-8,97"
2005-09-19,"-33,38","-28,29","0,78",,,"2,8","8,98","6,27"
2005-09-26,"-3,04","-0,94","0,54",,,"9,93","13,55","16,48"
2005-10-03,"41,8","39,43","13,7",,,"15,02","-3,7","-1,37"
2005-10-10,"2,64","0,99","5,76",,,"-12,63","-4,26","-19,7"
2005-10-17,"-3,79","-1,38",0,,,"8,7","11,38","16,72"
2005-10-24,"-38,49","-8,56",0,,,"-19,94","-4,03","-5,44"
2005-10-31,"-38,77","-39,13","2,29",,,"-1,99","-0,6","-2,18"
2005-11-07,"-1,73","-1,68","3,18",,,"-19,28","-12,74","-17,54"
2005-11-14,"-9,13","-29,01","2,09",,,"-12,38","0,46","2,15"
2005-11-21,"-19,33","-19,87","19,36",,,"-1,08","-2,61","6,15"
2005-11-28,"-0,43",0,"3,08",,,"-16,23","4,36","-14,45"
2005-12-05,"-18,98","-10,37","7,75",,,"10,14","-6,8","-9,36"
2005-12-12,"7,28","6,76",0,,,"3,09","5,24","24,77"
2005-12-19,"13,54","13,51","0,76",,,"7,55","3,95","-1,81"
2006-01-02,"-10,81","-10,57",0,,,"-12,34","-11,23","-4,47"
2006-01-09,"38,49","37,97","26,49",,,"24,46","13,01","15,27"
2006-01-16,"3,99","1,27","5,73",,,"-5,44","-0,16","-0,22"
2006-01-23,"0,38","-0,07","1,71",,,"14,23","8,18","14,72"
2006-01-30,"0,24","0,39","3,91",,,"-5,37","2,34","-5,96"
2006-02-06,"-2,14","-0,08","0,5",,,"1,41","5,22","9,62"
2006-02-13,"-0,26",0,0,,,"-9,99","1,25","3,86"
2006-02-20,"-29,56","-20,07",0,,,"-2,27","-1,83","-3,87"
2006-02-27,-2,"0,78",0,,,"3,13","5,7","6,71"
2006-03-06,"29,65","29,04","5,39",,,"20,2","5,44","-11,28"
2006-03-13,0,"0,13",0,,,"-12,11","-10,47","-10,32"
2006-03-20,"5,8","1,95",0,,,3,"7,22","5,47"
2006-03-27,"-0,33","0,36",0,,,"2,13","-7,81","-7,85"
2006-04-03,"25,17","0,05","-7,75",,,"6,29","9,67","-2,81"
2006-04-10,"3,33","0,1","-18,31",,,"-0,71","-6,39","0,76"
2006-04-24,"48,04","38,48","-3,59",,,"26,85","6,38","9,81"
2006-05-01,"4,04","2,75",0,,,"1,22","-9,76","-4,94"
2006-05-02,"4,04","2,75",0,,,"1,22","-9,76","-4,94"
2006-05-08,"3,23","1,78",0,,,"-6,39","10,4","-3,08"
2006-05-15,"-1,07","-10,59",0,,,"11,9","-10,35","-0,13"
2006-05-22,"-6,88","-3,81",0,,,"-19,41","5,55","-6,68"
2006-05-29,"-1,53","-1,75",0,,,"-1,51","1,25","4,47"
2006-06-05,"0,59","0,52",0,,,"-0,74","-3,22","-1,96"
2006-06-12,"0,32","0,13",0,,,"1,91","-2,7","-6,87"
2006-06-19,0,0,0,,,"3,73","6,91","-8,99"
2006-06-26,0,0,0,,,"0,86","-0,66","0,04"
2006-07-03,"17,37",0,0,,,"3,94","-3,45","0,13"
2006-07-10,"13,02","4,75",0,,,"-4,86","2,18","3,8"
2006-07-17,"17,97","5,39",0,,,"13,66","8,09","14,24"
2006-07-24,"2,34",0,0,,,"-12,71","-2,63","-5,06"
2006-07-31,"-0,26","-0,83",0,,,"3,41","2,67","2,74"
2006-08-07,"1,42",0,"-0,57",,,"6,03","7,11","3,71"
2006-08-14,"0,9","0,26",0,,,"1,59","-0,13","-1,17"
2006-08-21,"-27,41","0,33",0,,,"-4,49","-4,74","-13,1"
2006-08-28,"-32,12","-0,21",0,,,"6,5","-11,37","-2,45"
2006-09-04,"-36,64","-18,26","-0,02",,,"-6,98","9,71","-8,32"
2006-09-11,"-21,97","-10,95","-0,62",,,"-13,6","-10,29","-12,32"
2006-09-18,"-19,78","-19,2","-0,56",,,"-28,68","-15,95","-14,4"
2006-09-25,"-20,04","-29,72","-0,18",,,"-17,76","-10,82","-16,97"
2006-10-02,"-1,36","-1,54","-0,64",,,"3,78","-12,97","2,45"
2006-10-09,"-10,13","-10,18","-39,63",,,"-4,29","-5,21","-3,91"
2006-10-16,"-0,24",0,0,,,"-0,27","4,09","10,64"
2006-10-23,0,0,0,,,"-2,04","-1,83","-4,77"
2006-10-30,0,"0,06",0,,,"5,35","-2,2","-0,19"
2006-11-06,"0,24","-0,21",0,,,"-16,66","-6,71","-2,32"
2006-11-13,"-0,1","-0,67",0,,,"9,23","0,48","0,36"
2006-11-20,"-1,15","-2,38",0,,,"-0,08","-1,29","-3,58"
2006-11-27,"0,11","0,11",0,,,"-5,71","-6,3","-6,45"
2006-12-04,"0,33",0,0,,,"13,99","8,34","1,9"
2006-12-11,0,0,0,,,"-9,5","-6,83","-5,92"
2006-12-18,0,0,0,,,"1,71","-3,24","3,2"
2007-01-08,"-0,54","0,42",0,,,"-26,83","-9,27","-7,94"
2007-01-15,"-10,99","-16,26",0,,,"-9,52","-0,24","-0,96"
2007-01-22,"-8,9","-18,17",0,,,"-12,31","-15,46","-12,42"
2007-01-29,"-0,57","-0,14",0,,,"13,48","18,77","8,23"
2007-02-05,"0,37","-0,38",0,,,"7,64","0,5","7,84"
2007-02-12,"2,2","2,34",0,,,"2,4","6,27","11,54"
2007-02-19,"0,67","0,39",0,,,"-7,01","-6,53","-9,9"
2007-02-26,"20,2","15,76",0,,,"10,93","8,27","8,06"
2007-03-05,"9,83","1,93",0,,,"4,12","0,42","7,97"
2007-03-12,"9,78","9,16",0,,,"3,33","3,3",1
2007-03-19,"-0,52",0,0,,,"-2,61","-6,87","-3,77"
2007-03-26,"-0,32","-0,47",0,,,"1,4","1,3","7,37"
2007-04-02,"15,97","5,41",0,,,"16,56","10,7","12,45"
2007-04-16,"19,81","13,41","22,26",,,"12,67","13,45","4,33"
2007-04-23,"3,4","0,85","9,37",,,"-8,54","5,19","3,14"
2007-04-30,"14,02","0,59","-19,62",,,"0,84","-7,39","8,46"
2007-05-07,"15,8","0,59",0,,,"2,94","2,54","3,03"
2007-05-14,"3,4","-0,3","-1,49",,,"-0,66","-0,94","-5,3"
2007-05-21,"13,72","2,89","-2,42",,,"6,81","2,77","5,89"
2007-05-28,"16,18","7,44","-1,5",,,"3,83","1,98",11
2007-06-04,"1,12","8,45",0,,,"-8,78","0,21","-7,36"
2007-06-11,"2,36","2,99",0,,,"11,14","3,49","5,67"
2007-06-18,"-0,07","1,13","-1,5",,,"3,61","4,42","4,54"
2007-06-25,"4,79","4,45",0,,,"5,04","6,33","2,55"
2007-07-02,"0,16","1,46","1,49",,,"-4,67","-0,87","11,37"
2007-07-09,"1,26","0,78",0,,,"7,97","14,55","5,9"
2007-07-16,"6,53","5,81","9,81",,,"3,43","-4,28","-2,61"
2007-07-23,"-2,18","-0,08",0,,,"1,75","1,24","7,86"
2007-07-30,"-8,17","8,18",0,,,"2,81","2,19","1,44"
2007-08-06,"-15,6","9,74","-0,06",,,"1,7","0,93","-3,21"
2007-08-13,"-30,53","-7,83","0,55",,,"-9,94","-15,89","-8,34"
2007-08-20,"-1,25","-2,98","-0,55",,,"-4,81","5,32","4,53"
2007-08-27,"-7,53",-7,0,,,"-2,47","-14,85","-16,69"
2007-09-03,"4,35","3,31",0,,,"8,12","3,56","5,63"
2007-09-10,"10,86","5,78","0,64",,,"9,86","16,51","6,48"
2007-09-17,"-1,33","15,07",0,,,"12,01","1,95","3,87"
2007-09-24,"5,74","8,86",0,,,"9,75","2,61","0,41"
2007-10-01,"0,85","5,71",0,,,"-4,77","-10,86","-4,63"
2007-10-08,"-2,61","0,2",0,,,"-10,44","10,17","4,18"
2007-10-15,"0,35",0,"1,53",,,"10,47","8,39","10,87"
2007-10-22,"1,63","4,21","11,09",,,"16,02","12,9","6,34"
2007-10-29,"5,63","6,27","4,99",,,"10,57","9,3","8,88"
2007-11-05,"12,56","15,54","3,53",,,"26,36","31,15","21,2"
2007-11-12,"24,77","30,03","5,91",,,"23,54","0,33","16,26"
2007-11-19,"4,02","4,78","3,72",,,"-2,29","-0,2","-9,39"
2007-11-26,"3,44","25,02","8,97",,,"16,03","16,09","12,39"
2007-12-03,"-0,44","2,35","2,31",,,"-9,74","-9,88","-15,46"
2007-12-10,"-1,45","-1,53","0,49",,,"-17,66","-5,71","-6,13"
2007-12-17,"-3,33","-8,67","1,03",,,"10,96","17,11","-3,61"
2007-12-31,"0,5","-0,41","1,17",,,"0,44","-4,72","26,71"
2008-01-07,"18,02","14,88","1,21",,,"6,4","26,14","10,59"
2008-01-14,"-5,24","-8,61",0,,,"-0,57","-32,43","-16,41"
2008-01-21,"-15,95","-26,72","2,3",,,"-20,23","1,86","-17,37"
2008-01-28,"-4,24","-5,65","9,85",,,"-1,87","-4,47","-9,02"
2008-02-04,"1,17","3,92","6,84",,,"0,27","-6,21","3,85"
2008-02-11,"-0,57","0,02",0,,,"3,63","17,53","-5,08"
2008-02-18,"14,67","20,07","0,6",,,"33,28","20,82","15,38"
2008-02-25,"18,03","30,19",0,,,"12,5","13,65","3,41"
2008-03-03,"3,41","4,4",0,,,"9,82","-3,43","-2,29"
2008-03-10,"0,29","11,62",0,,,"26,21","9,7","0,96"
2008-03-17,"-3,23","23,93",0,,,"9,66","7,1","2,28"
2008-03-31,"-22,39","-22,06","-10,11",,,"-17,18","-0,49","-13,42"
2008-04-07,"1,07","-0,47","-0,98",,,"-6,98","15,39","18,67"
2008-04-14,"16,2","19,54","-2,97",,,"28,8","16,87","9,36"
2008-04-21,"0,32","20,35",0,,,"16,24","5,92","3,22"
2008-04-28,"15,13","10,75",0,,,"16,36","0,11","2,42"
2008-05-05,"35,75","34,25","10,72",,,"10,08","8,34","2,83"
2008-05-12,"27,48","34,29","0,72",,,"61,89","37,63","22,38"
2008-05-19,"14,08","21,41",0,,,"25,72","10,96","15,36"
2008-05-26,"23,94","26,45","1,97",,,"28,27","14,1","3,68"
2008-06-02,"-0,7","-3,3","0,07",,,"-13,98","-23,42","8,41"
2008-06-09,"6,38","7,64","0,24",,,"-4,94","8,99","4,39"
2008-06-16,"21,86","22,49","1,97",,,"29,81","33,23","23,42"
