DATA_RILEVAZIONE,BENZINA,GASOLIO_AUTO,GPL,METANO,GNL,GASOLIO_RISCALDAMENTO,O.C._FLUIDO_BTZ,O.C._DENSO_BTZ
2012-04-02,"13,53","2,47","3,18",,,"-9,37","-0,59","4,8"
2012-04-09,"8,17","-1,11","0,21",,,"-1,17","5,42","-2,15"
2012-04-16,"5,4","-1,98","-11,31",,,"-0,85","1,12","4,48"
2012-04-23,"-2,44","-4,28","-5,46",,,"0,7","-13,04","-22,2"
2012-04-30,"-1,9","-3,48","-5,38",,,"-0,71","1,25","-0,03"
2012-05-07,"-20,9","-4,87","-13,58",,,"-18,32","-7,48","-2,14"
2012-05-14,"-44,24","-27,85","-24,9",,,"-9,7","-17,65","-21,92"
2012-05-21,"-9,33","-9,93","-13,81",,,"-6,91","-15,35","-6,42"
2012-05-28,"-2,33","-5,49","-4,14",,,"-2,5","-4,53","-1,95"
2012-06-04,"3,17","-0,98","-0,34",,,"-15,91","-9,67","-20,05"
2012-06-11,"-10,12","-13,68","-12,63",,,"-21,1","-11,03","-16,5"
2012-06-18,"-12,83","-15,48","-21,27",,,"-8,93","-9,45","-5,13"
2012-06-25,"-24,81","-26,3","-25,83",,,"-14,11","-17,08","-26,87"
2012-07-02,"-10,65","-9,24","-9,87",,,"2,85","6,21","14,38"
2012-07-09,"23,35","21,17",-3,,,"29,58","34,25","27,54"
2012-07-16,"14,35","14,05","-4,19",,,"10,06","-15,75","11,16"
2012-07-23,"20,29","34,21","-5,43",,,"31,69","25,21","30,54"
2012-07-30,"1,6","4,87","-1,37",,,"-6,72","-7,59","-8,04"
2012-08-06,"6,44","1,45","20,48",,,"-2,22","-9,35",-3
2012-08-13,"26,18",22,"23,16",,,"17,9","15,65","23,69"
2012-08-20,"35,33","29,03","6,7",,,"16,93","9,28","16,04"
2012-08-27,"22,71","18,94","5,26",,,"12,35","17,01","-11,27"
2012-09-03,"0,48","0,7","1,58",,,"-2,14","5,3","4,29"
2012-09-10,"19,2","17,86","26,05",,,"0,47","11,71","4,36"
2012-09-17,"-12,17","-4,65","18,41",,,"-5,08","-8,01","-5,03"
2012-09-24,"-31,91","-25,74","2,51",,,"-24,85","-25,37","-43,76"
2012-10-01,"-0,55","-0,74","3,91",,,"2,1","3,91","3,1"
2012-10-08,"-8,4","-1,99","8,92",,,"-0,28","-11,75",-18
2012-10-15,"8,64","5,29","4,55",,,"19,74","-2,63","9,88"
2012-10-22,"-20,65","-2,76","0,63",,,"-12,48","-15,04","-17,88"
2012-10-29,"-29,38","-15,42","0,06",,,"-16,82","9,65","-1,36"
2012-11-05,"-32,04","-16,03","4,69",,,"-10,16","-8,38","-6,25"
2012-11-12,"-16,77","-10,88","18,8",,,"-14,1","-4,23","-6,29"
2012-11-19,"3,12","2,63","2,04",,,"9,07","1,76","4,81"
2012-11-26,"4,91","4,75","0,18",,,"2,83","-1,44","-10,72"
2012-12-03,"-4,4","-4,35","0,53",,,"1,15","-6,71","-11,49"
2012-12-10,"-7,63","-8,77","-4,12",,,"-19,59","-12,17","-7,78"
2012-12-17,"2,84","-1,77","1,77",,,"-0,04","5,33","7,45"
2013-01-14,"7,83","1,21","-5,32",,,"10,54","17,64","25,91"
2013-01-21,"-16,99","-17,16","-7,9",,,"-16,05","-6,14","-20,88"
2013-01-28,"9,17","7,87","-4,87",,,"11,94","-0,56","13,87"
2013-02-04,"13,16","3,41","-2,14",,,"-2,69","-4,76","-5,36"
2013-02-11,"13,76","2,45","-2,12",,,"17,2","19,56","24,15"
2013-02-18,"17,69","8,15","0,05",,,9,"7,78","7,79"
2013-02-25,"14,41","5,95","-0,87",,,"-8,88","-12,65","-24,56"
2013-03-04,"-0,7","-4,94","-5,54",,,"-21,31","-12,05","-11,95"
2013-03-11,"-5,9","-7,48","-7,71",,,"-3,56","1,11","0,63"
2013-03-18,"-15,6","-11,56","-6,65",,,"-6,83","-7,39","-10,1"
2013-03-25,"-7,82","-7,93","0,86",,,"-8,46","-5,19","-2,96"
2013-04-08,"-9,36","-11,75","-13,16",,,"-2,75","-15,49","-7,82"
2013-04-15,"-17,95","-18,53","-25,87",,,"-17,47","7,46","-13,58"
2013-04-22,"-30,24","-27,17","-1,54",,,"-17,49","-1,61","-17,82"
2013-04-29,"-11,7","-13,51","-0,11",,,"9,29","-12,75","14,11"
2013-05-06,"1,94","0,39","-13,62",,,"-44,9","-39,03","-19,88"
2013-05-13,"-3,25","-3,3","-16,53",,,"34,58","41,43","35,99"
2013-05-20,"7,3","9,85","0,33",,,"7,4","14,08","-3,14"
2013-05-27,"15,83","13,03","-1,09",,,"-14,54","-14,4","-9,94"
2013-06-03,"3,51","3,18","-9,16",,,"-2,45","-6,74","-2,94"
2013-06-10,"-1,02","-4,51","-2,9",,,"-9,02","4,38","7,08"
2013-06-17,"-4,3","-4,71","-1,16",,,"2,87","-7,3","-5,73"
2013-06-24,"0,99","3,37","0,18",,,"-9,26","-9,49","-4,45"
2013-07-01,"2,88","0,39","1,24",,,"33,24","17,1","1,33"
2013-07-08,"5,66","6,13","11,65",,,"10,21","3,9","5,21"
2013-07-15,"21,44","20,81","10,5",,,"2,19","-0,31","4,02"
2013-07-22,"9,28","8,53","5,89",,,"11,04","-3,32","-4,46"
2013-07-29,"-0,12","-0,52","-3,98",,,"-13,56","-5,03","-2,18"
2013-08-05,"-1,48","-1,05","8,98",,,"10,01","1,24","1,49"
2013-08-12,"-1,02","-1,37","4,51",,,"-16,06","21,34","-22,16"
2013-08-19,"-6,78","-5,35","0,61",,,"17,36","-12,42","29,3"
2013-08-26,"6,97",7,"0,09",,,"-5,1","2,82","-1,16"
2013-09-02,"12,65","9,79","1,35",,,"26,79","21,09","6,21"
2013-09-09,"4,4","10,99","10,46",,,"0,88","-7,67","3,56"
2013-09-16,"-10,16","0,97","-0,64",,,"-1,55","-3,12","-5,39"
2013-09-23,"-22,02","-4,2","-7,02",,,"-22,75","-11,39","-10,71"
2013-09-30,"-20,26","-15,13","-2,86",,,"-15,09","-3,54","-4,33"
2013-10-07,"-0,05","0,69","-0,81",,,"11,56","-4,75","-7,71"
2013-10-14,"-4,87","-2,97","-3,45",,,"19,83","24,93","3,39"
2013-10-21,"-2,01","-1,73","-0,88",,,"-17,05","-10,1","-8,3"
2013-10-28,"-9,43","-8,1","-5,44",,,"-11,88","-36,98","-15,37"
2013-11-04,"-16,51","-16,37","-2,58",,,"10,13","33,83","6,9"
2013-11-11,"-0,32","-0,52","3,02",,,"-25,52","-27,15","4,07"
2013-11-18,"1,34",2,"0,23",,,"27,86","34,12","7,19"
2013-11-25,"12,38","11,05","4,95",,,"7,77","2,51","6,47"
2013-12-02,"11,79","10,38","3,56",,,"9,42","12,37","5,87"
2013-12-09,"2,51","0,81","54,95",,,"4,08","2,68","5,32"
2013-12-16,"-0,27","-1,65","25,7",,,"-14,78","-21,53","-15,52"
2014-01-06,"1,13","0,68","16,91",,,"-8,47","-6,61","-15,02"
2014-01-13,"-6,64","-6,96","-9,84",,,"-12,99","9,15","6,81"
2014-01-20,"-4,29","-7,75","-14,95",,,"3,54","-2,36","5,89"
2014-01-27,"-2,98","-2,45","-9,98",,,"11,48","1,89","2,88"
2014-02-03,"-1,62","-0,18","-9,96",,,"5,18","11,8","19,04"
2014-02-10,"-2,65","-2,89","-22,35",,,"-4,07","1,06","5,71"
2014-02-17,"3,56","1,56","-8,88",,,"3,9","0,94","1,45"
2014-02-24,"3,21","-1,06","-6,95",,,"5,18","4,49","5,89"
2014-03-03,0,"-1,09","-4,05",,,"-7,11","1,93","-4,72"
2014-03-10,"-0,77","-0,47","-11,88",,,"-9,64","-6,16","-0,05"
2014-03-17,"-4,28","-8,01","-14,58",,,"-7,3","-8,39","-10,13"
2014-03-24,"-8,27","-11,36","-2,99",,,"4,21","3,08","7,6"
2014-03-31,"9,89","6,8","-4,51",,,"-6,34","-4,3","3,73"
2014-04-07,"8,41","4,64","0,5",,,"-8,5","2,35","-4,2"
2014-04-14,"2,75","1,19","1,13",,,"2,49","-4,32","-10,35"
2014-04-28,"11,94","4,48","0,46",,,"10,8","-8,56","-9,2"
2014-05-05,"1,42","0,91","-0,38",,,"-9,04","2,5","1,04"
2014-05-12,"-2,62","-4,04","-9,21",,,"-2,7","-6,14","-2,51"
2014-05-19,"-1,47","-2,68","-4,32",,,"13,33","8,54","19,32"
2014-05-26,"4,52","2,09","-0,59",,,"8,78","23,62","12,85"
2014-06-02,"-0,12","1,75","3,81",,,"-18,97","-17,62","-4,16"
2014-06-09,1,"-2,14","4,46",,,"-3,51","9,65","-3,97"
2014-06-16,"1,17","0,39","5,47",,,"14,64","6,77","9,36"
2014-06-23,"11,9","8,09","-0,31",,,"14,92","-2,1","-7,36"
2014-06-30,6,"5,15","2,23",,,"-2,14","-2,33","-2,54"
2014-07-07,"3,06","0,76","-0,98",,,"-10,59","-4,51","-10,55"
2014-07-14,"0,82","-5,63","1,78",,,"-9,59","-5,96",-7
2014-07-21,"-4,44","-11,21","-0,34",,,"-0,78","-11,85","-8,59"
2014-07-28,"-0,83","-3,82","-2,31",,,"4,72","0,81","-0,7"
2014-08-04,"-2,7","0,36","0,28",,,"4,4","0,53","0,14"
2014-08-11,"-3,83","-0,21","-0,67",,,"-2,6","-3,09","-10,46"
2014-08-18,"-2,7","-1,21","-0,81",,,"-6,43","-1,97","-5,51"
2014-08-25,"-7,56","-3,44","0,19",,,"0,11","-0,26","7,27"
2014-09-01,"-1,85","-0,73",0,,,"2,65","5,47","7,54"
2014-09-08,"-2,38","-0,94","-8,35",,,"5,26","4,46","7,77"
2014-09-15,"-2,03","-1,27","-3,25",,,"-10,02","-7,76","-10,94"
2014-09-22,"-4,85","-3,28","-0,27",,,"-5,06","-3,42","-4,02"
2014-09-29,"-5,88","-4,96","-3,11",,,"-1,15","2,75","6,43"
2014-10-06,"-1,53","-0,99","0,8",,,"-17,08",-12,"-18,63"
2014-10-13,"-4,99","-7,23","-5,65",,,"-6,29","-16,84","-24,4"
2014-10-20,"-19,68","-16,63","1,19",,,"-24,73","-24,57","-37,06"
2014-10-27,"-16,99","-12,06","-0,01",,,"2,62","7,26","12,47"
2014-11-03,"-15,06","-7,44","-5,95",,,"3,8","-0,1","1,26"
2014-11-10,"-8,61","-6,43","-16,38",,,"-3,98","-6,49","-21,23"
2014-11-17,"-9,46","-5,21","-12,32",,,"-9,05","-13,59","-9,54"
2014-11-24,"-13,13","-9,89","-3,97",,,"-6,57","-8,02","-11,19"
2014-12-01,"-10,97","-9,56","0,08",,,"-22,79","-18,42","-25,58"
2014-12-08,"-28,15","-25,73","-21,03",,,"-12,26","-5,45","-4,58"
2014-12-15,"-29,74","-33,21","-15,49",,,"-44,95","-11,66","-26,66"
2015-01-05,"-60,11","-46,98","-25,67",,,"-30,52","-34,25","-38,38"
2015-01-12,"-32,93","-37,83","-19,47",,,"-43,9","-35,78","-19,38"
2015-01-19,"-24,53","-27,88","-12,83",,,"-22,52","-1,75","-4,98"
2015-01-26,"-11,25","-11,98","-1,23",,,"16,89","5,49","7,77"
2015-02-02,"8,67","8,2","5,64",,,"-4,22","17,05","7,77"
2015-02-09,"31,55","31,57","-0,35",,,"42,3","19,08","42,33"
2015-02-16,"36,43","36,22","-0,38",,,"0,53","-22,69","8,54"
2015-02-23,"19,99","22,57","-0,55",,,"21,05","32,59","-5,17"
2015-03-02,"13,12","13,72","2,41",,,"9,56","0,35","12,95"
2015-03-09,"15,53","8,1","18,48",,,"5,25","15,1","8,21"
2015-03-16,"13,25","-0,88","6,33",,,"-4,37","-35,37","-15,17"
2015-03-23,"2,58","-11,02","9,19",,,"-14,11","16,36","-2,56"
2015-03-30,"-0,13","-5,6","5,5",,,"2,57","6,29","9,97"
2015-04-13,"-3,36","-9,04","-2,55",,,"-9,33","-34,66","-5,11"
2015-04-20,"10,05","10,38","-12,2",,,"29,21","40,67","25,08"
2015-04-27,"17,05","15,63","0,3",,,"22,25","9,54","11,75"
2015-05-04,"8,85","7,92","-2,03",,,"2,69","-7,54","-3,54"
2015-05-11,"6,09","6,08","-2,66",,,"5,25","-3,45","-5,12"
2015-05-18,"-0,59","1,11","-2,16",,,"9,16","-0,75","-2,34"
2015-05-25,"-1,89","-0,79","-0,85",,,"3,35","0,06","-1,75"
2015-06-01,"1,93","2,45","-0,68",,,"-12,88","-6,79","-7,05"
2015-06-08,"2,85","-2,45","-10,68",,,"-17,28","-16,97","-11,02"
2015-06-15,"4,2","-8,01","-14,27",,,"3,24","6,51","13,43"
2015-06-22,"8,32","-0,92","-4,14",,,"4,1","18,45","-7,83"
2015-06-29,"-3,68","-9,64","-5,16",,,"-5,91","2,99","-0,74"
2015-07-06,"-2,65","-3,27","-1,21",,,"-2,81","2,04","-4,08"
2015-07-13,"2,85","-6,94","-0,61",,,"-16,22","-13,16","-16,89"
2015-07-20,"1,71","-5,38","0,23",,,"-12,85","0,76","2,98"
2015-07-27,"-13,32","-15,08","-1,13",,,"-12,33","-7,27","-13,43"
2015-08-03,"-23,84","-15,7","-0,64",,,"-20,08","-21,54","-10,06"
2015-08-10,"-18,41","-15,05","-3,61",,,"-11,74","-4,5","-18,41"
2015-08-17,"-10,86","-6,51","0,58",,,"4,08","69,78","-14,85"
2015-08-24,"-20,42","-14,15","-0,46",,,"-31,37","-93,06","-14,78"
2015-08-31,"-36,82","-30,43","-4,26",,,"-22,62","-14,77","-20,51"
2015-09-07,"-7,93","6,12","-4,56",,,"39,03","24,14","33,77"
2015-09-14,"4,32","12,43","-5,21",,,"-3,41","-18,95",-21
2015-09-21,"-14,74","-10,63","-1,17",,,"-12,79","4,87","-4,32"
2015-09-28,"-9,51","-6,75","-1,19",,,"-3,23","-12,64","-5,63"
2015-10-05,"-5,21","-3,09","-0,4",,,"2,88","10,99","6,25"
2015-10-12,"7,48","4,46","2,22",,,"7,11","0,57","19,36"
2015-10-19,"-4,09","-3,57","0,39",,,"-31,34","-4,93","-16,02"
2015-10-26,"-15,09","-11,06","0,12",,,"-5,12","-8,61","4,45"
2015-11-02,"-5,52","-0,69","-0,65",,,"17,67","2,28","12,42"
2015-11-09,"6,85","7,35","2,37",,,"-2,76","0,2","-4,29"
2015-11-16,"-1,86","-1,27","-0,17",,,"-6,55","-8,86","-15,83"
2015-11-23,"-10,45","-10,04","0,04",,,"-7,09","-10,07","-4,55"
2015-11-30,"7,17","4,17","0,34",,,"4,3","2,48","4,37"
2015-12-07,"2,65","-5,42","7,57",,,"-18,77","-26,41","-11,57"
2015-12-14,"-9,04","-21,28","9,52",,,"-28,95","14,38","-23,4"
2015-12-21,"-11,93","-33,48","1,46",,,"-38,3","-5,59","-12,1"
2016-01-04,"-9,12","-22,26","0,65",,,"4,49","-2,46","-6,95"
2016-01-11,"-3,41","-8,75","-8,81",,,"-1,63","-4,13","-2,85"
2016-01-18,"-17,28","-25,4","-10,28",,,"-29,7","-14,97","-27,57"
2016-01-25,"-17,29","-25,91","-3,36",,,"-14,85","-4,69","-1,4"
2016-02-01,"-4,63","-9,87","-3,84",,,"20,81","11,09","26,9"
2016-02-08,"4,93","11,38","-13,98",,,"4,58","-4,13","-10,54"
2016-02-15,"-18,89","-4,54","-19,04",,,"-19,16","-17,76","-11,8"
2016-02-22,"-11,69","-0,95","-3,16",,,"18,2","7,37","13,75"
2016-02-29,"-0,59","7,39","-1,86",,,"-5,66","-2,88","-4,6"
2016-03-07,"9,42","7,86","1,66",,,"17,88","0,35","7,69"
2016-03-14,"20,87","22,43","0,65",,,"21,62","7,18","21,36"
2016-03-21,"15,19","13,53","-0,37",,,"3,43","-1,83","-6,71"
2016-04-04,"6,66","0,16","1,02",,,"-16,59","5,25","-1,05"
2016-04-11,"-2,13","-17,78","3,54",,,"-14,25","-33,68","-9,68"
2016-04-18,"14,97","7,84","3,94",,,"30,75","14,78","22,07"
2016-04-25,"12,54","13,68","-0,73",,,"25,82",32,"5,78"
2016-05-02,"8,22","17,99","-0,35",,,"3,14","4,47","12,43"
2016-05-16,"-3,09","-5,31","3,38",,,"18,48","9,47","11,2"
2016-05-23,"17,88","20,98","0,73",,,"26,85","10,42","3,96"
2016-05-30,"13,29","20,39","1,02",,,"6,04","8,69","15,18"
2016-06-06,"7,74","11,05","2,77",,,"-2,01","-0,82","2,17"
2016-06-13,"-4,48","-1,61","3,16",,,"12,71","16,77","21,1"
2016-06-20,"-6,01","-1,53","2,6",,,"-12,25","-8,72","-10,81"
2016-06-27,"-2,98","-2,64","-0,93",,,"-9,4","8,1","7,8"
2016-07-04,"-2,72","-3,15","1,4",,,"-5,37","-5,23","8,45"
2016-07-18,"-10,99","-4,75","0,12",,,"-0,49","-19,9","-15,42"
2016-07-25,"-4,25","-4,32","-1,58",,,"-10,61","19,73","0,47"
2016-08-01,"-11,97","-10,07","-0,47",,,"-9,62","0,37","-20,61"
2016-08-08,"-9,96","-7,26","0,86",,,"-14,65","-3,56","2,82"
2016-08-15,"3,99","0,36","-0,43",,,"17,18","5,82","8,44"
2016-08-22,"14,83","8,21","-1,59",,,"38,78","11,34","23,59"
2016-08-29,"13,41","16,12","-0,7",,,"-10,69","-1,1","3,66"
2016-09-05,"2,01",-2,"0,44",,,"-9,08","-2,89","-13,87"
2016-09-12,"-4,77","-5,73","2,81",,,"12,65","12,27",18
2016-09-19,"-0,08","-1,61","0,35",,,"-1,36","-3,45","-17,18"
2016-09-26,"-0,02","-0,68","-1,15",,,"0,27","0,81","8,79"
2016-10-03,"4,48","5,61","0,56",,,"16,63","6,31","2,97"
2016-10-10,"14,85","15,96","4,19",,,"17,38","14,27","27,36"
2016-10-17,"11,64","11,82","0,34",,,"8,09","0,5","-3,91"
2016-10-24,"4,33","5,28","0,58",,,"-3,16","2,61","9,36"
2016-10-31,"7,62","5,04","0,63",,,"0,54","-0,83","-4,76"
2016-11-07,"-7,72","-1,28","10,84",,,"-31,32","-15,32","-32,21"
2016-11-14,"-13,2","-15,76","5,9",,,"-2,32","-4,2","3,93"
2016-11-21,"-15,49","-12,36","-7,74",,,"6,84","-37,38","12,53"
2016-11-28,"9,73","9,75","3,39",,,"14,58","11,98","16,89"
2016-12-05,"10,46","11,8","3,91",,,"22,8","26,43","19,36"
2016-12-12,"20,74","17,38","0,68",,,6,"-23,66","-2,89"
2016-12-19,"9,54","19,01","0,3",,,"16,44","34,71","22,47"
2017-01-02,"26,64","22,84","0,88",,,"19,15","1,15","14,73"
2017-01-09,"14,51",13,"13,67",,,"0,71","25,91","13,49"
2017-01-16,"-2,54","-4,78","8,87",,,"-1,2","-1,08","-12,12"
2017-01-23,"-2,74","-2,79","3,26",,,"-17,07","-27,16","-12,02"
2017-01-30,"-1,01","-1,87","1,39",,,"17,63","3,81","5,11"
2017-02-06,"2,26","2,14","9,78",,,"0,37","16,93","-4,33"
2017-02-13,"3,55","2,37","11,69",,,"2,67","-3,14","-2,31"
2017-02-20,"5,59","2,72","5,29",,,"-3,07","-1,77","-7,28"
2017-02-27,"0,1","0,31","1,53",,,"9,18","7,26","5,24"
2017-03-06,"-0,05","0,59","-2,53",,,"-8,82","-5,7","-4,92"
2017-03-13,"-6,29","-1,59","0,84",,,"-17,21","-12,99","-13,5"
2017-03-20,"-9,89","-8,43","-0,22",,,"-14,13","-6,56","-9,72"
2017-03-27,"-6,88","-6,26","-0,2",,,"-10,85","-5,63","-8,35"
2017-04-03,"-5,06","-4,31","-2,57",,,"9,55","1,24","17,63"
2017-04-10,"11,02","9,61","-8,42",,,"8,97","7,5","16,3"
2017-04-24,"21,19","17,88","-3,18",,,"-6,79","-1,26","-15,98"
2017-05-01,"-3,45","-4,97","0,08",,,"-31,57","-17,48","-8,98"
2017-05-08,"-16,17","-13,82","-3,07",,,"-1,81","1,96","-5,99"
2017-05-15,"-10,42","-12,9","-4,75",,,"7,33","13,75","9,4"
2017-05-22,"-4,05","-2,8","-1,2",,,"4,43","1,57","2,17"
2017-05-29,"-1,36","-0,13","-0,28",,,"1,98","-1,38","0,86"
2017-06-05,"-4,45","-5,17","-1,12",,,"-15,55","-19,76","-10,83"
2017-06-12,"-7,45","-9,45","0,83",,,"-43,03","-42,16","-7,95"
2017-06-19,-9,"-8,34",2,,,"7,48","41,52","-12,31"
2017-06-26,"-12,67","-11,27","-1,54",,,"3,2","-13,69","-4,82"
2017-07-03,"-1,27","-4,31","1,71",,,"3,38","12,79","6,3"
2017-07-10,"1,69","1,09","-3,51",,,"6,21","-22,61","-5,06"
2017-07-17,"-3,35","-3,7","-1,79",,,"-1,85","9,13","-0,66"
2017-07-24,"2,5","2,14","-0,85",,,"8,33","13,42","8,65"
2017-07-31,"4,36","4,59","0,42",,,"5,68","0,62","2,66"
2017-08-07,3,"10,41","2,33",,,"-2,64","-1,67","-5,05"
2017-08-14,"1,32","1,89","3,31",,,"-4,97","1,5","1,14"
2017-08-21,"0,84","1,23","4,53",,,"-2,46","-5,52","-6,07"
2017-08-28,"-0,05","-1,08","-0,08",,,"3,12","3,15","4,34"
2017-09-04,"9,36","4,62","1,05",,,"15,47","8,12","4,03"
2017-09-11,"14,76","10,34","12,57",,,"8,12","2,42","2,87"
2017-09-18,"1,54","6,62","6,99",,,"7,91","5,05","6,85"
2017-09-25,"-3,42","-2,24","0,85",,,"8,97","2,35","4,08"
2017-10-02,"3,94","9,61","1,14",,,"1,12","-26,66","9,14"
2017-10-09,"0,29","1,92","5,49",,,"-1,07","21,63","1,82"
2017-10-16,"-1,63","-1,99","2,99",,,"-7,88","-0,64","-2,46"
2017-10-23,"-0,36","5,68","8,17",,,"-0,65","-32,7","0,19"
2017-10-30,"0,46","1,9","3,29",,,"16,67","1,47","3,27"
2017-11-06,"8,66","11,4","0,15",,,"8,08","9,58","17,98"
2017-11-13,"11,23","11,86","0,14",,,"21,34","21,1","17,87"
2017-11-20,"3,67","3,69","0,71",,,"-1,59","-7,46","-17,05"
2017-11-27,"-2,16","-2,43","0,09",,,"3,32","1,61","-0,44"
2017-12-04,"0,2","0,85","0,96",,,"-0,86","-1,92","-1,15"
2017-12-11,"-2,27","-2,42","4,51",,,"-0,98","-4,71","-11,2"
2017-12-18,"5,75","7,04","4,78",,,"5,73","-6,35","7,98"
2018-01-01,"5,22","6,23","1,57",,,"10,85","69,54","10,89"
2018-01-08,"6,97","9,1","-0,39",,,"10,96","5,53","13,89"
2018-01-15,"5,11","5,56","-0,04",,,"11,67","11,56","-0,2"
2018-01-22,"4,75","5,28","-0,08",,,"-6,67","-6,89","-7,36"
2018-01-29,"1,46","1,26","0,23",,,"3,73","-1,08","-1,67"
2018-02-05,"0,59","-0,19","-6,75",,,"-14,01","-7,59","-4,52"
2018-02-12,"-3,51","-4,3","-8,48",,,"-19,91","-13,75","-17,01"
2018-02-19,"-16,43","-18,83","-5,95",,,"-19,79","-3,4","-6,35"
2018-02-26,"-6,77","-5,78","1,25",,,"15,19","4,22","9,36"
2018-03-05,"2,16","5,98","-0,53",,,"0,62","0,1","-10,83"
2018-03-19,"-2,67","-3,08","-2,07",,,"1,82","3,44","4,79"
2018-03-26,"2,88","3,44","-3,58",,,"14,85","7,76","4,13"
2018-04-02,"6,98","7,15","-3,18",,,"5,89","-1,14","0,34"
2018-04-09,"2,2","2,54","-0,25",,,"7,68","4,32","9,88"
2018-04-16,"6,72","6,79","-0,81",,,"13,01","11,09","9,37"
2018-04-23,"10,34","10,92","0,96",,,"9,52","8,11","6,94"
2018-04-30,"11,85","12,68","-0,52",,,"10,36","2,87","6,81"
2018-05-07,"7,43","7,36","-0,46",,,"-0,9","8,41","5,37"
2018-05-14,"13,39","13,19","4,5",,,"20,51","21,66","24,6"
2018-05-21,"17,25","18,07","9,13",,,"17,98","19,03","21,95"
2018-05-28,"19,2","19,7","-2,13",,,"1,75","-0,82","-3,26"
2018-06-04,"6,22","7,49","1,45",,,"-2,53","-0,64","-0,54"
2018-06-11,"-0,59","-0,56","5,52",,,"-7,16","-4,21","-1,27"
2018-06-18,"-2,8","-3,39","7,27",,,"-1,99","-3,86","-6,96"
2018-06-25,"-8,55","-8,48","5,53",,,"-9,72","-1,9","-4,35"
2018-07-02,"-4,48","-4,73","-0,4",,,"8,83","3,82","9,93"
2018-07-09,"0,42","0,34","-0,41",,,"0,35","-0,41","2,03"
2018-07-16,"-0,26","-0,95","-0,16",,,"-9,72","-3,64","-4,93"
2018-07-23,"-3,1","-3,83","-0,04",,,"-3,48","0,01","-0,27"
2018-07-30,"-1,6","-1,77","-0,28",,,"8,11","5,52","6,16"
2018-08-06,"1,06","0,86","0,5",,,"-3,15","-4,88","-8,12"
2018-08-13,"0,54","-0,33","2,02",,,"0,08","-0,89","-3,26"
2018-08-20,"-1,44","-0,75","1,03",,,"5,95",0,"-3,49"
2018-08-27,"1,12","1,74","1,2",,,"6,66","7,67","9,44"
2018-09-03,"4,68","6,32","0,27",,,"7,85","3,94","4,9"
2018-09-10,"8,89","11,29","12,83",,,"-1,68","-1,57","-8,22"
2018-09-17,"0,14","0,94","0,73",,,"4,16","-0,01","3,57"
2018-09-24,"-0,89","-0,5","-2,96",,,"-0,85","0,17","3,31"
2018-10-01,"2,4","3,49","0,83",,,"18,41","12,49","18,6"
2018-10-08,"13,38","19,99","12,72",,,"20,18","30,44","36,32"
2018-10-15,"7,47","17,13","6,44",,,"-3,35","-11,78","-23,67"
2018-10-22,"-3,84","1,62","0,89",,,"-0,03","-2,57","-1,47"
2018-10-29,"-5,51","-1,83","0,88",,,"-11,31","-8,57","6,5"
2018-11-05,"-6,44","-3,08","-0,61",,,"-12,41","-7,29","-13,31"
2018-11-12,"-12,4","-7,85","-6,5",,,"-2,91","-5,8","-8,83"
2018-11-19,"-17,49","-10,58","-2,79",,,"-14,85","-10,95","-17,39"
2018-11-26,"-23,68","-17,25","-2,39",,,"-23,48","-14,7","-37,1"
2018-12-03,"-30,39","-25,07","-3,05",,,"-24,97","-7,4","-8,48"
2018-12-10,"-31,8","-26,81","-23,16",,,"-3,44","-2,97","-4,16"
2018-12-17,"-13,14","-13,71","-8,71",,,"-0,07","-8,42","-0,22"
2019-01-07,"-34,36","-32,08","-6,41",,,"17,54","33,47","13,51"
2019-01-14,"-3,45","-2,87","-1,04",,,"5,19","-1,11","12,78"
2019-01-21,"9,04","10,27","-0,7",,,"12,69","15,05","5,45"
2019-01-28,"2,91","4,4","-0,84",,,"6,63",3,"5,22"
2019-02-04,"4,88","4,94","-0,89",,,"-9,7","-52,38","7,78"
2019-02-11,"8,86","6,06","2,71",,,"4,11","17,89",4
2019-02-18,"9,52","10,25","0,63",,,"15,61","3,71","15,77"
2019-02-25,"16,92","17,92","-0,92",,,"7,66","0,3","7,55"
2019-03-04,"7,65","7,02","0,12",,,"-0,66","1,7","-4,88"
2019-03-11,"6,39","6,3","-2,3",,,"4,35","5,1","3,25"
2019-03-18,"5,31","3,21","-0,14",,,"0,69","-16,5","8,19"
2019-03-25,"8,79","0,81","0,7",,,"-3,42","-1,7","-5,22"
2019-04-01,"10,74","0,52","0,37",,,"1,49","-0,2","0,56"
2019-04-08,"15,04","1,45","-2,48",,,"7,72","2,7","5,78"
2019-04-15,"16,04","6,34","-0,68",,,"7,21","2,3","-0,23"
2019-04-22,"10,59","5,99","0,5",,,"4,03","-0,2","-1,33"
2019-04-29,"10,64","8,21","2,29",,,"9,67","10,7",16
2019-05-06,"1,94","-0,63","-11,02",,,"-2,2","-4,9","-6,78"
2019-05-13,"-1,99","-0,74","7,31",,,"-4,51","-3,9","-9,22"
2019-05-20,"-1,65","-0,58","-0,67",,,"12,75","8,6","6,89"
2019-05-27,"6,97","6,88","0,74",,,"-19,43",-16,"-6,67"
2019-06-03,"-9,24","-10,27","-0,49",,,"-10,96","-4,4",3
2019-06-10,"-15,95","-16,94","-11,64",,,"-34,44","-30,2","-12,97"
