node_id,lon,lat,sslm_m
227,13.82376,42.70203,106
228,12.11279,45.39945,2
229,10.29589,44.77701,76
230,13.53495,41.94138,713
231,12.50229,43.31280,695
232,12.08376,43.61686,449
233,12.81900,46.57008,852
234,16.21446,39.71272,167
235,15.67109,40.89219,495
236,10.76234,43.83876,14
237,14.38950,42.15563,108
238,11.51182,43.03381,462
239,12.59755,41.95090,48
240,12.80774,45.63490,-1
241,9.09028,45.53862,151
242,13.43857,46.00966,90
243,9.14775,39.29692,52
244,15.13247,41.60227,324
245,10.91823,44.22949,736
246,12.35548,41.91591,39
247,14.33180,41.86293,1041
248,15.22838,37.83820,54
249,9.16297,45.78134,370
250,14.43612,37.54657,273
251,14.40826,40.65380,139
252,13.93018,42.75196,121
253,15.14842,38.02071,778
254,11.04435,45.44009,60
255,17.90352,40.60011,37
256,12.17437,43.72470,581
257,10.72087,43.53157,108
258,10.75726,43.20592,360
259,9.47084,40.39420,93
260,10.65284,43.13627,217
261,15.65753,41.05824,251
262,10.59899,43.23169,51
263,17.41770,40.39064,37
264,7.34594,45.69600,1701
265,10.90432,45.43966,89
266,8.89298,39.28107,34
267,17.13508,40.85748,360
268,11.39711,45.24340,12
269,8.51383,39.16116,78
270,11.04351,44.11658,486
271,12.75515,45.64030,-3
272,10.84776,45.91625,287
273,10.67768,43.15349,325
274,14.08603,42.50938,143
275,10.07211,45.53272,135
276,15.64182,40.85592,461
277,15.72643,40.60704,774
278,13.85936,42.50965,413
279,11.41938,43.22882,165
280,12.56336,42.53417,101
281,14.38601,40.92038,27
282,10.42103,43.83878,11
283,9.25319,45.19646,73
284,11.14021,44.97503,9
285,18.13035,40.16321,63
286,12.41169,44.13070,8
287,16.60793,39.61945,5
288,10.79447,44.65403,48
289,14.37525,37.30477,504
290,13.86557,42.08620,356
291,9.86970,46.17738,417
292,10.92437,43.54478,346
293,9.43739,45.33364,87
294,16.01434,40.83539,611
295,15.04603,37.31132,79
296,12.67951,45.63160,-5
297,12.20299,45.47081,-1
298,10.62961,43.58953,31
299,15.65271,40.87148,476
300,10.52968,44.32731,607
301,7.56443,45.83756,1923
302,13.56197,45.81932,37
303,11.48326,46.90157,1003
304,10.54291,43.99013,231
305,14.43102,42.29691,105
306,12.88301,46.17928,200
307,10.61107,43.21812,65
308,10.47500,43.60254,5
309,10.64658,43.54363,118
310,13.14703,41.31382,3
311,10.66621,43.06673,44
312,10.54948,43.13047,13
313,14.37190,41.01953,40
314,14.38929,42.27068,208
315,12.55015,44.00862,26
316,10.56743,43.17014,22
317,12.30046,46.02880,162
318,15.32710,40.97467,856
319,10.56341,43.54420,55
320,12.80650,41.42750,8
321,11.78925,44.16858,403
322,10.34925,46.17041,633
323,11.05165,45.07084,13
324,13.91503,42.44075,258
325,13.43894,46.50592,712
326,10.80711,44.40216,718
327,14.33058,42.18574,265
328,10.81711,44.22038,492
329,15.66573,41.08534,183
330,10.97776,44.33347,735
331,14.07922,42.51725,155
332,11.82210,44.17388,126
333,14.36597,41.04183,53
334,12.50044,41.63335,44
335,13.51177,45.82381,10
336,12.23401,41.83534,2
337,14.33121,40.59455,124
338,9.62408,44.43337,939
339,8.98093,45.53692,166
340,11.37990,44.12595,472
341,14.86076,41.70905,658
342,9.92497,46.19026,1251
343,13.86738,42.67107,232
344,13.11982,46.10285,150
345,12.86952,46.04643,84
346,14.66769,41.57622,704
347,12.82069,45.89985,20
348,11.06411,43.39721,208
349,10.78947,46.61366,715
350,10.56544,43.53777,105
351,8.47280,39.12422,4
352,7.17699,44.57639,1023
353,15.65894,38.20245,72
354,10.25062,46.54940,1944
355,11.37717,45.38966,27
356,14.40309,37.17872,102
357,13.52331,37.29854,101
358,12.37152,44.01891,161
359,8.36996,45.87025,837
360,11.17553,46.89778,2210
361,14.76696,42.06615,14
362,14.72395,41.54728,572
363,8.30550,40.84406,13
364,8.39530,45.34052,131
365,11.44223,43.77406,81
366,10.34128,43.58650,7
367,11.80873,44.16780,155
368,13.86620,42.62956,108
369,10.33536,44.18202,665
370,10.24836,44.72013,150
371,15.81268,40.62798,667
372,12.79085,42.02176,209
373,9.58019,45.89736,676
374,14.34953,41.96189,471
375,14.33914,37.77794,616
376,10.55643,43.46318,165
377,13.05522,38.00438,193
378,13.92259,42.82232,66
379,13.21607,41.48537,86
380,14.07180,42.27633,197
381,11.90437,43.95595,381
382,9.42003,45.63977,231
383,11.49325,45.21468,9
384,11.64868,44.08427,374
385,10.75302,43.40944,263
386,10.81230,43.16980,206
387,9.06032,45.46679,128
388,13.79459,42.70066,178
389,13.42436,45.85223,10
390,7.72723,45.20570,248
391,10.70756,46.02231,961
392,11.34982,45.33530,21
393,10.53153,43.53933,91
394,10.95432,43.47987,468
395,14.68340,41.79463,671
396,14.29516,40.86155,6
397,10.69249,43.48067,104
398,9.62743,45.21019,63
399,16.68489,40.73176,386
400,14.68576,42.16363,50
401,8.85854,40.01391,37
402,16.38376,38.82829,602
403,10.42466,44.64039,149
404,12.67619,42.74646,340
405,13.87423,42.62967,89
406,10.73967,44.11042,633
407,12.87272,41.44638,19
408,10.35134,42.79194,3
409,13.56411,45.84877,62
410,16.46487,38.86892,338
411,13.96139,40.73205,0
412,14.01348,42.58258,246
413,9.64306,45.78965,291
414,11.41433,45.19495,9
415,10.44866,43.37080,3
416,13.80008,42.64211,412
417,9.85544,44.11795,7
418,12.90800,46.23581,654
419,9.10942,39.28112,49
420,9.45717,45.99948,1443
421,14.41267,42.25104,223
422,12.54996,46.43176,965
423,16.46532,40.30567,97
424,8.95312,45.82385,401
425,12.11448,44.34522,6
426,11.80290,44.69538,0
427,10.96327,44.21012,768
428,10.91887,44.27945,609
429,13.11471,46.15870,214
430,7.62475,45.11324,267
431,14.38169,42.17022,201
432,7.74071,44.86011,244
433,10.36227,42.75612,39
434,10.70827,46.02268,961
435,14.67214,41.59731,715
436,8.54135,45.59201,222
437,13.58222,43.26356,55
438,9.12697,45.53129,148
439,13.47456,45.99717,158
440,10.97639,43.54136,217
441,13.02458,41.47942,3
442,11.42923,44.52109,40
443,14.89229,41.57441,423
444,9.12291,45.20788,80
445,7.44511,44.51452,602
446,12.07616,45.57540,15
447,9.64120,40.63862,12
448,14.35341,37.95499,405
449,14.25383,42.17225,400
450,15.47560,41.20260,244
451,8.48967,45.75487,407
452,10.99387,46.65114,535
453,11.95688,44.12756,203
454,10.80796,44.39861,746
455,14.36322,41.01962,35
456,13.73419,42.13434,471
457,7.25149,44.94634,836
458,11.65497,45.89876,1020
459,14.03932,37.71470,512
460,10.80044,44.41926,798
461,14.00034,42.50059,152
462,13.36851,37.43092,82
463,10.94637,42.82547,53
464,12.51642,41.62421,18
465,9.64345,45.78952,291
466,13.03002,41.26866,15
467,10.37087,46.44456,1425
468,10.66809,43.07989,126
469,-4.95088,36.05105,0
470,10.69216,43.05412,29
471,15.25609,41.34330,451
472,9.17234,45.61216,191
473,12.79737,45.98741,41
474,10.80672,43.20200,295
475,9.57712,45.51587,118
476,11.13854,45.00496,10
477,11.94394,44.38486,15
478,11.89165,43.14257,247
479,10.82790,43.14386,301
480,10.61760,43.32856,207
481,10.35738,44.77695,57
482,12.11296,43.85058,511
483,8.14228,45.63916,471
484,10.61964,44.19875,768
485,9.30106,44.98925,190
486,10.56026,43.36861,189
487,9.22944,45.41082,102
488,12.26526,41.78751,3
489,11.83922,45.63088,36
490,12.66840,41.60506,70
491,15.05365,41.74067,216
492,14.42305,40.62914,198
493,8.62719,45.44434,158
494,16.57984,40.58289,71
495,12.52954,41.72026,110
496,12.84095,38.03450,98
497,12.18626,43.94471,141
498,9.44135,45.55013,139
499,12.55198,42.69451,278
500,15.47098,38.19331,652
501,11.54169,43.29156,316
502,12.15244,41.93349,11
503,9.83811,45.85686,554
504,11.96966,44.06640,194
505,16.67246,40.32853,85
506,11.82741,42.09959,156
507,13.37128,42.33768,917
508,12.20456,45.46981,0
509,11.14447,45.05896,14
510,14.71274,42.10620,39
511,14.26723,37.38458,364
512,11.18376,44.16425,635
513,12.89496,45.89371,23
514,10.61080,43.23521,84
515,10.34258,44.57911,267
516,12.80406,41.42684,7
517,11.97760,43.98800,558
518,7.43587,45.08471,338
519,11.26280,44.44217,114
520,9.13130,45.43710,116
521,7.39223,44.22885,891
522,14.27398,41.89078,766
523,13.46657,46.10770,148
524,14.80873,40.92120,356
525,12.10380,43.90161,317
526,12.86224,45.88299,21
527,8.15163,45.67770,1052
528,9.17103,45.61578,193
529,10.85244,43.30472,277
530,10.35078,44.83417,38
531,16.54659,40.41336,61
532,10.79216,44.22536,734
533,9.05841,45.46856,128
534,14.35026,42.24813,141
535,14.68177,36.88147,582
536,12.62339,41.55724,82
537,10.62753,43.83255,14
538,10.27277,45.57781,208
539,11.02693,44.17372,735
540,11.80252,44.00130,537
541,9.95236,44.31219,157
542,11.94894,44.09987,349
543,7.49100,45.73694,536
544,8.18432,45.68269,467
545,9.09367,45.53837,151
546,16.46598,38.86811,339
547,10.74326,43.20570,361
548,11.02308,43.15627,550
549,14.32160,40.99114,22
550,13.66909,37.72817,418
551,13.75820,42.62077,197
552,11.51720,43.02501,470
553,12.85361,37.69600,230
554,10.89646,43.90464,53
555,16.28428,40.15802,507
556,11.58130,43.10867,312
557,13.93964,42.01564,456
558,13.17715,38.14395,59
559,10.29264,43.55916,0
560,10.72997,44.61833,71
561,13.93002,42.64092,76
562,14.68970,41.79569,663
563,10.61397,43.52298,156
564,13.47810,38.09135,17
565,12.20443,43.88738,566
566,9.91074,44.17502,61
567,10.84198,44.20907,624
568,11.55415,45.88552,1090
569,8.08872,45.63571,722
570,9.09139,45.42634,115
571,11.34971,43.89781,496
572,7.71710,45.75876,1292
573,14.68281,41.56757,684
574,10.70986,44.25849,567
575,15.70158,41.07744,180
576,13.79364,42.62888,160
