qid,name,type,lat,lon,capacity_mw
Q3664638,"centrale termoelettrica ""Alessandro Volta""",centrale elettrica,42.3583234,11.5363892,3600
Q3664648,centrale termoelettrica di Porto Tolle,centrale elettrica,44.956483,12.4877946,2640
Q11995737,Centrale di Piombino,centrale elettrica,42.956888,10.6032173,1280
Q11998472,centrale termoelettrica di Rossano,centrale elettrica,39.6214124,16.6075052,1738
Q19387537,Centrale di San Filippo del Mela,centrale elettrica,38.2029957,15.285212,960
Q3434274,centrale idroelettrica Luigi Einaudi,centrale elettrica,44.22472222,7.38611111,1064
Q3664585,centrale idroelettrica di Pont Ventoux-Susa,centrale elettrica,45.137055555,7.032472222,150
Q3664587,centrale idroelettrica di Provvidenza,centrale elettrica,42.51124,13.41059,
Q3664592,centrale idroelettrica di San Giacomo,centrale elettrica,42.537805555,13.556388888,490
Q3664593,centrale idroelettrica di San Fiorano,centrale elettrica,46.050111111,10.351444444,268
Q3664600,centrale idroelettrica di Telessio,centrale elettrica,45.483583333,7.372583333,
Q4138183,Centrale idroelettrica del Ponale,centrale elettrica,45.88313611,10.83803333,
Q5340183,Centrale idroelettrica di Edolo,centrale elettrica,46.17083333,10.34777778,950
Q7241025,centrale idroelettrica di Presenzano,centrale elettrica,41.38138889,14.09027778,985
Q14646095,centrale idroelettrica di Roncovalgrande,centrale elettrica,46.06944444,8.73194444,1000
Q18745015,Q18745015,centrale elettrica,39.192444444,16.724777777,
Q19298796,Capriati hydroelectric power station,centrale elettrica,41.476305555,14.128222222,113
Q56357818,Q56357818,centrale elettrica,46.304,9.928694444,
Q56357819,Q56357819,centrale elettrica,46.091916666,9.89075,
Q56357820,centrale di Lanzada,centrale elettrica,46.268388888,9.876611111,
Q56357843,Gargnano hydroelectric power station,centrale elettrica,45.703833333,10.686083333,137
Q56357861,Fadalto hydroelectric power station,centrale elettrica,46.069277777,12.331388888,220
Q56357987,centrale idroelettrica di Bargi,centrale elettrica,44.116745041,11.043073829,281
Q56357994,Q56357994,centrale elettrica,42.384222222,12.913472222,
Q56358177,Guadalami hydroelectric power station,centrale elettrica,37.955638888,13.279472222,80
Q56358182,Centrale Anapo,centrale elettrica,37.116083333,15.139111111,500
Q56358183,Taloro hydroelectric power station,centrale elettrica,40.127055555,9.140722222,240
Q97371468,Centrale idroelettrica di Santa Massenza,centrale elettrica,46.065972222,10.980638888,377
Q3895611,parco fotovoltaico di Sticciano,centrale elettrica,42.9594,11.13345,
Q4721980,Alfonsine Solar Park,centrale elettrica,44.56666667,11.98333333,
Q5058285,Cellino San Marco Solar Park,centrale elettrica,40.46666667,17.96666667,
Q7371716,parco fotovoltaico di Rovigo,centrale elettrica,45.03583333,11.57222222,70.6
Q7419045,Sant'Alberto Solar Park,centrale elettrica,44.51666667,12.15,
Q7453211,Serenissima Solar Park,centrale elettrica,44.94305556,11.65333333,
Q3664636,Centrale solare termodinamica Archimede,centrale elettrica,37.1390489,15.2158928,700
Q11957609,Altomonte power plant,centrale elettrica,39.7114538,16.2153375,808
Q11983644,Leini power plant,centrale elettrica,45.1625228,7.7502805,385
Q11998022,Rizziconi Power Station,centrale elettrica,38.4450477,15.9901339,760
Q11999654,Scandale power plant,centrale elettrica,39.1022191,17.0326764,821
Q12007122,Centrale termoelettrica Torrevaldaliga Sud,centrale elettrica,42.124492,11.761901,1180
Q12007183,centrale termoelettrica di Torviscosa,centrale elettrica,45.8168889,13.2891118,867
Q12008789,Centrale termoelettrica di Vado Ligure,centrale elettrica,44.2758371,8.4308229,760
Q17761941,centrale termoelettrica di Cassano d'Adda,centrale elettrica,45.51152778,9.51,748
Q17776176,centrale termoelettrica di Gissi,centrale elettrica,42.0504149,14.5635387,840
Q19378684,Centrale Termoelletrica di La Casella,centrale elettrica,45.090568,9.4798937,1476
Q19380053,Livorno Ferraris power plant,centrale elettrica,45.2377183,8.1925848,776
Q19381036,Centrale di Marghera Levante,centrale elettrica,45.4460714,12.2553162,753
Q19385545,Ponti sul Mincio power plant,centrale elettrica,45.3999035,10.7142408,381
Q97170317,centrale elettrica di Sparanise,centrale elettrica,41.17792,14.11297,760
Q97179280,centrale termoelettrica di Jesi,centrale elettrica,43.5532972,13.2851961,140
Q97179370,Voghera power plant,centrale elettrica,45.0299624,8.9722177,381
Q97179513,centrale termoelettrica di San Quirico,centrale elettrica,44.9289537,10.3051147,132
Q97179578,centrale termoelettrica di Simeri Crichi,centrale elettrica,38.8757461,16.6571815,885
Q97179605,centrale di Teverola,centrale elettrica,41.0087995,14.2293873,404
Q97182168,centrale di Aprilia,centrale elettrica,41.5616876,12.6334137,787
Q97182174,centrale di Bertonico-Turano Lodigiano,centrale elettrica,45.2267313,9.6373594,800
Q97182273,Centrale Napoli Levante,centrale elettrica,40.8341188,14.300959,400
Q97182292,Centrale di Piacenza,centrale elettrica,45.0553157,9.7082419,806
Q97182374,centrale di Termoli,centrale elettrica,41.9369638,15.0004202,769
Q97277661,Centrale termoelettrica di Chivasso,centrale elettrica,45.1855684,7.9011776,1123
Q97277749,Roselectra,centrale elettrica,43.381429,10.4485613,386
Q97277761,centrale di San Severo,centrale elettrica,41.6267494,15.4235192,419
Q106777461,Rosen,centrale elettrica,43.3819319,10.449543,325
Q56325613,Centrale idroelettrica di Crespi d'Adda,centrale elettrica,45.59686,9.53284,
Q3664523,centrale ad idrogeno di Fusina,centrale elettrica,45.430833333,12.245555555,16
Q16538832,centrale di cogenerazione di Bolgiano,centrale elettrica,45.4152217,9.2843654,66
Q1145080,Centrale idroelettrica di Antolina,centrale elettrica,46.235109,8.33048,
Q1619540,Q1619540,centrale elettrica,46.79859,11.66793,
Q2551197,centrale di Cardano,centrale elettrica,46.495,11.396,121
Q3664536,Centrale idroelettrica Alpe Bacco,centrale elettrica,45.96726,8.395282,
Q3664539,centrale idroelettrica Guida,centrale elettrica,38.49222,16.41667,
Q3664540,centrale idroelettrica Marmarico,centrale elettrica,38.497954,16.404163,
Q3664543,centrale idroelettrica di Albosaggia,centrale elettrica,,,
Q3664544,centrale idroelettrica di Andonno-Roccavione,centrale elettrica,44.294527777,7.446055555,65
Q3664545,centrale idroelettrica di Anzuno,centrale elettrica,46.091575,8.275607,
Q3664546,centrale idroelettrica di Ardenno,centrale elettrica,,,
Q3664547,centrale idroelettrica di Arsa,centrale elettrica,45.991606,8.290027,
Q3664548,centrale idroelettrica di Ascoli Porta Romana,centrale elettrica,42.855609,13.565835,
Q3664549,centrale idroelettrica di Avise,centrale elettrica,45.7055,7.145361111,126
Q3664550,centrale idroelettrica di Aymavilles,centrale elettrica,,,
Q3664551,centrale idroelettrica di Balma-Quittengo,centrale elettrica,,,
Q3664553,centrale idroelettrica di Braulio,centrale elettrica,46.51483,10.4041,19
Q3664554,Centrale idroelettrica di Brolo,centrale elettrica,45.859379,8.390079,
Q3664555,centrale idroelettrica di Brossasco,centrale elettrica,44.56783889,7.35331944,
Q3664556,Centrale idroelettrica di Bognanco-Dagliano,centrale elettrica,46.120987,8.232965,
Q3664557,centrale idroelettrica di Bussolengo,centrale elettrica,45.4785,10.8425,
Q3664558,centrale idroelettrica di Capodacqua,centrale elettrica,42.76942,13.29344,
Q3664559,centrale idroelettrica di Capodiponte,centrale elettrica,42.815874,13.504791,
Q3664560,centrale idroelettrica di Casteldelfino,centrale elettrica,44.586525,7.06437222,
Q3664561,centrale idroelettrica di Castellano,centrale elettrica,42.843594,13.556753,
Q3664562,centrale idroelettrica di Châtillon,centrale elettrica,,,
Q3664563,Centrale idroelettrica di Covalou,centrale elettrica,45.774361111,7.595111111,
Q3664564,centrale idroelettrica di Crego,centrale elettrica,46.246772,8.331979,
Q3664565,centrale idroelettrica di Demonte,centrale elettrica,44.31485278,7.27141944,
Q3664566,centrale idroelettrica di Farneta,centrale elettrica,44.361953,10.5790739,
Q3664567,centrale idroelettrica di Fedio-Demonte,centrale elettrica,44.32946389,7.26705556,
Q3664568,centrale idroelettrica di Fervento,centrale elettrica,45.84223611,8.07566111,
Q3664569,centrale idroelettrica di Gressoney,centrale elettrica,,,
Q3664570,centrale idroelettrica di Fucine,centrale elettrica,45.23163333,7.36585278,
Q3664571,centrale idroelettrica di Grosio,centrale elettrica,46.29193316,10.266192392,428
Q3664572,centrale idroelettrica di Isollaz,centrale elettrica,,,
Q3664573,centrale idroelettrica di Isorella,centrale elettrica,,,
Q3664574,centrale idroelettrica di Issime,centrale elettrica,,,
Q3664575,centrale idroelettrica di La Stanga,centrale elettrica,,,
