qid,name,lat,lon,capacity_mw,fuel,operator,commissioning,wikipedia_it
Q3664542,centrale idroelettrica Taccani,45.612611111,9.521319444,,,,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_Taccani
Q3664543,centrale idroelettrica di Albosaggia,,,,,,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Albosaggia
Q3664541,centrale idroelettrica Semenza,45.687838,9.452341,,,,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_Semenza
Q3664546,centrale idroelettrica di Ardenno,,,,,,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Ardenno
Q3664547,centrale idroelettrica di Arsa,45.991606,8.290027,,,Enel,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Arsa
Q3664544,centrale idroelettrica di Andonno-Roccavione,44.294527777,7.446055555,65,,,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Andonno-Roccavione
Q3664545,centrale idroelettrica di Anzuno,46.091575,8.275607,,,,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Anzuno
Q3664550,centrale idroelettrica di Aymavilles,,,,,Compagnia Valdostana delle Acque,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Aymavilles
Q3664551,centrale idroelettrica di Balma-Quittengo,,,,,Enel,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Balma-Quittengo
Q3664548,centrale idroelettrica di Ascoli Porta Romana,42.855609,13.565835,,,Enel,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Ascoli_Porta_Romana
Q3664549,centrale idroelettrica di Avise,45.7055,7.145361111,126,,Compagnia Valdostana delle Acque,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Avise
Q3664554,Centrale idroelettrica di Brolo,45.859379,8.390079,,,Enel,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Brolo
Q3664555,centrale idroelettrica di Brossasco,44.56783889,7.35331944,,,Enel,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Brossasco
Q3664553,centrale idroelettrica di Braulio,46.51483,10.4041,19,,A2A,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Braulio
Q3664558,centrale idroelettrica di Capodacqua,42.76942,13.29344,,,Enel,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Capodacqua
Q3664559,centrale idroelettrica di Capodiponte,42.815874,13.504791,,,Enel,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Capodiponte
Q3664556,Centrale idroelettrica di Bognanco-Dagliano,46.120987,8.232965,,,Enel,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Bognanco-Dagliano
Q3664557,centrale idroelettrica di Bussolengo,45.4785,10.8425,,,,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Bussolengo
Q3664562,centrale idroelettrica di Châtillon,,,,,Compagnia Valdostana delle Acque,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Ch%C3%A2tillon
Q3664563,Centrale idroelettrica di Covalou,45.774361111,7.595111111,,,Compagnia Valdostana delle Acque,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Covalou
Q3664560,centrale idroelettrica di Casteldelfino,44.586525,7.06437222,,,Enel,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Casteldelfino
Q3664561,centrale idroelettrica di Castellano,42.843594,13.556753,,,Enel,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Castellano
Q3664566,centrale idroelettrica di Farneta,44.361953,10.5790739,,,Enel Produzione,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Farneta
