"Aeroporti","Numero   Movimenti del Traffico aereo commerciale internazionale e nazionale - Servizi di linea e charter","Numero  passeggeri del Traffico aereo commerciale internazionale e nazionale - Servizi di linea e charter","Numero  Transiti  del Traffico aereo commerciale internazionale e nazionale - Servizi di linea e charter","Tonnellate Cargo  del Traffico aereo commerciale internazionale e nazionale - Servizi di linea e charter","Movimenti Traffico aereo commerciale internazionale - Servizi di linea e charte","Passeggeri Traffico aereo commerciale internazionale - Servizi di linea e charte","Tonnellate Cargo Traffico aereo commerciale internazionale - Servizi di linea e charte ","Movimenti Traffico aereo commerciale nazionale - Servizi di linea e charter","Passeggeri Traffico aereo commerciale nazionale - Servizi di linea e charter","Tonnellate Cargo Traffico aereo commerciale nazionale - Servizi di linea e charter","Movimenti Traffico aereo commerciale di linea internazionale e nazionale","Passeggeri Traffico aereo commerciale di linea internazionale e nazionale","Tonnellate Cargo Traffico aereo commerciale di linea internazionale e nazionale","Movimenti  Traffico aereo commerciale di linea internazionale","Passeggeri  Traffico aereo commerciale di linea internazionale","Tonnellate Cargo Traffico aereo commerciale di linea internazionale","Movimenti Traffico aereo di linea nazionale","Passeggeri Traffico aereo di linea nazionale","Tonnellate Cargo Traffico aereo di linea nazionale","Movimenti  Traffico aereo charter complessivo internazionale e nazionale","Passeggeri  Traffico aereo charter complessivo internazionale e nazionale","Tonnellate Cargo Traffico aereo charter complessivo internazionale e nazionale","Movimenti Traffico aereo charter internazionale","Passeggeri Traffico aereo charter internazionale","Tonnellate Cargo Traffico aereo charter internazionale","Movimenti Traffico aereo charter nazionale","Passeggeri Traffico aereo charter nazionale","Tonnellate Cargo Traffico aereo charter nazionale","lat","lon"
"Albenga","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","44.0450919","8.1246244"
"Alghero-Fertilia",13.537,1.512.447,5.029,1.636,3.936,518.928,"-",9.601,993.519,1.636,13.216,1.469.115,1.636,3.631,476.137,"-",9.585,992.978,1.636,321,43.332,"-",305,42.791,"-",16,541,"-","40.6301526","8.2932567"
"Ancona-Falconara",9.541,553.406,5.535,6.864,5.290,377.279,1.227,4.251,176.127,5.637,8.907,540.075,6.509,4.711,365.222,872,4.196,174.853,5.637,634,13.331,355,579,12.057,355,55,1.274,"-","43.6163532","13.3705147"
"Aosta","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","45.7388585","7.3645033"
"Bari-Palese Macchie",32.427,3.762.115,14.931,1.999,9.509,1.028.004,33,22.918,2.734.111,1.966,30.955,3.637.322,1.972,8.123,906.209,6,22.832,2.731.113,1.966,1.472,124.793,27,1.386,121.795,27,86,2.998,"-","41.137512","16.7630133"
"Bergamo-Orio al Serio",72.423,8.876.554,11.463,116.732,51.740,6.138.746,103.689,20.683,2.737.808,13.043,68.795,8.421.123,116.562,48.643,5.714.427,103.545,20.152,2.706.696,13.017,3.628,455.431,170,3.097,424.319,144,531,31.112,26,"45.6696253","9.6686121"
"Bologna-Borgo Panigale",61.945,5.879.800,71.470,30.510,44.954,4.170.176,22.839,16.991,1.709.624,7.671,57.810,5.516.443,16.784,41.316,3.825.495,11.259,16.494,1.690.948,5.525,4.135,363.357,13.726,3.638,344.681,11.580,497,18.676,2.146,"44.5345254","11.2856706"
"Bolzano",2.218,36.822,"-","-",6,182,"-",2.212,36.640,"-",2.147,33.376,"-",3,83,"-",2.144,33.293,"-",71,3.446,"-",3,99,"-",68,3.347,"-","46.4616447","11.3260503"
"Brescia-Montichiari",3.827,18.355,594,31.884,225,17.860,3.230,3.602,495,28.654,3.674,257,31.843,80,231,3.189,3.594,26,28.654,153,18.098,41,145,17.629,41,8,469,"-","45.4255851","10.3248192"
"Brindisi-Papola Casale",15.673,2.091.662,5.726,67,2.573,338.283,15,13.100,1.753.379,52,15.488,2.075.062,67,2.428,323.847,15,13.060,1.751.215,52,185,16.600,"-",145,14.436,"-",40,2.164,"-","40.6570757","17.9361438"
"Cagliari-Elmas",31.830,3.571.286,14.979,3.052,5.571,690.800,67,26.259,2.880.486,2.985,30.832,3.482.985,3.009,5.004,633.602,24,25.828,2.849.383,2.985,998,88.301,43,567,57.198,43,431,31.103,"-","39.2540569","9.0582978"
"Catania-Fontanarossa",52.053,6.143.531,36.007,7.873,11.203,1.358.587,272,40.850,4.784.944,7.601,48.808,5.777.285,7.830,8.351,1.012.318,261,40.457,4.764.967,7.569,3.245,366.246,43,2.852,346.269,11,393,19.977,32,"37.4673088","15.0635859"
"Crotone",2.460,153.668,"-","-",52,4.287,"-",2.408,149.381,"-",2.339,137.380,"-","-","-","-",2.339,137.380,"-",121,16.288,"-",52,4.287,"-",69,12.001,"-","38.9949251","17.0750638"
"Cuneo-Levaldigi",1.995,232.586,1.514,"-",1.424,159.374,"-",571,73.212,"-",1.925,227.379,"-",1.358,154.332,"-",567,73.047,"-",70,5.207,"-",66,5.042,"-",4,165,"-","44.5483158","7.6216643"
"Firenze-Peretola",25.146,1.840.778,114,136,21.515,1.486.363,85,3.631,354.415,51,25.057,1.836.204,136,21.460,1.483.055,85,3.597,353.149,51,89,4.574,"-",55,3.308,"-",34,1.266,"-","43.8086573","11.199036"
"Foggia-Gino Lisa",1.529,6.426,"-","-",14,69,"-",1.515,6.357,"-",1.527,6.368,"-",14,69,"-",1.513,6.299,"-",2,58,"-","-","-","-",2,58,"-","41.4339137","15.5336894"
"Forlì",1.984,260.927,120,"-",1.960,259.505,"-",24,1.422,"-",1.949,258.038,"-",1.935,257.052,"-",14,986,"-",35,2.889,"-",25,2.453,"-",10,436,"-","44.1984858","12.0687383"
"Genova-Sestri",17.307,1.369.113,3.945,404,8.339,560.977,149,8.968,808.136,255,17.036,1.342.137,401,8.130,536.223,148,8.906,805.914,253,271,26.976,3,209,24.754,1,62,2.222,2,"44.4139657","8.8443389"
"Grosseto",46,1.863,"-","-","-","-","-",46,1.863,"-","-","-","-","-","-","-","-","-","-",46,1.863,"-","-","-","-",46,1.863,"-","42.762433","11.0812354"
"Lamezia Terme",17.797,2.200.066,7.349,1.698,2.729,376.573,3,15.068,1.823.493,1.695,16.016,1.973.983,1.695,1.128,159.689,"-",14.888,1.814.294,1.695,1.781,226.083,3,1.601,216.884,3,180,9.199,"-","38.9065887","16.241213"
"Lampedusa",2.760,170.284,"-",40,"nd",81,"-",2.760,170.203,40,2.351,123.332,38,"nd",81,"-",2.351,123.251,38,409,46.952,2,"-","-","-",409,46.952,2,"35.4988219","12.6152913"
"Marina di Campo-Isola d'Elba",556,13.284,"-","-",426,11.524,"-",130,1.760,"-",422,10.495,"-",292,8.735,"-",130,1.760,"-",134,2.789,"-",134,2.789,"-","-","-","-","42.761462","10.2374323"
"Milano-Linate",95.505,9.175.619,1.378,19.808,39.509,3.844.727,17.029,55.996,5.330.892,2.779,95.355,9.164.405,19.802,39.431,3.839.091,17.029,55.924,5.325.314,2.773,150,11.214,6,78,5.636,"-",72,5.578,6,"45.4521756","9.2741192"
"Milano-Malpensa",167.622,18.329.205,193.555,414.317,138.323,14.779.645,411.906,29.299,3.549.560,2.411,159.851,17.297.193,395.624,130.948,13.783.461,393.215,28.903,3.513.732,2.409,7.771,1.032.012,18.693,7.375,996.184,18.691,396,35.828,2,"45.6300625","8.723342"
"Napoli-Capodichino",54.155,5.757.879,33.480,3.446,21.674,2.814.182,978,32.481,2.943.697,2.468,50.695,5.330.067,2.938,18.430,2.392.497,572,32.265,2.937.570,2.366,3.460,427.812,508,3.244,421.685,406,216,6.127,102,"40.882989","14.2515598"
"Olbia-Costa Smeralda",17.564,1.860.240,5.965,135,5.944,700.919,"-",11.620,1.159.321,135,16.526,1.722.638,135,5.022,570.773,"-",11.504,1.151.865,135,1.038,137.602,"-",922,130.146,"-",116,7.456,"-","40.9022918","9.5132688"
"Palermo-Punta Raisi",40.725,4.581.849,23.343,2.367,6.933,873.646,232,33.792,3.708.203,2.135,38.885,4.380.455,2.367,5.337,683.090,232,33.548,3.697.365,2.135,1.840,201.394,"-",1.596,190.556,"-",244,10.838,"-","38.1824001","13.0983932"
"Pantelleria",3.792,124.704,60,75,21,772,"-",3.771,123.932,75,3.693,112.488,69,21,772,"-",3.672,111.716,69,99,12.216,6,"-","-","-",99,12.216,6,"36.815033","11.9648603"
"Parma",1.976,174.511,419,"-",598,55.043,"-",1.378,119.468,"-",1.860,170.235,"-",519,52.093,"-",1.341,118.142,"-",116,4.276,"-",79,2.950,"-",37,1.326,"-","44.8232625","10.2937462"
"Perugia-Sant'Egidio",1.942,195.830,1.027,"-",1.365,144.184,"-",577,51.646,"-",1.935,195.055,"-",1.359,143.440,"-",576,51.615,"-",7,775,"-",6,744,"-",1,31,"-","43.0946706","12.5010596"
"Pescara",5.256,559.095,676,1.221,2.533,316.424,17,2.723,242.671,1.204,5.056,539.779,1.219,2.378,299.049,15,2.678,240.730,1.204,200,19.316,2,155,17.375,2,45,1.941,"-","42.431672","14.1830133"
