locode,nome_porto,merci_in_contenitori,merci_in_contenitori_note,merci_in_rinfuse_liquide,merci_in_rinfuse_liquide_note,merci_in_rinfuse_solide,merci_in_rinfuse_solide_note,merci_in_ro_ro,merci_in_ro_ro_note,merci_altro_carico,merci_altro_carico_note,n_tot_merci_trasportate,n_tot_merci_trasportate_note,n_tot_passeggeri_sbarcati,n_tot_passeggeri_sbarcati_note,n_tot_passeggeri_imbarcati,n_tot_passeggeri_imbarcati_note,n_tot_passeggeri,n_tot_passeggeri_note,merce_sbarcata,merce_sbarcata_note,merce_imbarcata,merce_imbarcata_note,tot_merce_imbarcata_sbarcata,tot_merce_imbarcata_sbarcata_note,anno_riferimento,lat,lon
ITPES,Pesaro,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2016,43.9229166667,12.9052555556
ITPSR,Pescara,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2014,42.4691027778,14.2317194444
ITPSR,Pescara,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2015,42.4691027778,14.2317194444
ITPSR,Pescara,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2016,42.4691027778,14.2317194444
,Piattaforme off-shore,,N/D,5,,2,,,N/D,,N/D,5,,,N/D,,N/D,,N/D,4976,,35,,5011,,2017,,
ITPIO,Piombino,0,,84,,1201,,2088,,494,,3864,,1728,,1658,,3386,,2303,,1561,,3864,,2014,42.9342138889,10.5447027778
ITPIO,Piombino,0,,99,,681,,2184,,96,,306,,1724,,1793,,3517,,1495,,1565,,3060,,2015,42.9342138889,10.5447027778
ITPIO,Piombino,,N/D,109,,1151,,1754,,505,,3519,,1836,,1866,,3702,,2043,,1475,,3518,,2016,42.9342138889,10.5447027778
ITPIO,Piombino,,N/D,76,,1,,1,,428,,3,,2,,2,,3,,1684,,965,,2649,,2017,42.9342138889,10.5447027778
,Ponza,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,181,,198,,379,,,N/D,,N/D,,N/D,2017,40.9075,12.9525
,Porto D'Ischia,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,1,,1,,3,,,N/D,,N/D,,N/D,2017,40.731204,13.895721
ITPEM,Porto Empedocle,0,,100,,116,,110,,208,,535,,,N/D,,N/D,,N/D,187,,348,,535,,2014,37.2843916667,13.5280138889
ITPEM,Porto Empedocle,0,,74,,226,,103,,180,,583,,,N/D,,N/D,,N/D,132,,450,,582,,2015,37.2843916667,13.5280138889
ITPEM,Porto Empedocle,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,94,,190,,284,,2016,37.2843916667,13.5280138889
,Porto Foxi,,N/D,25,,15,,,N/D,,N/D,25,,,N/D,,N/D,,N/D,13578,,11051,,24629,,2017,39.074,9.027
,Porto Nogaro,,N/D,36,,1,,8,,52,,1,,,N/D,,N/D,,N/D,412,,750,,1163,,2017,45.81604,13.2238
,Porto Santo Stefano,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,193,,178,,372,,,N/D,,N/D,,N/D,2017,42.435278,11.1175
ITPTO,Porto Torres,0,,945,,1071,,1601,,0,,362,,376,,379,,755,,2549,,1071,,3620,,2014,40.8402166667,8.3997638889
ITPTO,Porto Torres,0,,985,,823,,1329,,0,,3136,,414,,425,,839,,2182,,954,,3136,,2015,40.8402166667,8.3997638889
ITPTO,Porto Torres,,N/D,825,,147,,1904,,93,,2969,,534,,553,,1087,,1615,,1354,,2969,,2016,40.8402166667,8.3997638889
ITPTO,Porto Torres,2,N/D,795,,261,,2,,123,,3,,562,,569,,1,,1737,,1239,,2976,,2017,40.8402166667,8.3997638889
ITPFE,Portoferraio,0,,0,,0,,0,,0,,0,,1424,,1448,,2872,,0,,0,,0,,2014,42.8126583333,10.3245333333
ITPFE,Portoferraio,0,,16,,1,,1293,,0,,131,,149,,1456,,1605,,665,,646,,1311,,2015,42.8126583333,10.3245333333
ITPFE,Portoferraio,,N/D,13,,0,,1119,,1,,1133,,1636,,1582,,3218,,586,,547,,1133,,2016,42.8126583333,10.3245333333
ITPFE,Portoferraio,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,1,,1,,3,,  ,N/D,  ,N/D,  ,N/D,2017,42.8126583333,10.3245333333
ITPVE,Portoscuso (Porto Vesme),,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2014,39.1974777778,8.3899333333
ITPVE,Portoscuso (Porto Vesme),,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2015,39.1974777778,8.3899333333
ITPVE,Portoscuso (Porto Vesme),,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2016,39.1974777778,8.3899333333
ITPVE,Portoscuso (Porto Vesme),,N/D,226,,906,,,N/D,29,,1,,354,,366,,720,,957,,204,,1161,,2017,39.1974777778,8.3899333333
,Positano,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,192,,244,,437,,,N/D,,N/D,,N/D,2017,40.633333,14.483333
,Pozzallo,104,,34,,659,,490,,144,,1,,147,,151,,297,,1067,,364,,1431,,2017,36.733333,14.85
,Pozzuoli,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,811,,784,,2,,,N/D,,N/D,,N/D,2017,40.844444,14.093333
,Procida,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,432,,504,,936,,,N/D,,N/D,,N/D,2017,40.758333,14.016667
ITRAN,Ravenna,2092,,4992,,9180,,2285,,5636,,24183,,,N/D,,N/D,,N/D,19797,,4386,,24183,,2014,44.4566861111,12.2486361111
ITRAN,Ravenna,2531,,5418,,8869,,1692,,3081,,25288,,,N/D,,N/D,,N/D,21480,,3809,,25289,,2015,44.4566861111,12.2486361111
ITRAN,Ravenna,2566,,5712,,13881,,3395,,1950,,27504,,,N/D,,N/D,,N/D,22391,,5113,,27504,,2016,44.4566861111,12.2486361111
ITRAN,Ravenna,3,,7,,16,,3,,1,,29,,,N/D,,N/D,,N/D,23393,,5773,,29166,,2017,44.4566861111,12.2486361111
ITREG,Reggio Calabria,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2781,,3405,,6186,,,N/D,,N/D,,N/D,2014,38.1228416667,15.6501833333
ITREG,Reggio Calabria,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,307,,2983,,3290,,,N/D,,N/D,,N/D,2015,38.1228416667,15.6501833333
ITREG,Reggio di Calabria,,N/D,,N/D,53,,4612,,2,,4667,,277,,2799,,3076,,2158,,2508,,4666,,2016,38.1228416667,15.6501833333
ITREG,Reggio Di Calabria,,N/D,,N/D,47,,5,,2,,5,,4,,4,,9,,2578,,2902,,5480,,2017,38.1228416667,15.6501833333
ITRMA,Rio Marina,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2014,42.8153444444,10.4297638889
ITRMA,Rio Marina,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2015,42.8153444444,10.4297638889
ITRMA,Rio Marina,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2016,42.8153444444,10.4297638889
,Rio Marina,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2017,42.8153444444,10.4297638889
ITSAL,Salerno,2937,,17,,100,,3463,,137,,6653,,181,,177,,358,,3744,,2908,,6652,,2014,40.6740666667,14.7464611111
ITSAL,Salerno,2623,,83,,335,,4226,,91,,7359,,229,,215,,444,,3739,,3619,,7358,,2015,40.6740666667,14.7464611111
ITSAL,Salerno,2136,,29,,222,,4182,,1265,,7834,,189,,141,,330,,3674,,4159,,7833,,2016,40.6740666667,14.7464611111
ITSAL,Salerno,2,,34,,320,,5,,982,,8,,200,,170,,370,,3552,,4435,,7988,,2017,40.6740666667,14.7464611111
ITSDB,San Benedetto Del Tronto,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2014,42.956425,13.8886361111
ITSDB,San Benedetto Del Tronto,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2015,42.956425,13.8886361111
ITSDB,San Benedetto Del Tronto,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2016,42.956425,13.8886361111
,Santa Panagia,,N/D,9,,,N/D,,N/D,,N/D,9,,,N/D,,N/D,,N/D,3709,,4918,,8626,,2017,37.1011,15.2703
ITSTE,Santa Teresa di Gallura,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2014,41.2369277778,9.1944944444
ITSTE,Santa Teresa di Gallura,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2015,41.2369277778,9.1944944444
ITSTE,Santa Teresa di Gallura,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2016,41.2369277778,9.1944944444
ITSTE,Santa Teresa Di Gallura,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2017,41.2369277778,9.1944944444
ITSVN,Savona,428,,5828,,2235,,763,,1685,,1094,,486,,482,,968,,9465,,1475,,10940,,2014,44.3101527778,8.4904638889
ITSVN,Savona,330,,6150,,1928,,1033,,644,,12164,,482,,493,,975,,10908,,1256,,12164,,2015,44.3101527778,8.4904638889
ITSVN,Savona,388,,7909,,2075,,1563,,1575,,13510,,459,,451,,910,,10412,,3098,,13510,,2016,44.3101527778,8.4904638889
ITSVN,Savona,578,,5,,3,,2,,2,,13,,497,,480,,977,,10345,,2280,,12624,,2017,44.3101527778,8.4904638889
,Sorrento,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,1,,1,,2,,,N/D,,N/D,,N/D,2017,40.616667,14.366667
ITTAR,Taranto,1154,,3074,,10786,,3740,,3455,,23282,,,N/D,,N/D,,N/D,12700,,10582,,23282,,2014,40.4758833333,17.2134194444
ITTAR,Taranto,15,,4152,,9598,,3365,,1356,,18484,,,N/D,,N/D,,N/D,11398,,7086,,18484,,2015,40.4758833333,17.2134194444
ITTAR,Taranto,0,,4056,,11992,,3988,,946,,20982,,,N/D,,N/D,,N/D,13253,,7729,,20982,,2016,40.4758833333,17.2134194444
ITTAR,Taranto,,N/D,5,,12,,3,,137,,20,,,N/D,,N/D,,N/D,12201,,7948,,20149,,2017,40.4758833333,17.2134194444
ITTRI,Termini Imerese,0,,0,,15,,205,,8,,227,,,N/D,,N/D,,N/D,122,,104,,226,,2014,37.9859722222,13.7049527778
ITTRI,Termini Imerese,0,,0,,0,,0,,0,,0,,,N/D,,N/D,,N/D,0,,0,,0,,2015,37.9859722222,13.7049527778
ITTRI,Termini Imerese,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,0,,0,,0,,2016,37.9859722222,13.7049527778
,Termoli,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,106,,106,,212,,,N/D,,N/D,,N/D,2017,37.9859722222,13.7049527778
ITTPS,Trapani,228,,34,,11,,158,,26,,457,,519,,552,,1071,,129,,328,,457,,2014,38.01135,12.5181277778
ITTPS,Trapani,0,,0,,0,,0,,0,,0,,602,,619,,1221,,0,,0,,0,,2015,38.01135,12.5181277778
ITTPS,Trapani,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,603,,641,,1244,,0,,0,,0,,2016,38.01135,12.5181277778
ITTPS,Trapani,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,444,,506,,950,,,N/D,,N/D,,N/D,2017,38.01135,12.5181277778
ITZVK,Tremestieri,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2014,38.1319027778,15.523875
ITZVK,Tremestieri,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2015,38.1319027778,15.523875
ITZVK,Tremestieri,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2016,38.1319027778,15.523875
,Tremiti,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,118,,117,,235,,,N/D,,N/D,,N/D,2017,42.116667,15.5
ITTRS,Trieste,5416,,33669,,700,,5628,,1852,,47265,,,N/D,,N/D,,N/D,40404,,5251,,45655,,2014,45.6338305556,13.7617555556
ITTRS,Trieste,5336,,34527,,583,,5517,,3174,,49137,,,N/D,,N/D,,N/D,32254,,7685,,39939,,2015,45.6338305556,13.7617555556
ITTRS,Trieste,4536,,37910,,905,,4108,,1852,,49311,,,N/D,,N/D,,N/D,43301,,6010,,49311,,2016,45.6338305556,13.7617555556
ITTRS,Trieste,6,,42,,2,,2,,3,,55,,,N/D,,N/D,,N/D,48715,,6450,,55165,,2017,45.6338305556,13.7617555556
ITVDL,Vado Ligure,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2014,44.2656361111,8.4453611111
ITVDL,Vado Ligure,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2015,44.2656361111,8.4453611111
ITVDL,Vado Ligure,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2016,44.2656361111,8.4453611111
ITVCE,Venezia,3566,,6367,,6786,,1060,,2400,,2018,,871,,874,,1745,,16389,,2882,,19271,,2014,45.4372111111,12.3107083333
ITVCE,Venezia,4273,,6504,,8063,,1006,,1975,,25141,,808,,767,,1575,,18089,,7052,,25141,,2015,45.4372111111,12.3107083333
ITVCE,Venezia,4442,,7698,,8555,,1496,,3029,,25220,,710,,703,,1413,,19661,,5560,,25221,,2016,45.4372111111,12.3107083333
ITVCE,Venezia,5,,8,,10,,1,,1,,25,,549,,627,,1,,19577,,5544,,25121,,2017,45.4372111111,12.3107083333
ITVVA,Vibo Valentia,0,,0,,0,,0,,0,,0,,,N/D,,N/D,,N/D,0,,0,,0,,2014,38.7166722222,16.126775
ITVVA,Vibo Valentia,0,,0,,0,,0,,0,,0,,,N/D,,N/D,,N/D,0,,0,,0,,2015,38.7166722222,16.126775
ITVVA,Vibo Valentia,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,0,,0,,0,,2016,38.7166722222,16.126775
ITVSG,Villa San Giovanni,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2014,38.2181388889,15.6332944444
ITVSG,Villa San Giovanni,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2015,38.2181388889,15.6332944444
ITVSG,Villa San Giovanni,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2016,38.2181388889,15.6332944444
,Vulcano Porto,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,189,,305,,494,,,N/D,,N/D,,N/D,2017,38.403263,14.965419
