locode,nome_porto,merci_in_contenitori,merci_in_contenitori_note,merci_in_rinfuse_liquide,merci_in_rinfuse_liquide_note,merci_in_rinfuse_solide,merci_in_rinfuse_solide_note,merci_in_ro_ro,merci_in_ro_ro_note,merci_altro_carico,merci_altro_carico_note,n_tot_merci_trasportate,n_tot_merci_trasportate_note,n_tot_passeggeri_sbarcati,n_tot_passeggeri_sbarcati_note,n_tot_passeggeri_imbarcati,n_tot_passeggeri_imbarcati_note,n_tot_passeggeri,n_tot_passeggeri_note,merce_sbarcata,merce_sbarcata_note,merce_imbarcata,merce_imbarcata_note,tot_merce_imbarcata_sbarcata,tot_merce_imbarcata_sbarcata_note,anno_riferimento,lat,lon
ITCTA,Catania,325,,0,,334,,2689,,9,,3358,,,N/D,,N/D,,N/D,1737,,1623,,3360,,2015,37.4964444444,15.0941583333
ITCTA,Catania,241,,3,,325,,4111,,773,,5453,,,N/D,,N/D,,N/D,3569,,1884,,5453,,2016,37.4964444444,15.0941583333
ITCTA,Catania,189,,,N/D,362,,6,,1,,6,,,N/D,,N/D,,N/D,3929,,2161,,6090,,2017,37.4964444444,15.0941583333
ITCVX,Cavo,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2014,42.8602416667,10.4233305556
ITCVX,Cavo,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2015,42.8602416667,10.4233305556
ITCVX,Cavo,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2016,42.8602416667,10.4233305556
ITCHI,Chioggia,1,,292,,832,,0,,892,,2015,,,N/D,,N/D,,N/D,1217,,799,,2016,,2014,45.2131277778,12.2693888889
ITCHI,Chioggia,0,,23,,1212,,1,,445,,1681,,,N/D,,N/D,,N/D,957,,724,,1681,,2015,45.2131277778,12.2693888889
ITCHI,Chioggia,,N/D,71,,1249,,5,,349,,1674,,,N/D,,N/D,,N/D,741,,933,,1674,,2016,45.2131277778,12.2693888889
,Chioggia,,N/D,64,,1,,1,,47,,1,,,N/D,,N/D,,N/D,566,,612,,1178,,2017,45.2131277778,12.2693888889
ITCVV,Civitavecchia,796,,1272,,3066,,2994,,19,,9333,,1023,,1076,,2099,,6548,,2786,,9334,,2014,42.0944472222,11.7823777778
ITCVV,Civitavecchia,759,,645,,5036,,3514,,71,,10027,,1081,,1155,,2236,,4776,,3460,,8236,,2015,42.0944472222,11.7823777778
ITCVV,Civitavecchia,703,,812,,3361,,3909,,787,,9572,,885,,1147,,2032,,6167,,3405,,9572,,2016,42.0944472222,11.7823777778
ITCVV,Civitavecchia,1,,815,,3,,3,,300,,9,,1,,1,,2,,5771,,3375,,9146,,2017,42.0944472222,11.7823777778
ITCGC,Corigliano Calabro,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2014,39.6634916667,16.5249694444
ITCGC,Corigliano Calabro,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2015,39.6634916667,16.5249694444
ITCGC,Corigliano Calabro,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2016,39.6634916667,16.5249694444
ITCRV,Crotone,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2014,39.0858972222,17.1290083333
ITCRV,Crotone,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2015,39.0858972222,17.1290083333
ITCRV,Crotone,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2016,39.0858972222,17.1290083333
ITFAL,Falconara,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2014,43.6396861111,13.3873333333
ITFAL,Falconara,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2015,43.6396861111,13.3873333333
ITFAL,Falconara,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2016,43.6396861111,13.3873333333
ITFAL,Falconara Marittima,,N/D,5,,,N/D,,N/D,,N/D,5,,,N/D,,N/D,,N/D,3299,,1644,,4944,,2017,43.6396861111,13.3873333333
