id,dataSet,dataSetLabel,indicator,periodType,periodFrom,periodTo,countryKey,countryLabel,bzKey,bzShort,bzLong,operatorKey,operatorLabel,tsoEicCode,directionKey,adjacentSystemsKey,adjacentSystemsLabel,year,month,day,unit,value,countPointPresents,flowStatus,pointsNames,lastUpdateDateTime
"1AggregatesITIT---------IT-TSO-0001entryLNG Terminals2023-01-01T00:00:00+00:002023-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2023-01-01 06:00","2023-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,entry,"LNG Terminals","LNG Terminals",2023,1,1,kWh/d,511201663,3,Provisionnal,"Cavarzere (Porto Levante / Adriatic LNG)|OLT LNG / Livorno|Panigaglia","2023-01-27 19:45"
"1AggregatesITIT---------IT-TSO-0001entryProduction2023-01-01T00:00:00+00:002023-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2023-01-01 06:00","2023-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,entry,Production,Production,2023,1,1,kWh/d,64040606,1,Provisionnal,"IT - Indigenous Production","2023-01-27 19:45"
"1AggregatesITIT---------IT-TSO-0001entryStorage2023-01-01T00:00:00+00:002023-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2023-01-01 06:00","2023-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,entry,Storage,Storage,2023,1,1,kWh/d,11792462,2,Provisionnal,"UGS - IT - Snam Rete Gas/Edison|UGS - IT - Snam Rete Gas/STOGIT","2023-01-27 19:45"
"1AggregatesITIT---------IT-TSO-0001entryTransmission2023-01-01T00:00:00+00:002023-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2023-01-01 06:00","2023-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,entry,Transmission,Transmission,2023,1,1,kWh/d,989370202,3,Provisionnal,"Gela|Mazara del Vallo|Melendugno - IT / TAP","2023-01-27 19:45"
"1AggregatesITIT---------IT-TSO-0001entryTransmissionAT---------2023-01-01T00:00:00+00:002023-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2023-01-01 06:00","2023-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,entry,TransmissionAT---------,Austria,2023,1,1,kWh/d,0,1,Provisionnal,"Tarvisio (IT) / Arnoldstein (AT)","2023-01-27 19:45"
"1AggregatesITIT---------IT-TSO-0001entryTransmissionCH---------2023-01-01T00:00:00+00:002023-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2023-01-01 06:00","2023-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,entry,TransmissionCH---------,Switzerland,2023,1,1,kWh/d,191267542,1,Provisionnal,"Griespass (CH) / Passo Gries (IT)","2023-01-27 19:45"
"1AggregatesITIT---------IT-TSO-0001entryTransmissionSI---------2023-01-01T00:00:00+00:002023-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2023-01-01 06:00","2023-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,entry,TransmissionSI---------,Slovenia,2023,1,1,kWh/d,0,1,Provisionnal,"Gorizia (IT) /Šempeter (SI)","2023-01-27 19:45"
"1AggregatesITIT---------IT-TSO-0001exitDistribution2023-01-01T00:00:00+00:002023-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2023-01-01 06:00","2023-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,exit,Distribution,Distribution,2023,1,1,kWh/d,999870907,1,Provisionnal,"Distribution (IT)","2023-01-27 19:45"
"1AggregatesITIT---------IT-TSO-0001exitFinal Consumers2023-01-01T00:00:00+00:002023-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2023-01-01 06:00","2023-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,exit,"Final Consumers","Final Consumers",2023,1,1,kWh/d,570711898,2,Provisionnal,"Industrial Consumers (IT)|Thermal Plants (IT)","2023-01-27 19:45"
"1AggregatesITIT---------IT-TSO-0001exitStorage2023-01-01T00:00:00+00:002023-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2023-01-01 06:00","2023-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,exit,Storage,Storage,2023,1,1,kWh/d,38281184,2,Provisionnal,"UGS - IT - Snam Rete Gas/Edison|UGS - IT - Snam Rete Gas/STOGIT","2023-01-27 19:45"
"1AggregatesITIT---------IT-TSO-0001exitTransmission2023-01-01T00:00:00+00:002023-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2023-01-01 06:00","2023-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,exit,Transmission,Transmission,2023,1,1,kWh/d,38150757,3,Provisionnal,"Melendugno - IT / TAP|Rep. San Marino|SRG Delivery to other transmission networks","2023-01-27 19:45"
"1AggregatesITIT---------IT-TSO-0001exitTransmissionAT---------2023-01-01T00:00:00+00:002023-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2023-01-01 06:00","2023-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,exit,TransmissionAT---------,Austria,2023,1,1,kWh/d,132506946,1,Provisionnal,"Tarvisio (IT) / Arnoldstein (AT)","2023-01-27 19:45"
"1AggregatesITIT---------IT-TSO-0001exitTransmissionCH---------2023-01-01T00:00:00+00:002023-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2023-01-01 06:00","2023-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,exit,TransmissionCH---------,Switzerland,2023,1,1,kWh/d,3995863,2,Provisionnal,"Bizzarone|Griespass (CH) / Passo Gries (IT)","2023-01-27 19:45"
"1AggregatesITIT---------IT-TSO-0001exitTransmissionSI---------2023-01-01T00:00:00+00:002023-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2023-01-01 06:00","2023-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,exit,TransmissionSI---------,Slovenia,2023,1,1,kWh/d,13216330,1,Provisionnal,"Gorizia (IT) /Šempeter (SI)","2023-01-27 19:45"
