id,dataSet,dataSetLabel,indicator,periodType,periodFrom,periodTo,countryKey,countryLabel,bzKey,bzShort,bzLong,operatorKey,operatorLabel,tsoEicCode,directionKey,adjacentSystemsKey,adjacentSystemsLabel,year,month,day,unit,value,countPointPresents,flowStatus,pointsNames,lastUpdateDateTime
"1AggregatesITIT---------IT-TSO-0001entryLNG Terminals2026-01-01T00:00:00+00:002026-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2026-01-01 06:00","2026-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,entry,"LNG Terminals","LNG Terminals",2026,1,1,kWh/d,643430450,5,Provisionnal,"Cavarzere (Porto Levante / Adriatic LNG)|OLT LNG / Livorno|PANIGAGLIA TERMINAL|PIOMBINO TERMINAL|RAVENNA TERMINAL","2026-03-23 17:41"
"1AggregatesITIT---------IT-TSO-0001entryProduction2026-01-01T00:00:00+00:002026-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2026-01-01 06:00","2026-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,entry,Production,Production,2026,1,1,kWh/d,83317779,1,Provisionnal,"IT - Indigenous Production","2026-03-23 17:41"
"1AggregatesITIT---------IT-TSO-0001entryStorage2026-01-01T00:00:00+00:002026-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2026-01-01 06:00","2026-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,entry,Storage,Storage,2026,1,1,kWh/d,683264907,3,Provisionnal,"Italgasstorage (IT)|UGS - IT - Snam Rete Gas/Stogit Adriatica|UGS - IT - Snam Rete Gas/STOGIT","2026-03-23 17:41"
"1AggregatesITIT---------IT-TSO-0001entryTransmission2026-01-01T00:00:00+00:002026-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2026-01-01 06:00","2026-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,entry,Transmission,Transmission,2026,1,1,kWh/d,916498604,3,Provisionnal,"Gela|Mazara del Vallo|Melendugno - IT / TAP","2026-03-23 17:41"
"1AggregatesITIT---------IT-TSO-0001entryTransmissionAT---------2026-01-01T00:00:00+00:002026-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2026-01-01 06:00","2026-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,entry,TransmissionAT---------,Austria,2026,1,1,kWh/d,0,1,Provisionnal,"Tarvisio (IT) / Arnoldstein (AT)","2026-03-23 17:41"
"1AggregatesITIT---------IT-TSO-0001entryTransmissionCH---------2026-01-01T00:00:00+00:002026-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2026-01-01 06:00","2026-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,entry,TransmissionCH---------,Switzerland,2026,1,1,kWh/d,169826929,1,Provisionnal,"Griespass (CH) / Passo Gries (IT)","2026-03-23 17:41"
"1AggregatesITIT---------IT-TSO-0001entryTransmissionSI---------2026-01-01T00:00:00+00:002026-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2026-01-01 06:00","2026-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,entry,TransmissionSI---------,Slovenia,2026,1,1,kWh/d,0,1,Provisionnal,"Gorizia (IT) /Šempeter (SI)","2026-03-23 17:41"
"1AggregatesITIT---------IT-TSO-0001exitDistribution2026-01-01T00:00:00+00:002026-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2026-01-01 06:00","2026-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,exit,Distribution,Distribution,2026,1,1,kWh/d,1604962524,1,Provisionnal,"Distribution (IT)","2026-03-23 17:41"
"1AggregatesITIT---------IT-TSO-0001exitFinal Consumers2026-01-01T00:00:00+00:002026-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2026-01-01 06:00","2026-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,exit,"Final Consumers","Final Consumers",2026,1,1,kWh/d,740388357,2,Provisionnal,"Industrial Consumers (IT)|Thermal Plants (IT)","2026-03-23 17:41"
"1AggregatesITIT---------IT-TSO-0001exitStorage2026-01-01T00:00:00+00:002026-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2026-01-01 06:00","2026-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,exit,Storage,Storage,2026,1,1,kWh/d,0,3,Provisionnal,"Italgasstorage (IT)|UGS - IT - Snam Rete Gas/Stogit Adriatica|UGS - IT - Snam Rete Gas/STOGIT","2026-03-23 17:41"
"1AggregatesITIT---------IT-TSO-0001exitTransmission2026-01-01T00:00:00+00:002026-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2026-01-01 06:00","2026-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,exit,Transmission,Transmission,2026,1,1,kWh/d,58887259,3,Provisionnal,"Melendugno - IT / TAP|Rep. San Marino|SRG Delivery to other transmission networks","2026-03-23 17:41"
"1AggregatesITIT---------IT-TSO-0001exitTransmissionAT---------2026-01-01T00:00:00+00:002026-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2026-01-01 06:00","2026-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,exit,TransmissionAT---------,Austria,2026,1,1,kWh/d,81273434,1,Provisionnal,"Tarvisio (IT) / Arnoldstein (AT)","2026-03-23 17:41"
"1AggregatesITIT---------IT-TSO-0001exitTransmissionCH---------2026-01-01T00:00:00+00:002026-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2026-01-01 06:00","2026-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,exit,TransmissionCH---------,Switzerland,2026,1,1,kWh/d,6239257,2,Provisionnal,"Bizzarone|Griespass (CH) / Passo Gries (IT)","2026-03-23 17:41"
"1AggregatesITIT---------IT-TSO-0001exitTransmissionSI---------2026-01-01T00:00:00+00:002026-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2026-01-01 06:00","2026-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,exit,TransmissionSI---------,Slovenia,2026,1,1,kWh/d,1693470,1,Provisionnal,"Gorizia (IT) /Šempeter (SI)","2026-03-23 17:41"
"1AggregatesITIT---------IT-TSO-0001entryLNG Terminals2026-01-02T00:00:00+00:002026-01-03T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2026-01-02 06:00","2026-01-03 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,entry,"LNG Terminals","LNG Terminals",2026,1,2,kWh/d,632178073,5,Provisionnal,"Cavarzere (Porto Levante / Adriatic LNG)|OLT LNG / Livorno|PANIGAGLIA TERMINAL|PIOMBINO TERMINAL|RAVENNA TERMINAL","2026-03-23 17:41"
"1AggregatesITIT---------IT-TSO-0001entryProduction2026-01-02T00:00:00+00:002026-01-03T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2026-01-02 06:00","2026-01-03 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,entry,Production,Production,2026,1,2,kWh/d,83478576,1,Provisionnal,"IT - Indigenous Production","2026-03-23 17:41"
