id,dataSet,dataSetLabel,indicator,periodType,periodFrom,periodTo,countryKey,countryLabel,bzKey,bzShort,bzLong,operatorKey,operatorLabel,tsoEicCode,directionKey,adjacentSystemsKey,adjacentSystemsLabel,year,month,day,unit,value,countPointPresents,flowStatus,pointsNames,lastUpdateDateTime
"1AggregatesITIT---------IT-TSO-0001entryLNG Terminals2025-01-01T00:00:00+00:002025-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2025-01-01 06:00","2025-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,entry,"LNG Terminals","LNG Terminals",2025,1,1,kWh/d,490700576,4,Provisionnal,"Cavarzere (Porto Levante / Adriatic LNG)|FSRU ITALIA_PIOMBINO TERMINAL|FSRU ITALIA_RAVENNA TERMINAL|OLT LNG / Livorno","2025-03-14 10:15"
"1AggregatesITIT---------IT-TSO-0001entryProduction2025-01-01T00:00:00+00:002025-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2025-01-01 06:00","2025-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,entry,Production,Production,2025,1,1,kWh/d,103217254,1,Provisionnal,"IT - Indigenous Production","2025-03-14 10:15"
"1AggregatesITIT---------IT-TSO-0001entryStorage2025-01-01T00:00:00+00:002025-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2025-01-01 06:00","2025-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,entry,Storage,Storage,2025,1,1,kWh/d,690196385,3,Provisionnal,"Italgasstorage (IT)|UGS - IT - Snam Rete Gas/Edison|UGS - IT - Snam Rete Gas/STOGIT","2025-03-14 10:15"
"1AggregatesITIT---------IT-TSO-0001entryTransmission2025-01-01T00:00:00+00:002025-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2025-01-01 06:00","2025-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,entry,Transmission,Transmission,2025,1,1,kWh/d,924311581,3,Provisionnal,"Gela|Mazara del Vallo|Melendugno - IT / TAP","2025-03-14 10:15"
"1AggregatesITIT---------IT-TSO-0001entryTransmissionAT---------2025-01-01T00:00:00+00:002025-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2025-01-01 06:00","2025-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,entry,TransmissionAT---------,Austria,2025,1,1,kWh/d,0,1,Provisionnal,"Tarvisio (IT) / Arnoldstein (AT)","2025-03-14 10:15"
"1AggregatesITIT---------IT-TSO-0001entryTransmissionCH---------2025-01-01T00:00:00+00:002025-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2025-01-01 06:00","2025-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,entry,TransmissionCH---------,Switzerland,2025,1,1,kWh/d,14055904,1,Provisionnal,"Griespass (CH) / Passo Gries (IT)","2025-03-14 10:15"
"1AggregatesITIT---------IT-TSO-0001entryTransmissionSI---------2025-01-01T00:00:00+00:002025-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2025-01-01 06:00","2025-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,entry,TransmissionSI---------,Slovenia,2025,1,1,kWh/d,0,1,Provisionnal,"Gorizia (IT) /Šempeter (SI)","2025-03-14 10:15"
"1AggregatesITIT---------IT-TSO-0001exitDistribution2025-01-01T00:00:00+00:002025-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2025-01-01 06:00","2025-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,exit,Distribution,Distribution,2025,1,1,kWh/d,1433439254,1,Provisionnal,"Distribution (IT)","2025-03-14 10:15"
"1AggregatesITIT---------IT-TSO-0001exitFinal Consumers2025-01-01T00:00:00+00:002025-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2025-01-01 06:00","2025-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,exit,"Final Consumers","Final Consumers",2025,1,1,kWh/d,698056611,2,Provisionnal,"Industrial Consumers (IT)|Thermal Plants (IT)","2025-03-14 10:15"
"1AggregatesITIT---------IT-TSO-0001exitStorage2025-01-01T00:00:00+00:002025-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2025-01-01 06:00","2025-01-02 06:00",IT,Italy,IT---------,Italy,"Punto Scambio Virtuale",IT-TSO-0001,"Snam Rete Gas S.p.A.",21X-IT-A-A0A0A-7,exit,Storage,Storage,2025,1,1,kWh/d,0,3,Provisionnal,"Italgasstorage (IT)|UGS - IT - Snam Rete Gas/Edison|UGS - IT - Snam Rete Gas/STOGIT","2025-03-14 10:15"
